vtd10_geoid,vtd20_geoid,weight_sum
130011A,130010003A1,20.0
130011A,1300100001B,5.0
130011A,1300100001C,1.0
130011A1,130010003A1,43.0
130011B,1300100001B,118.0
130011C,1300100001C,69.9794270389
130011C,13001000002,2.0205729611
130011D,1300100005B,16.0
130011D,1300100001C,6.0
130012,13001000002,314.9999999999
130012,1300100003C,2.0
130013A,130010003A1,69.0000000001
130013B,1300100003C,189.0
130013C,1300100003C,205.8716858683
130013C,13001000002,92.1283141315
130013C,1300100005A,1.0
130014A,1300100004B,142.0
130014B,1300100004B,141.0
130014C,1300100004D,61.0
130014C,1300100004B,1.0
130014D,1300100004D,150.0
130015A,1300100005A,230.0000000001
130015B,1300100005B,37.0
130015B1,1300100005B,27.0
130015C,1300100005B,66.0
130030001,13003000001,199.9999999999
130030002,13003000002,118.0
130030003,13003000003,187.0
130030004,13003000004,108.0
13005DOUGL,130050DOUGL,517.9999999999
13005NEWL,130050DOUGL,274.0000000001
13005TAYLO,130050DOUGL,182.0
13005WARE,130050DOUGL,86.0
13005WARNO,130050DOUGL,98.0
13007A,1300700000A,71.9999999999
13007E,1300700000E,71.0
13007H,1300700000H,140.0
13007M,1300700000M,55.0
13007N,1300700000N,406.0
130091714,13009001714,86.0
13009318,13009000318,107.9701016993
13009318,1300900CTY6,0.029898300699999998
13009319,13009000319,81.0
13009321E,1300900321E,69.0
13009321W,1300900321W,108.0
13009322,13009000322,78.0
13009CTY1,1300900CTY1,167.9816943773
13009CTY1,13009000318,0.0183056226
13009CTY2,1300900CTY2,105.0
13009CTY3,1300900CTY3,65.0
13009CTY4,1300900CTY4,98.0
13009CTY5,1300900CTY5,59.0
13009CTY6,1300900CTY6,72.0
13009MERI,1300900MERI,101.0
13009MONT,1300900MONT,195.0000000001
130110001,13011000001,113.0
130110002,13011000002,79.0
130110003,13011000003,33.0
130110004,13011000004,101.9968570265
130110004,13157002000,0.0031429735
130110005,13011000005,47.9987254606
130110005,13119000002,0.0012745394
130110006,13011000006,66.997855014
130110006,13195000ILA,0.0021449859
130110007,13011000007,78.2747135856
130110007,13137000006,0.7252864145
130110008,13011000008,43.0
130110009,13011000009,41.0
130110010,13011000010,113.0
130110011,13011000011,69.6754120972
130110011,13139000013,3.3245879029000003
130110012,13011000012,56.0
130110013,13011000013,45.0
1301301,13013000001,108.0000000006
1301302,13013000002,111.0
1301303,13013000003,81.0000000002
1301304,13013000004,57.2514834099
1301304,13135000133,0.7485165901
1301305,13013000005,154.9999999999
1301306,13013000006,100.0
1301307,13013000007,76.9999999999
1301308,13013000008,69.0
1301309,13013000009,92.9999999998
1301310,13013000010,145.0
1301311,13013000011,65.0000000001
1301312,13013000012,105.0
1301313,13013000013,119.0
1301314,13013000014,58.0
1301315,13013000015,56.0
1301316,13013000016,120.0000000001
1301501,13015000001,374.4912148987
1301501,13129000856,2.4980748784999998
1301501,13129001055,0.0107102227
1301502,13015000002,126.9628198901
1301502,13015000007,10.0
1301502,1306700AC1B,1.0125157656
1301502,1306700NC01,0.0246643442
1301503,13015000003,407.1631145415
1301503,13015000016,27.4925128626
1301503,13015000005,3.5060715693
1301503,13015000015,3.2098657014
1301503,13015000006,3.0932479916
1301503,13015000004,1.0826752942
1301503,13015000011,0.4525120393
1301504,13015000004,307.5695769763
1301504,13015000018,4.9582250657
1301504,13015000007,4.0
1301504,13015000011,3.2719756225
1301504,13015000016,0.2002223357
1301505,13015000005,115.4866065797
1301505,13015000001,6.0
1301505,13015000003,3.5133934203
1301506,13015000006,112.9375233031
1301506,13015000015,2.0
1301506,13015000003,0.062476696899999996
1301507,13015000007,345.6161544954
1301507,13015000018,5.3223095887
1301507,13015000004,4.0615359153
1301508,13015000008,101.0
1301509,13015000009,74.0
1301510,13015000010,256.0
1301511,13015000011,103.1487478328
1301511,13015000008,33.0
1301511,13015000004,14.0299882722
1301511,13015000018,9.8212638949
1301512,13015000012,157.0
1301514,13015000014,204.0
1301514,13015000008,1.0
1301515,13015000015,172.6281985901
1301515,13015000003,2.3718014098999998
1301515,13015000016,2.0
1301516,13015000016,261.2907139905
1301516,13015000003,7.1504061172
1301516,13015000004,0.5588798925
1301517,13015000005,111.5724322809
1301517,13015000003,1.4275677191
1301518,13015000018,83.2864051759
1301518,13015000004,3.7135948241000003
130171,13017000001,561.9999999998
130172,13017000002,420.0
130173,13017000002,90.0
130174,13017000001,63.0
130175,13017000002,303.0
130191144,13019001144,120.0
130191148,13019001148,64.0
130191157,13019001157,469.0
130191329,13019001329,45.0
130191427,13019001427,53.0
130191642,13019001642,106.0
130191767,13019001767,84.0
130191819,13019001819,30.0
13019518,13019000518,172.0
13021EM1,13021000EM1,256.0
13021EM2,13021000EM2,58.0
13021EM3,13021000EM2,47.0
13021EM4,13021000EM3,95.0
13021EM5,13021000EM4,91.0
13021EM6,13021000EM5,172.0
13021EM6,13021000EM1,4.0
13021GF1,13021000GF1,510.0000000001
13021GF2,13021000GF2,196.0
13021GF3,13021000GF1,129.0
13021GF4,13021000GF4,102.0
13021GF5,13021000GF5,39.9999999999
13021GF6,13021000GF3,166.0
13021GF6,13021000HA1,2.0
13021GF7,13021000GF5,84.0
13021HA1,13021000HA3,65.0
13021HA1,13021000GF1,1.0
13021HA1,13021000VV4,1.0
13021HA2,13021000HA2,67.0
13021HA3,13021000HA3,134.9999999997
13021HA4,13021000HA4,56.0
13021HA5,13021000HA1,52.0
13021HA5,13021000GF3,2.0
13021HA5,13021000HA3,2.0
13021HA6,13021000HA1,47.0
13021HA7,13021000HO1,30.9093093563
13021HA7,13207000003,2.0906906436
13021HO1,13021000HO1,66.0000000001
13021HO2,13021000HO2,111.9231698986
13021HO2,13207000003,0.0768301014
13021HO3,13021000HO3,148.0
13021HO4,13021000VV6,53.0
13021HO5,13021000HO4,66.0
13021HO6,13021000HO5,46.0
13021HO7,13021000HO6,45.0
13021HO7,13021000HO7,1.0
13021HO8,13021000HO7,68.0000000001
13021HO9,13021000HO3,52.0
13021RU1,13021000RU1,102.0
13021RU1,13021000RU2,3.0
13021RU2,13021000RU2,195.9999999999
13021VV1,13021000VV1,228.0
13021VV1,13021000GF1,2.0
13021VV2,13021000VV2,85.0
13021VV3,13021000VV3,135.0000000001
13021VV4,13021000VV4,58.0
13021VV5,13021000VV4,85.0
13021VV6,13021000VV5,46.0
13021VV7,13021000VV6,62.0
13021VV8,13021000VV1,65.0
13021WA1,13021000WA1,75.9722222222
13021WA1,13207000011,0.0277777778
13021WA2,13021000WA2,63.9683671652
13021WA2,13021000GF5,3.0
13021WA2,13021000HA3,0.0316328347
130231,13023000001,781.0000000002
130251,13025000002,88.0
130251,13025000003,2.0
130252,13025000003,99.9999999999
130253,13025000003,122.0
130254,13025000002,130.0
130254,13025000003,43.9999999999
130255,13025000002,107.0
130256,13025000001,211.0
130257,13025000001,99.0
130258,13025000001,57.0
130259,13025000002,193.0
130271198,13027001402,25.0
130271199,13027001199,421.0
130271230,13027001230,61.0
130271402,13027001402,63.0
130271571,13027000660,94.0
130271650,13027001650,71.9999999999
130271712,13027001712,78.0
13027659,13027000659,67.9999999999
13027660,13027000660,131.0
130291,13029000001,160.0
1302910,13029000009,32.0
1302910,13029000004,24.0
1302910,13029000005,17.0
130292,13029000001,137.0
130292,13029000002,46.0
130293,13029000003,171.0000000001
130293,13029000002,44.9999999999
