county,precinct_id,boundary_name,source_name,method
COLUMBIA,131,Journey Community Church,Journey Comm Church,name
COLUMBIA,064,Grace Baptist Church,Grace Baptist Church,name
COLUMBIA,061,Greenbrier High,Greenbrier High,name
COLUMBIA,063,Riverview Church,Riverview Church,name
COLUMBIA,132,Wesley Methodist Church,Wesley Methodist,prior_election_name
COLUMBIA,135,"Christ Church, Presbyterian",Christ Church Presbyterian,name
COLUMBIA,107,Gospel Water Branch Bapt. Church,Gospel Water Branch,prior_election_name
COLUMBIA,040,Eubank/Blanchard Center,Eubank-Blanchard Center,name
COLUMBIA,109,Stevens Creek Church,Stevens Creek Church,name
COLUMBIA,111,Lakeside Middle,Lakeside Middle,name
COLUMBIA,136,Ccboe - Support Complex,Blue Ridge Elementary,prior_election_name
COLUMBIA,137,Christ The King Lutheran Church,Christ The King Luth Church,unique_name_similarity
COLUMBIA,100,Augusta Christian School,Augusta Christian,prior_election_name
COLUMBIA,105,Savannah Rapids Pavilion,Savannah Rapids Pavilion,name
COLUMBIA,108,Augusta Christian Schools - Furys Ferry Road Campus,Genesis Church,prior_election_name
COLUMBIA,060,Col County Board Of Education,Col Cty Bd of Edu,prior_election_name
COLUMBIA,070,Blanchard Park,Blanchard Park,name
COLUMBIA,085,Trinity Bapt Church,Trinity Baptist Church,unique_name_similarity
COLUMBIA,076,Marvin Methodist,Marvin Methodist,name
COLUMBIA,120,Harvest Pointe Fellowship,Gold Cross EMS,prior_election_name
COLUMBIA,125,Church Of Our Savior,Church of Our Savior,name
COLUMBIA,130,West Acres Baptist Church,West Acres Baptist,prior_election_name
COLUMBIA,134,Col County Main Library,Col Cty Main Library,name
COLUMBIA,026,Philadelphia Church,Philadelphia Church,name
COLUMBIA,010,Kiokee Bapt Church,Kiokee Baptist Church,unique_name_similarity
COLUMBIA,033,Grovetown Department Of Public Safety Station #2,Grovetown Public Safety Station 2,prior_election_name
COLUMBIA,030,Liberty Park - Grovetown,Liberty Park-Grovetown,name
