county,precinct,office,district,party,candidate,total_votes
Appling,,U.S. Senate,,Republican,David A. Perdue (I),5683
Appling,,U.S. Senate,,Democrat,Jon Ossoff,1598
Appling,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5690
Appling,,U.S. Senate (Special),,Democrat,Raphael Warnock,1596
Atkinson,,U.S. Senate,,Republican,David A. Perdue (I),1925
Atkinson,,U.S. Senate,,Democrat,Jon Ossoff,720
Atkinson,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1926
Atkinson,,U.S. Senate (Special),,Democrat,Raphael Warnock,722
Bacon,,U.S. Senate,,Republican,David A. Perdue (I),3569
Bacon,,U.S. Senate,,Democrat,Jon Ossoff,559
Bacon,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),3572
Bacon,,U.S. Senate (Special),,Democrat,Raphael Warnock,559
Baker,,U.S. Senate,,Republican,David A. Perdue (I),809
Baker,,U.S. Senate,,Democrat,Jon Ossoff,630
Baker,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),815
Baker,,U.S. Senate (Special),,Democrat,Raphael Warnock,625
Baldwin,,U.S. Senate,,Republican,David A. Perdue (I),7931
Baldwin,,U.S. Senate,,Democrat,Jon Ossoff,8515
Baldwin,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),7899
Baldwin,,U.S. Senate (Special),,Democrat,Raphael Warnock,8569
Banks,,U.S. Senate,,Republican,David A. Perdue (I),6612
Banks,,U.S. Senate,,Democrat,Jon Ossoff,836
Banks,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),6586
Banks,,U.S. Senate (Special),,Democrat,Raphael Warnock,860
Barrow,,U.S. Senate,,Republican,David A. Perdue (I),22789
Barrow,,U.S. Senate,,Democrat,Jon Ossoff,9276
Barrow,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),22660
Barrow,,U.S. Senate (Special),,Democrat,Raphael Warnock,9417
Bartow,,U.S. Senate,,Republican,David A. Perdue (I),32239
Bartow,,U.S. Senate,,Democrat,Jon Ossoff,10735
Bartow,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),32049
Bartow,,U.S. Senate (Special),,Democrat,Raphael Warnock,10928
Ben Hill,,U.S. Senate,,Republican,David A. Perdue (I),3531
Ben Hill,,U.S. Senate,,Democrat,Jon Ossoff,2182
Ben Hill,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),3533
Ben Hill,,U.S. Senate (Special),,Democrat,Raphael Warnock,2193
Berrien,,U.S. Senate,,Republican,David A. Perdue (I),5538
Berrien,,U.S. Senate,,Democrat,Jon Ossoff,1141
Berrien,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5539
Berrien,,U.S. Senate (Special),,Democrat,Raphael Warnock,1145
Bibb,,U.S. Senate,,Republican,David A. Perdue (I),23748
Bibb,,U.S. Senate,,Democrat,Jon Ossoff,39717
Bibb,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),23555
Bibb,,U.S. Senate (Special),,Democrat,Raphael Warnock,39972
Bleckley,,U.S. Senate,,Republican,David A. Perdue (I),3920
Bleckley,,U.S. Senate,,Democrat,Jon Ossoff,1190
Bleckley,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),3898
Bleckley,,U.S. Senate (Special),,Democrat,Raphael Warnock,1214
Brantley,,U.S. Senate,,Republican,David A. Perdue (I),6003
Brantley,,U.S. Senate,,Democrat,Jon Ossoff,615
Brantley,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5999
Brantley,,U.S. Senate (Special),,Democrat,Raphael Warnock,613
Brooks,,U.S. Senate,,Republican,David A. Perdue (I),3760
Brooks,,U.S. Senate,,Democrat,Jon Ossoff,2456
Brooks,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),3761
Brooks,,U.S. Senate (Special),,Democrat,Raphael Warnock,2455
Bryan,,U.S. Senate,,Republican,David A. Perdue (I),12596
