county,precinct,office,district,party,candidate,total_votes
Bryan,,U.S. Senate,,Democrat,Jon Ossoff,6020
Bryan,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),12596
Bryan,,U.S. Senate (Special),,Democrat,Raphael Warnock,6009
Bulloch,,U.S. Senate,,Republican,David A. Perdue (I),16311
Bulloch,,U.S. Senate,,Democrat,Jon Ossoff,9832
Bulloch,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),16287
Bulloch,,U.S. Senate (Special),,Democrat,Raphael Warnock,9848
Burke,,U.S. Senate,,Republican,David A. Perdue (I),4806
Burke,,U.S. Senate,,Democrat,Jon Ossoff,4686
Burke,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),4804
Burke,,U.S. Senate (Special),,Democrat,Raphael Warnock,4695
Butts,,U.S. Senate,,Republican,David A. Perdue (I),7205
Butts,,U.S. Senate,,Democrat,Jon Ossoff,3004
Butts,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),7183
Butts,,U.S. Senate (Special),,Democrat,Raphael Warnock,3026
Calhoun,,U.S. Senate,,Republican,David A. Perdue (I),828
Calhoun,,U.S. Senate,,Democrat,Jon Ossoff,1202
Calhoun,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),826
Calhoun,,U.S. Senate (Special),,Democrat,Raphael Warnock,1206
Camden,,U.S. Senate,,Republican,David A. Perdue (I),13015
Camden,,U.S. Senate,,Democrat,Jon Ossoff,6856
Camden,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),13063
Camden,,U.S. Senate (Special),,Democrat,Raphael Warnock,6807
Candler,,U.S. Senate,,Republican,David A. Perdue (I),2781
Candler,,U.S. Senate,,Democrat,Jon Ossoff,1134
Candler,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2787
Candler,,U.S. Senate (Special),,Democrat,Raphael Warnock,1131
Carroll,,U.S. Senate,,Republican,David A. Perdue (I),32573
Carroll,,U.S. Senate,,Democrat,Jon Ossoff,14590
Carroll,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),32338
Carroll,,U.S. Senate (Special),,Democrat,Raphael Warnock,14819
Catoosa,,U.S. Senate,,Republican,David A. Perdue (I),21757
Catoosa,,U.S. Senate,,Democrat,Jon Ossoff,6009
Catoosa,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),21792
Catoosa,,U.S. Senate (Special),,Democrat,Raphael Warnock,5985
Charlton,,U.S. Senate,,Republican,David A. Perdue (I),2945
Charlton,,U.S. Senate,,Democrat,Jon Ossoff,966
Charlton,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2947
Charlton,,U.S. Senate (Special),,Democrat,Raphael Warnock,952
Chatham,,U.S. Senate,,Republican,David A. Perdue (I),48937
Chatham,,U.S. Senate,,Democrat,Jon Ossoff,72309
Chatham,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),48707
Chatham,,U.S. Senate (Special),,Democrat,Raphael Warnock,72550
Chattahoochee,,U.S. Senate,,Republican,David A. Perdue (I),716
Chattahoochee,,U.S. Senate,,Democrat,Jon Ossoff,606
Chattahoochee,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),720
Chattahoochee,,U.S. Senate (Special),,Democrat,Raphael Warnock,601
Chattooga,,U.S. Senate,,Republican,David A. Perdue (I),6558
Chattooga,,U.S. Senate,,Democrat,Jon Ossoff,1673
Chattooga,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),6550
Chattooga,,U.S. Senate (Special),,Democrat,Raphael Warnock,1686
Cherokee,,U.S. Senate,,Republican,David A. Perdue (I),90276
Cherokee,,U.S. Senate,,Democrat,Jon Ossoff,37596
Cherokee,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),89480
Cherokee,,U.S. Senate (Special),,Democrat,Raphael Warnock,38362
Clarke,,U.S. Senate,,Republican,David A. Perdue (I),13311
Clarke,,U.S. Senate,,Democrat,Jon Ossoff,32901
Clarke,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),13009
Clarke,,U.S. Senate (Special),,Democrat,Raphael Warnock,33187
Clayton,,U.S. Senate,,Republican,David A. Perdue (I),11907
Clayton,,U.S. Senate,,Democrat,Jon Ossoff,91015
Clayton,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),11765
Clayton,,U.S. Senate (Special),,Democrat,Raphael Warnock,91189
Clay,,U.S. Senate,,Republican,David A. Perdue (I),583
Clay,,U.S. Senate,,Democrat,Jon Ossoff,728
Clay,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),583
Clay,,U.S. Senate (Special),,Democrat,Raphael Warnock,727
Clinch,,U.S. Senate,,Republican,David A. Perdue (I),1839
Clinch,,U.S. Senate,,Democrat,Jon Ossoff,615
Clinch,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1839
Clinch,,U.S. Senate (Special),,Democrat,Raphael Warnock,616
Cobb,,U.S. Senate,,Republican,David A. Perdue (I),157653
Cobb,,U.S. Senate,,Democrat,Jon Ossoff,201009
Cobb,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),154714
Cobb,,U.S. Senate (Special),,Democrat,Raphael Warnock,203876
Coffee,,U.S. Senate,,Republican,David A. Perdue (I),9154
Coffee,,U.S. Senate,,Democrat,Jon Ossoff,4058
Coffee,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),9137
Coffee,,U.S. Senate (Special),,Democrat,Raphael Warnock,4082
Colquitt,,U.S. Senate,,Republican,David A. Perdue (I),10339
Colquitt,,U.S. Senate,,Democrat,Jon Ossoff,3714
Colquitt,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),10330
Colquitt,,U.S. Senate (Special),,Democrat,Raphael Warnock,3727
Columbia,,U.S. Senate,,Republican,David A. Perdue (I),45667
Columbia,,U.S. Senate,,Democrat,Jon Ossoff,26497
Columbia,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),45588
Columbia,,U.S. Senate (Special),,Democrat,Raphael Warnock,26545
Cook,,U.S. Senate,,Republican,David A. Perdue (I),4313
Cook,,U.S. Senate,,Democrat,Jon Ossoff,1894
Cook,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),4310
Cook,,U.S. Senate (Special),,Democrat,Raphael Warnock,1895
Coweta,,U.S. Senate,,Republican,David A. Perdue (I),45776
Coweta,,U.S. Senate,,Democrat,Jon Ossoff,21527
Coweta,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),45462
Coweta,,U.S. Senate (Special),,Democrat,Raphael Warnock,21825
Crawford,,U.S. Senate,,Republican,David A. Perdue (I),3879
Crawford,,U.S. Senate,,Democrat,Jon Ossoff,1486
Crawford,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),3869
Crawford,,U.S. Senate (Special),,Democrat,Raphael Warnock,1502
Crisp,,U.S. Senate,,Republican,David A. Perdue (I),4454
Crisp,,U.S. Senate,,Democrat,Jon Ossoff,2681
Crisp,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),4436
Crisp,,U.S. Senate (Special),,Democrat,Raphael Warnock,2702
Dade,,U.S. Senate,,Republican,David A. Perdue (I),5227
Dade,,U.S. Senate,,Democrat,Jon Ossoff,1131
Dade,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5227
Dade,,U.S. Senate (Special),,Democrat,Raphael Warnock,1111
Dawson,,U.S. Senate,,Republican,David A. Perdue (I),12159
Dawson,,U.S. Senate,,Democrat,Jon Ossoff,2230
Dawson,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),12113
Dawson,,U.S. Senate (Special),,Democrat,Raphael Warnock,2274
Decatur,,U.S. Senate,,Republican,David A. Perdue (I),5919
Decatur,,U.S. Senate,,Democrat,Jon Ossoff,4127
Decatur,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5926
Decatur,,U.S. Senate (Special),,Democrat,Raphael Warnock,4121
DeKalb,,U.S. Senate,,Republican,David A. Perdue (I),57674
DeKalb,,U.S. Senate,,Democrat,Jon Ossoff,291667
DeKalb,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),55479
DeKalb,,U.S. Senate (Special),,Democrat,Raphael Warnock,293902
Dodge,,U.S. Senate,,Republican,David A. Perdue (I),5165
Dodge,,U.S. Senate,,Democrat,Jon Ossoff,2011
Dodge,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5160
Dodge,,U.S. Senate (Special),,Democrat,Raphael Warnock,2021
Dooly,,U.S. Senate,,Republican,David A. Perdue (I),1938
Dooly,,U.S. Senate,,Democrat,Jon Ossoff,1802
Dooly,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1932
Dooly,,U.S. Senate (Special),,Democrat,Raphael Warnock,1812
Dougherty,,U.S. Senate,,Republican,David A. Perdue (I),9346
Dougherty,,U.S. Senate,,Democrat,Jon Ossoff,22745
Dougherty,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),9320
Dougherty,,U.S. Senate (Special),,Democrat,Raphael Warnock,22793
Douglas,,U.S. Senate,,Republican,David A. Perdue (I),21970
Douglas,,U.S. Senate,,Democrat,Jon Ossoff,40398
Douglas,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),21743
Douglas,,U.S. Senate (Special),,Democrat,Raphael Warnock,40630
Early,,U.S. Senate,,Republican,David A. Perdue (I),2368
Early,,U.S. Senate,,Democrat,Jon Ossoff,2182
Early,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2377
Early,,U.S. Senate (Special),,Democrat,Raphael Warnock,2172
Echols,,U.S. Senate,,Republican,David A. Perdue (I),1057
Echols,,U.S. Senate,,Democrat,Jon Ossoff,130
Echols,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1058
Echols,,U.S. Senate (Special),,Democrat,Raphael Warnock,128
Effingham,,U.S. Senate,,Republican,David A. Perdue (I),20680
Effingham,,U.S. Senate,,Democrat,Jon Ossoff,7147
Effingham,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),20682
Effingham,,U.S. Senate (Special),,Democrat,Raphael Warnock,7137
Elbert,,U.S. Senate,,Republican,David A. Perdue (I),5521
Elbert,,U.S. Senate,,Democrat,Jon Ossoff,2493
Elbert,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5531
Elbert,,U.S. Senate (Special),,Democrat,Raphael Warnock,2482
Emanuel,,U.S. Senate,,Republican,David A. Perdue (I),5807
Emanuel,,U.S. Senate,,Democrat,Jon Ossoff,2547
Emanuel,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5787
Emanuel,,U.S. Senate (Special),,Democrat,Raphael Warnock,2569
Evans,,U.S. Senate,,Republican,David A. Perdue (I),2539
Evans,,U.S. Senate,,Democrat,Jon Ossoff,1198
Evans,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2539
Evans,,U.S. Senate (Special),,Democrat,Raphael Warnock,1201
Fannin,,U.S. Senate,,Republican,David A. Perdue (I),11070
Fannin,,U.S. Senate,,Democrat,Jon Ossoff,2378
Fannin,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),11004
Fannin,,U.S. Senate (Special),,Democrat,Raphael Warnock,2436
Fayette,,U.S. Senate,,Republican,David A. Perdue (I),36463
Fayette,,U.S. Senate,,Democrat,Jon Ossoff,30938
Fayette,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),36094
Fayette,,U.S. Senate (Special),,Democrat,Raphael Warnock,31297
Floyd,,U.S. Senate,,Republican,David A. Perdue (I),25108
Floyd,,U.S. Senate,,Democrat,Jon Ossoff,10676
Floyd,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),24959
Floyd,,U.S. Senate (Special),,Democrat,Raphael Warnock,10834
Forsyth,,U.S. Senate,,Republican,David A. Perdue (I),78263
Forsyth,,U.S. Senate,,Democrat,Jon Ossoff,36936
Forsyth,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),77451
Forsyth,,U.S. Senate (Special),,Democrat,Raphael Warnock,37687
Franklin,,U.S. Senate,,Republican,David A. Perdue (I),7849
Franklin,,U.S. Senate,,Democrat,Jon Ossoff,1345
Franklin,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),7840
Franklin,,U.S. Senate (Special),,Democrat,Raphael Warnock,1345
Fulton,,U.S. Senate,,Republican,David A. Perdue (I),138417
Fulton,,U.S. Senate,,Democrat,Jon Ossoff,350342
Fulton,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),134191
Fulton,,U.S. Senate (Special),,Democrat,Raphael Warnock,354552
Gilmer,,U.S. Senate,,Republican,David A. Perdue (I),12163
Gilmer,,U.S. Senate,,Democrat,Jon Ossoff,2664
Gilmer,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),12132
Gilmer,,U.S. Senate (Special),,Democrat,Raphael Warnock,2697
Glascock,,U.S. Senate,,Republican,David A. Perdue (I),1230
Glascock,,U.S. Senate,,Democrat,Jon Ossoff,134
Glascock,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1234
Glascock,,U.S. Senate (Special),,Democrat,Raphael Warnock,130
Glynn,,U.S. Senate,,Republican,David A. Perdue (I),23476
Glynn,,U.S. Senate,,Democrat,Jon Ossoff,13976
Glynn,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),23448
Glynn,,U.S. Senate (Special),,Democrat,Raphael Warnock,13981
Gordon,,U.S. Senate,,Republican,David A. Perdue (I),16471
Gordon,,U.S. Senate,,Democrat,Jon Ossoff,3881
Gordon,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),16425
Gordon,,U.S. Senate (Special),,Democrat,Raphael Warnock,3929
Grady,,U.S. Senate,,Republican,David A. Perdue (I),6229
Grady,,U.S. Senate,,Democrat,Jon Ossoff,3099
Grady,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),6226
Grady,,U.S. Senate (Special),,Democrat,Raphael Warnock,3102
Greene,,U.S. Senate,,Republican,David A. Perdue (I),6917
Greene,,U.S. Senate,,Democrat,Jon Ossoff,3703
Greene,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),6855
Greene,,U.S. Senate (Special),,Democrat,Raphael Warnock,3758
Gwinnett,,U.S. Senate,,Republican,David A. Perdue (I),147563
Gwinnett,,U.S. Senate,,Democrat,Jon Ossoff,222346
Gwinnett,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),145597
Gwinnett,,U.S. Senate (Special),,Democrat,Raphael Warnock,224197
Habersham,,U.S. Senate,,Republican,David A. Perdue (I),14871
Habersham,,U.S. Senate,,Democrat,Jon Ossoff,3160
Habersham,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),14776
Habersham,,U.S. Senate (Special),,Democrat,Raphael Warnock,3243
Hall,,U.S. Senate,,Republican,David A. Perdue (I),57157
Hall,,U.S. Senate,,Democrat,Jon Ossoff,21883
Hall,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),56718
Hall,,U.S. Senate (Special),,Democrat,Raphael Warnock,22296
Hancock,,U.S. Senate,,Republican,David A. Perdue (I),1061
Hancock,,U.S. Senate,,Democrat,Jon Ossoff,2775
Hancock,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1058
Hancock,,U.S. Senate (Special),,Democrat,Raphael Warnock,2780
Haralson,,U.S. Senate,,Republican,David A. Perdue (I),10553
Haralson,,U.S. Senate,,Democrat,Jon Ossoff,1610
Haralson,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),10533
Haralson,,U.S. Senate (Special),,Democrat,Raphael Warnock,1626
Harris,,U.S. Senate,,Republican,David A. Perdue (I),13297
Harris,,U.S. Senate,,Democrat,Jon Ossoff,4986
Harris,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),13258
Harris,,U.S. Senate (Special),,Democrat,Raphael Warnock,5034
Hart,,U.S. Senate,,Republican,David A. Perdue (I),8336
Hart,,U.S. Senate,,Democrat,Jon Ossoff,2869
Hart,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),8354
Hart,,U.S. Senate (Special),,Democrat,Raphael Warnock,2847
Heard,,U.S. Senate,,Republican,David A. Perdue (I),3895
Heard,,U.S. Senate,,Democrat,Jon Ossoff,780
Heard,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),3877
Heard,,U.S. Senate (Special),,Democrat,Raphael Warnock,801
Henry,,U.S. Senate,,Republican,David A. Perdue (I),41145
Henry,,U.S. Senate,,Democrat,Jon Ossoff,68235
Henry,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),40824
Henry,,U.S. Senate (Special),,Democrat,Raphael Warnock,68576
Houston,,U.S. Senate,,Republican,David A. Perdue (I),36779
Houston,,U.S. Senate,,Democrat,Jon Ossoff,29608
Houston,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),36644
Houston,,U.S. Senate (Special),,Democrat,Raphael Warnock,29749
Irwin,,U.S. Senate,,Republican,David A. Perdue (I),2739
Irwin,,U.S. Senate,,Democrat,Jon Ossoff,877
Irwin,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2732
Irwin,,U.S. Senate (Special),,Democrat,Raphael Warnock,885
Jackson,,U.S. Senate,,Republican,David A. Perdue (I),25793
Jackson,,U.S. Senate,,Democrat,Jon Ossoff,6785
Jackson,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),25658
Jackson,,U.S. Senate (Special),,Democrat,Raphael Warnock,6925
Jasper,,U.S. Senate,,Republican,David A. Perdue (I),5146
Jasper,,U.S. Senate,,Democrat,Jon Ossoff,1654
Jasper,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5120
Jasper,,U.S. Senate (Special),,Democrat,Raphael Warnock,1683
Jefferson,,U.S. Senate,,Republican,David A. Perdue (I),3174
Jefferson,,U.S. Senate,,Democrat,Jon Ossoff,3752
Jefferson,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),3159
Jefferson,,U.S. Senate (Special),,Democrat,Raphael Warnock,3767
Jeff Davis,,U.S. Senate,,Republican,David A. Perdue (I),4139
Jeff Davis,,U.S. Senate,,Democrat,Jon Ossoff,947
Jeff Davis,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),4143
Jeff Davis,,U.S. Senate (Special),,Democrat,Raphael Warnock,937
Jenkins,,U.S. Senate,,Republican,David A. Perdue (I),1943
Jenkins,,U.S. Senate,,Democrat,Jon Ossoff,1173
Jenkins,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1945
Jenkins,,U.S. Senate (Special),,Democrat,Raphael Warnock,1169
Johnson,,U.S. Senate,,Republican,David A. Perdue (I),2529
Johnson,,U.S. Senate,,Democrat,Jon Ossoff,1044
Johnson,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2529
Johnson,,U.S. Senate (Special),,Democrat,Raphael Warnock,1047
Jones,,U.S. Senate,,Republican,David A. Perdue (I),8815
Jones,,U.S. Senate,,Democrat,Jon Ossoff,4517
Jones,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),8803
Jones,,U.S. Senate (Special),,Democrat,Raphael Warnock,4534
Lamar,,U.S. Senate,,Republican,David A. Perdue (I),5588
Lamar,,U.S. Senate,,Democrat,Jon Ossoff,2395
Lamar,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5558
Lamar,,U.S. Senate (Special),,Democrat,Raphael Warnock,2428
Lanier,,U.S. Senate,,Republican,David A. Perdue (I),2127
Lanier,,U.S. Senate,,Democrat,Jon Ossoff,905
Lanier,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2126
Lanier,,U.S. Senate (Special),,Democrat,Raphael Warnock,910
Laurens,,U.S. Senate,,Republican,David A. Perdue (I),12855
Laurens,,U.S. Senate,,Democrat,Jon Ossoff,7389
Laurens,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),12806
Laurens,,U.S. Senate (Special),,Democrat,Raphael Warnock,7435
Lee,,U.S. Senate,,Republican,David A. Perdue (I),10665
Lee,,U.S. Senate,,Democrat,Jon Ossoff,4225
Lee,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),10657
Lee,,U.S. Senate (Special),,Democrat,Raphael Warnock,4240
Liberty,,U.S. Senate,,Republican,David A. Perdue (I),6485
Liberty,,U.S. Senate,,Democrat,Jon Ossoff,11830
Liberty,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),6457
Liberty,,U.S. Senate (Special),,Democrat,Raphael Warnock,11875
Lincoln,,U.S. Senate,,Republican,David A. Perdue (I),2906
Lincoln,,U.S. Senate,,Democrat,Jon Ossoff,1311
Lincoln,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2903
Lincoln,,U.S. Senate (Special),,Democrat,Raphael Warnock,1317
Long,,U.S. Senate,,Republican,David A. Perdue (I),2838
Long,,U.S. Senate,,Democrat,Jon Ossoff,1795
Long,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2835
Long,,U.S. Senate (Special),,Democrat,Raphael Warnock,1803
Lowndes,,U.S. Senate,,Republican,David A. Perdue (I),22464
Lowndes,,U.S. Senate,,Democrat,Jon Ossoff,17369
Lowndes,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),22455
Lowndes,,U.S. Senate (Special),,Democrat,Raphael Warnock,17382
Lumpkin,,U.S. Senate,,Republican,David A. Perdue (I),10877
Lumpkin,,U.S. Senate,,Democrat,Jon Ossoff,2820
Lumpkin,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),10831
Lumpkin,,U.S. Senate (Special),,Democrat,Raphael Warnock,2868
Macon,,U.S. Senate,,Republican,David A. Perdue (I),1599
Macon,,U.S. Senate,,Democrat,Jon Ossoff,2664
Macon,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1591
Macon,,U.S. Senate (Special),,Democrat,Raphael Warnock,2685
Madison,,U.S. Senate,,Republican,David A. Perdue (I),10125
Madison,,U.S. Senate,,Democrat,Jon Ossoff,3074
Madison,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),10101
Madison,,U.S. Senate (Special),,Democrat,Raphael Warnock,3102
Marion,,U.S. Senate,,Republican,David A. Perdue (I),1998
Marion,,U.S. Senate,,Democrat,Jon Ossoff,1217
Marion,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1994
Marion,,U.S. Senate (Special),,Democrat,Raphael Warnock,1217
McDuffie,,U.S. Senate,,Republican,David A. Perdue (I),5502
McDuffie,,U.S. Senate,,Democrat,Jon Ossoff,3733
McDuffie,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5480
McDuffie,,U.S. Senate (Special),,Democrat,Raphael Warnock,3752
McIntosh,,U.S. Senate,,Republican,David A. Perdue (I),3539
McIntosh,,U.S. Senate,,Democrat,Jon Ossoff,2399
McIntosh,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),3531
McIntosh,,U.S. Senate (Special),,Democrat,Raphael Warnock,2417
Meriwether,,U.S. Senate,,Republican,David A. Perdue (I),5833
Meriwether,,U.S. Senate,,Democrat,Jon Ossoff,4012
Meriwether,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),5808
Meriwether,,U.S. Senate (Special),,Democrat,Raphael Warnock,4036
Miller,,U.S. Senate,,Republican,David A. Perdue (I),1800
Miller,,U.S. Senate,,Democrat,Jon Ossoff,650
Miller,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1803
Miller,,U.S. Senate (Special),,Democrat,Raphael Warnock,651
Mitchell,,U.S. Senate,,Republican,David A. Perdue (I),4309
Mitchell,,U.S. Senate,,Democrat,Jon Ossoff,3546
Mitchell,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),4300
Mitchell,,U.S. Senate (Special),,Democrat,Raphael Warnock,3569
Monroe,,U.S. Senate,,Republican,David A. Perdue (I),10084
Monroe,,U.S. Senate,,Democrat,Jon Ossoff,4027
Monroe,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),10057
Monroe,,U.S. Senate (Special),,Democrat,Raphael Warnock,4058
Montgomery,,U.S. Senate,,Republican,David A. Perdue (I),2635
Montgomery,,U.S. Senate,,Democrat,Jon Ossoff,884
Montgomery,,U.S. Senate (Special),,Republican,Kelly Loeffler (I),2630
