county,precinct,office,district,party,candidate,total_votes
Appling,,U.S. Senate,,Republican,Herschel Junior Walker,5043
Appling,,U.S. Senate,,Democrat,Raphael Warnock (I),1222
Atkinson,,U.S. Senate,,Republican,Herschel Junior Walker,1524
Atkinson,,U.S. Senate,,Democrat,Raphael Warnock (I),485
Bacon,,U.S. Senate,,Republican,Herschel Junior Walker,3047
Bacon,,U.S. Senate,,Democrat,Raphael Warnock (I),441
Baker,,U.S. Senate,,Republican,Herschel Junior Walker,651
Baker,,U.S. Senate,,Democrat,Raphael Warnock (I),481
Baldwin,,U.S. Senate,,Republican,Herschel Junior Walker,6854
Baldwin,,U.S. Senate,,Democrat,Raphael Warnock (I),7007
Banks,,U.S. Senate,,Republican,Herschel Junior Walker,5828
Banks,,U.S. Senate,,Democrat,Raphael Warnock (I),698
Barrow,,U.S. Senate,,Republican,Herschel Junior Walker,17945
Barrow,,U.S. Senate,,Democrat,Raphael Warnock (I),7453
Bartow,,U.S. Senate,,Republican,Herschel Junior Walker,26750
Bartow,,U.S. Senate,,Democrat,Raphael Warnock (I),8550
Ben Hill,,U.S. Senate,,Republican,Herschel Junior Walker,3022
Ben Hill,,U.S. Senate,,Democrat,Raphael Warnock (I),1718
Berrien,,U.S. Senate,,Republican,Herschel Junior Walker,4706
Berrien,,U.S. Senate,,Democrat,Raphael Warnock (I),843
Bibb,,U.S. Senate,,Republican,Herschel Junior Walker,18342
Bibb,,U.S. Senate,,Democrat,Raphael Warnock (I),31017
Bleckley,,U.S. Senate,,Republican,Herschel Junior Walker,3456
Bleckley,,U.S. Senate,,Democrat,Raphael Warnock (I),1011
Brantley,,U.S. Senate,,Republican,Herschel Junior Walker,5039
Brantley,,U.S. Senate,,Democrat,Raphael Warnock (I),467
Brooks,,U.S. Senate,,Republican,Herschel Junior Walker,3209
Brooks,,U.S. Senate,,Democrat,Raphael Warnock (I),1844
Bryan,,U.S. Senate,,Republican,Herschel Junior Walker,10244
Bryan,,U.S. Senate,,Democrat,Raphael Warnock (I),5194
Bulloch,,U.S. Senate,,Republican,Herschel Junior Walker,13561
Bulloch,,U.S. Senate,,Democrat,Raphael Warnock (I),7767
Burke,,U.S. Senate,,Republican,Herschel Junior Walker,4148
Burke,,U.S. Senate,,Democrat,Raphael Warnock (I),3778
Butts,,U.S. Senate,,Republican,Herschel Junior Walker,6222
Butts,,U.S. Senate,,Democrat,Raphael Warnock (I),2497
Calhoun,,U.S. Senate,,Republican,Herschel Junior Walker,664
Calhoun,,U.S. Senate,,Democrat,Raphael Warnock (I),925
Camden,,U.S. Senate,,Republican,Herschel Junior Walker,10823
Camden,,U.S. Senate,,Democrat,Raphael Warnock (I),5605
Candler,,U.S. Senate,,Republican,Herschel Junior Walker,2341
Candler,,U.S. Senate,,Democrat,Raphael Warnock (I),940
Carroll,,U.S. Senate,,Republican,Herschel Junior Walker,27561
Carroll,,U.S. Senate,,Democrat,Raphael Warnock (I),11991
Catoosa,,U.S. Senate,,Republican,Herschel Junior Walker,16891
Catoosa,,U.S. Senate,,Democrat,Raphael Warnock (I),4814
Charlton,,U.S. Senate,,Republican,Herschel Junior Walker,2377
