county,precinct,office,district,party,candidate,total_votes
Charlton,,U.S. Senate,,Democrat,Raphael Warnock (I),730
Chatham,,U.S. Senate,,Republican,Herschel Junior Walker,36754
Chatham,,U.S. Senate,,Democrat,Raphael Warnock (I),59759
Chattahoochee,,U.S. Senate,,Republican,Herschel Junior Walker,468
Chattahoochee,,U.S. Senate,,Democrat,Raphael Warnock (I),434
Chattooga,,U.S. Senate,,Republican,Herschel Junior Walker,5500
Chattooga,,U.S. Senate,,Democrat,Raphael Warnock (I),1343
Cherokee,,U.S. Senate,,Republican,Herschel Junior Walker,71802
Cherokee,,U.S. Senate,,Democrat,Raphael Warnock (I),32140
Clarke,,U.S. Senate,,Republican,Herschel Junior Walker,9742
Clarke,,U.S. Senate,,Democrat,Raphael Warnock (I),27393
Clayton,,U.S. Senate,,Republican,Herschel Junior Walker,8044
Clayton,,U.S. Senate,,Democrat,Raphael Warnock (I),65976
Clay,,U.S. Senate,,Republican,Herschel Junior Walker,485
Clay,,U.S. Senate,,Democrat,Raphael Warnock (I),536
Clinch,,U.S. Senate,,Republican,Herschel Junior Walker,1514
Clinch,,U.S. Senate,,Democrat,Raphael Warnock (I),463
Cobb,,U.S. Senate,,Republican,Herschel Junior Walker,112920
Cobb,,U.S. Senate,,Democrat,Raphael Warnock (I),166346
Coffee,,U.S. Senate,,Republican,Herschel Junior Walker,7850
Coffee,,U.S. Senate,,Democrat,Raphael Warnock (I),3149
Colquitt,,U.S. Senate,,Republican,Herschel Junior Walker,8678
Colquitt,,U.S. Senate,,Democrat,Raphael Warnock (I),2791
Columbia,,U.S. Senate,,Republican,Herschel Junior Walker,36331
Columbia,,U.S. Senate,,Democrat,Raphael Warnock (I),21643
Cook,,U.S. Senate,,Republican,Herschel Junior Walker,3689
Cook,,U.S. Senate,,Democrat,Raphael Warnock (I),1452
Coweta,,U.S. Senate,,Republican,Herschel Junior Walker,35110
Coweta,,U.S. Senate,,Democrat,Raphael Warnock (I),17500
Crawford,,U.S. Senate,,Republican,Herschel Junior Walker,3196
Crawford,,U.S. Senate,,Democrat,Raphael Warnock (I),1228
Crisp,,U.S. Senate,,Republican,Herschel Junior Walker,3732
Crisp,,U.S. Senate,,Democrat,Raphael Warnock (I),2035
Dade,,U.S. Senate,,Republican,Herschel Junior Walker,4195
Dade,,U.S. Senate,,Democrat,Raphael Warnock (I),901
Dawson,,U.S. Senate,,Republican,Herschel Junior Walker,10166
Dawson,,U.S. Senate,,Democrat,Raphael Warnock (I),2103
Decatur,,U.S. Senate,,Republican,Herschel Junior Walker,4880
Decatur,,U.S. Senate,,Democrat,Raphael Warnock (I),3088
DeKalb,,U.S. Senate,,Republican,Herschel Junior Walker,36186
DeKalb,,U.S. Senate,,Democrat,Raphael Warnock (I),236930
Dodge,,U.S. Senate,,Republican,Herschel Junior Walker,4634
Dodge,,U.S. Senate,,Democrat,Raphael Warnock (I),1620
Dooly,,U.S. Senate,,Republican,Herschel Junior Walker,1645
Dooly,,U.S. Senate,,Democrat,Raphael Warnock (I),1408
Dougherty,,U.S. Senate,,Republican,Herschel Junior Walker,7091
Dougherty,,U.S. Senate,,Democrat,Raphael Warnock (I),17839
Douglas,,U.S. Senate,,Republican,Herschel Junior Walker,16142
Douglas,,U.S. Senate,,Democrat,Raphael Warnock (I),32399
Early,,U.S. Senate,,Republican,Herschel Junior Walker,2010
Early,,U.S. Senate,,Democrat,Raphael Warnock (I),1653
Echols,,U.S. Senate,,Republican,Herschel Junior Walker,861
Echols,,U.S. Senate,,Democrat,Raphael Warnock (I),88
Effingham,,U.S. Senate,,Republican,Herschel Junior Walker,16668
Effingham,,U.S. Senate,,Democrat,Raphael Warnock (I),5985
Elbert,,U.S. Senate,,Republican,Herschel Junior Walker,4713
Elbert,,U.S. Senate,,Democrat,Raphael Warnock (I),1944
Emanuel,,U.S. Senate,,Republican,Herschel Junior Walker,5033
Emanuel,,U.S. Senate,,Democrat,Raphael Warnock (I),2091
Evans,,U.S. Senate,,Republican,Herschel Junior Walker,2172
Evans,,U.S. Senate,,Democrat,Raphael Warnock (I),938
Fannin,,U.S. Senate,,Republican,Herschel Junior Walker,9116
Fannin,,U.S. Senate,,Democrat,Raphael Warnock (I),2046
Fayette,,U.S. Senate,,Republican,Herschel Junior Walker,27071
Fayette,,U.S. Senate,,Democrat,Raphael Warnock (I),26584
Floyd,,U.S. Senate,,Republican,Herschel Junior Walker,19973
Floyd,,U.S. Senate,,Democrat,Raphael Warnock (I),8358
Forsyth,,U.S. Senate,,Republican,Herschel Junior Walker,58295
Forsyth,,U.S. Senate,,Democrat,Raphael Warnock (I),30433
Franklin,,U.S. Senate,,Republican,Herschel Junior Walker,6926
Franklin,,U.S. Senate,,Democrat,Raphael Warnock (I),1077
Fulton,,U.S. Senate,,Republican,Herschel Junior Walker,86174
Fulton,,U.S. Senate,,Democrat,Raphael Warnock (I),282116
Gilmer,,U.S. Senate,,Republican,Herschel Junior Walker,10391
Gilmer,,U.S. Senate,,Democrat,Raphael Warnock (I),2352
Glascock,,U.S. Senate,,Republican,Herschel Junior Walker,1118
Glascock,,U.S. Senate,,Democrat,Raphael Warnock (I),105
Glynn,,U.S. Senate,,Republican,Herschel Junior Walker,18900
Glynn,,U.S. Senate,,Democrat,Raphael Warnock (I),11423
Gordon,,U.S. Senate,,Republican,Herschel Junior Walker,14055
Gordon,,U.S. Senate,,Democrat,Raphael Warnock (I),3032
Grady,,U.S. Senate,,Republican,Herschel Junior Walker,5067
Grady,,U.S. Senate,,Democrat,Raphael Warnock (I),2449
Greene,,U.S. Senate,,Republican,Herschel Junior Walker,6278
Greene,,U.S. Senate,,Democrat,Raphael Warnock (I),3401
Gwinnett,,U.S. Senate,,Republican,Herschel Junior Walker,100600
Gwinnett,,U.S. Senate,,Democrat,Raphael Warnock (I),165066
Habersham,,U.S. Senate,,Republican,Herschel Junior Walker,12668
Habersham,,U.S. Senate,,Democrat,Raphael Warnock (I),2715
Hall,,U.S. Senate,,Republican,Herschel Junior Walker,47471
Hall,,U.S. Senate,,Democrat,Raphael Warnock (I),17826
Hancock,,U.S. Senate,,Republican,Herschel Junior Walker,910
Hancock,,U.S. Senate,,Democrat,Raphael Warnock (I),2356
Haralson,,U.S. Senate,,Republican,Herschel Junior Walker,9051
Haralson,,U.S. Senate,,Democrat,Raphael Warnock (I),1373
Harris,,U.S. Senate,,Republican,Herschel Junior Walker,11141
Harris,,U.S. Senate,,Democrat,Raphael Warnock (I),4393
Hart,,U.S. Senate,,Republican,Herschel Junior Walker,7507
Hart,,U.S. Senate,,Democrat,Raphael Warnock (I),2271
Heard,,U.S. Senate,,Republican,Herschel Junior Walker,3407
Heard,,U.S. Senate,,Democrat,Raphael Warnock (I),639
Henry,,U.S. Senate,,Republican,Herschel Junior Walker,28098
Henry,,U.S. Senate,,Democrat,Raphael Warnock (I),55188
Houston,,U.S. Senate,,Republican,Herschel Junior Walker,29437
Houston,,U.S. Senate,,Democrat,Raphael Warnock (I),24605
Irwin,,U.S. Senate,,Republican,Herschel Junior Walker,2427
Irwin,,U.S. Senate,,Democrat,Raphael Warnock (I),706
Jackson,,U.S. Senate,,Republican,Herschel Junior Walker,21613
Jackson,,U.S. Senate,,Democrat,Raphael Warnock (I),5854
Jasper,,U.S. Senate,,Republican,Herschel Junior Walker,4569
Jasper,,U.S. Senate,,Democrat,Raphael Warnock (I),1339
Jefferson,,U.S. Senate,,Republican,Herschel Junior Walker,2896
Jefferson,,U.S. Senate,,Democrat,Raphael Warnock (I),3079
Jeff Davis,,U.S. Senate,,Republican,Herschel Junior Walker,3471
Jeff Davis,,U.S. Senate,,Democrat,Raphael Warnock (I),742
Jenkins,,U.S. Senate,,Republican,Herschel Junior Walker,1647
Jenkins,,U.S. Senate,,Democrat,Raphael Warnock (I),874
Johnson,,U.S. Senate,,Republican,Herschel Junior Walker,2419
Johnson,,U.S. Senate,,Democrat,Raphael Warnock (I),967
Jones,,U.S. Senate,,Republican,Herschel Junior Walker,7502
Jones,,U.S. Senate,,Democrat,Raphael Warnock (I),3744
Lamar,,U.S. Senate,,Republican,Herschel Junior Walker,4910
Lamar,,U.S. Senate,,Democrat,Raphael Warnock (I),2008
Lanier,,U.S. Senate,,Republican,Herschel Junior Walker,1752
Lanier,,U.S. Senate,,Democrat,Raphael Warnock (I),701
Laurens,,U.S. Senate,,Republican,Herschel Junior Walker,11355
Laurens,,U.S. Senate,,Democrat,Raphael Warnock (I),6060
Lee,,U.S. Senate,,Republican,Herschel Junior Walker,8743
Lee,,U.S. Senate,,Democrat,Raphael Warnock (I),3562
Liberty,,U.S. Senate,,Republican,Herschel Junior Walker,5021
Liberty,,U.S. Senate,,Democrat,Raphael Warnock (I),9210
Lincoln,,U.S. Senate,,Republican,Herschel Junior Walker,2660
Lincoln,,U.S. Senate,,Democrat,Raphael Warnock (I),1043
Long,,U.S. Senate,,Republican,Herschel Junior Walker,2445
Long,,U.S. Senate,,Democrat,Raphael Warnock (I),1472
Lowndes,,U.S. Senate,,Republican,Herschel Junior Walker,18448
Lowndes,,U.S. Senate,,Democrat,Raphael Warnock (I),13126
Lumpkin,,U.S. Senate,,Republican,Herschel Junior Walker,9005
Lumpkin,,U.S. Senate,,Democrat,Raphael Warnock (I),2339
Macon,,U.S. Senate,,Republican,Herschel Junior Walker,1361
Macon,,U.S. Senate,,Democrat,Raphael Warnock (I),2185
Madison,,U.S. Senate,,Republican,Herschel Junior Walker,8694
Madison,,U.S. Senate,,Democrat,Raphael Warnock (I),2712
Marion,,U.S. Senate,,Republican,Herschel Junior Walker,1655
Marion,,U.S. Senate,,Democrat,Raphael Warnock (I),1029
McDuffie,,U.S. Senate,,Republican,Herschel Junior Walker,4717
McDuffie,,U.S. Senate,,Democrat,Raphael Warnock (I),2993
McIntosh,,U.S. Senate,,Republican,Herschel Junior Walker,3181
McIntosh,,U.S. Senate,,Democrat,Raphael Warnock (I),2015
Meriwether,,U.S. Senate,,Republican,Herschel Junior Walker,5020
Meriwether,,U.S. Senate,,Democrat,Raphael Warnock (I),3245
Miller,,U.S. Senate,,Republican,Herschel Junior Walker,1493
Miller,,U.S. Senate,,Democrat,Raphael Warnock (I),442
Mitchell,,U.S. Senate,,Republican,Herschel Junior Walker,3716
Mitchell,,U.S. Senate,,Democrat,Raphael Warnock (I),2798
Monroe,,U.S. Senate,,Republican,Herschel Junior Walker,9018
Monroe,,U.S. Senate,,Democrat,Raphael Warnock (I),3609
Montgomery,,U.S. Senate,,Republican,Herschel Junior Walker,2286
Montgomery,,U.S. Senate,,Democrat,Raphael Warnock (I),751
Morgan,,U.S. Senate,,Republican,Herschel Junior Walker,6851
Morgan,,U.S. Senate,,Democrat,Raphael Warnock (I),2651
Murray,,U.S. Senate,,Republican,Herschel Junior Walker,8893
Murray,,U.S. Senate,,Democrat,Raphael Warnock (I),1339
Muscogee,,U.S. Senate,,Republican,Herschel Junior Walker,19433
Muscogee,,U.S. Senate,,Democrat,Raphael Warnock (I),35487
Newton,,U.S. Senate,,Republican,Herschel Junior Walker,15635
Newton,,U.S. Senate,,Democrat,Raphael Warnock (I),22356
Oconee,,U.S. Senate,,Republican,Herschel Junior Walker,13543
Oconee,,U.S. Senate,,Democrat,Raphael Warnock (I),6600
Oglethorpe,,U.S. Senate,,Republican,Herschel Junior Walker,4340
Oglethorpe,,U.S. Senate,,Democrat,Raphael Warnock (I),1917
Paulding,,U.S. Senate,,Republican,Herschel Junior Walker,36388
Paulding,,U.S. Senate,,Democrat,Raphael Warnock (I),22485
Peach,,U.S. Senate,,Republican,Herschel Junior Walker,4751
Peach,,U.S. Senate,,Democrat,Raphael Warnock (I),4433
Pickens,,U.S. Senate,,Republican,Herschel Junior Walker,10986
Pickens,,U.S. Senate,,Democrat,Raphael Warnock (I),2355
Pierce,,U.S. Senate,,Republican,Herschel Junior Walker,5929
Pierce,,U.S. Senate,,Democrat,Raphael Warnock (I),771
Pike,,U.S. Senate,,Republican,Herschel Junior Walker,7458
Pike,,U.S. Senate,,Democrat,Raphael Warnock (I),1185
Polk,,U.S. Senate,,Republican,Herschel Junior Walker,9506
Polk,,U.S. Senate,,Democrat,Raphael Warnock (I),2471
Pulaski,,U.S. Senate,,Republican,Herschel Junior Walker,2205
Pulaski,,U.S. Senate,,Democrat,Raphael Warnock (I),986
Putnam,,U.S. Senate,,Republican,Herschel Junior Walker,6594
Putnam,,U.S. Senate,,Democrat,Raphael Warnock (I),2696
Quitman,,U.S. Senate,,Republican,Herschel Junior Walker,477
Quitman,,U.S. Senate,,Democrat,Raphael Warnock (I),330
Rabun,,U.S. Senate,,Republican,Herschel Junior Walker,5742
Rabun,,U.S. Senate,,Democrat,Raphael Warnock (I),1706
Randolph,,U.S. Senate,,Republican,Herschel Junior Walker,1058
Randolph,,U.S. Senate,,Democrat,Raphael Warnock (I),1351
Richmond,,U.S. Senate,,Republican,Herschel Junior Walker,18014
Richmond,,U.S. Senate,,Democrat,Raphael Warnock (I),41812
Rockdale,,U.S. Senate,,Republican,Herschel Junior Walker,7752
Rockdale,,U.S. Senate,,Democrat,Raphael Warnock (I),23877
Schley,,U.S. Senate,,Republican,Herschel Junior Walker,1380
Schley,,U.S. Senate,,Democrat,Raphael Warnock (I),346
Screven,,U.S. Senate,,Republican,Herschel Junior Walker,2987
Screven,,U.S. Senate,,Democrat,Raphael Warnock (I),1910
Seminole,,U.S. Senate,,Republican,Herschel Junior Walker,1955
Seminole,,U.S. Senate,,Democrat,Raphael Warnock (I),793
Spalding,,U.S. Senate,,Republican,Herschel Junior Walker,12625
Spalding,,U.S. Senate,,Democrat,Raphael Warnock (I),8902
Stephens,,U.S. Senate,,Republican,Herschel Junior Walker,6702
Stephens,,U.S. Senate,,Democrat,Raphael Warnock (I),1662
Stewart,,U.S. Senate,,Republican,Herschel Junior Walker,534
Stewart,,U.S. Senate,,Democrat,Raphael Warnock (I),899
Sumter,,U.S. Senate,,Republican,Herschel Junior Walker,4203
Sumter,,U.S. Senate,,Democrat,Raphael Warnock (I),4649
Talbot,,U.S. Senate,,Republican,Herschel Junior Walker,1061
Talbot,,U.S. Senate,,Democrat,Raphael Warnock (I),1605
Taliaferro,,U.S. Senate,,Republican,Herschel Junior Walker,284
Taliaferro,,U.S. Senate,,Democrat,Raphael Warnock (I),431
Tattnall,,U.S. Senate,,Republican,Herschel Junior Walker,4562
Tattnall,,U.S. Senate,,Democrat,Raphael Warnock (I),1440
Taylor,,U.S. Senate,,Republican,Herschel Junior Walker,1879
Taylor,,U.S. Senate,,Democrat,Raphael Warnock (I),1125
Telfair,,U.S. Senate,,Republican,Herschel Junior Walker,2182
Telfair,,U.S. Senate,,Democrat,Raphael Warnock (I),1037
Terrell,,U.S. Senate,,Republican,Herschel Junior Walker,1571
Terrell,,U.S. Senate,,Democrat,Raphael Warnock (I),1777
Thomas,,U.S. Senate,,Republican,Herschel Junior Walker,9432
Thomas,,U.S. Senate,,Democrat,Raphael Warnock (I),6036
Tift,,U.S. Senate,,Republican,Herschel Junior Walker,8243
Tift,,U.S. Senate,,Democrat,Raphael Warnock (I),3796
Toombs,,U.S. Senate,,Republican,Herschel Junior Walker,5780
Toombs,,U.S. Senate,,Democrat,Raphael Warnock (I),1972
Towns,,U.S. Senate,,Republican,Herschel Junior Walker,5201
Towns,,U.S. Senate,,Democrat,Raphael Warnock (I),1280
Treutlen,,U.S. Senate,,Republican,Herschel Junior Walker,1644
Treutlen,,U.S. Senate,,Democrat,Raphael Warnock (I),683
Troup,,U.S. Senate,,Republican,Herschel Junior Walker,12757
Troup,,U.S. Senate,,Democrat,Raphael Warnock (I),8339
Turner,,U.S. Senate,,Republican,Herschel Junior Walker,1745
Turner,,U.S. Senate,,Democrat,Raphael Warnock (I),1048
Twiggs,,U.S. Senate,,Republican,Herschel Junior Walker,1799
Twiggs,,U.S. Senate,,Democrat,Raphael Warnock (I),1583
Union,,U.S. Senate,,Republican,Herschel Junior Walker,10214
Union,,U.S. Senate,,Democrat,Raphael Warnock (I),2426
Upson,,U.S. Senate,,Republican,Herschel Junior Walker,6043
Upson,,U.S. Senate,,Democrat,Raphael Warnock (I),2872
Walker,,U.S. Senate,,Republican,Herschel Junior Walker,15517
Walker,,U.S. Senate,,Democrat,Raphael Warnock (I),3905
Walton,,U.S. Senate,,Republican,Herschel Junior Walker,28147
Walton,,U.S. Senate,,Democrat,Raphael Warnock (I),10089
Ware,,U.S. Senate,,Republican,Herschel Junior Walker,7005
Ware,,U.S. Senate,,Democrat,Raphael Warnock (I),2861
Warren,,U.S. Senate,,Republican,Herschel Junior Walker,959
Warren,,U.S. Senate,,Democrat,Raphael Warnock (I),1063
Washington,,U.S. Senate,,Republican,Herschel Junior Walker,3667
Washington,,U.S. Senate,,Democrat,Raphael Warnock (I),3754
Wayne,,U.S. Senate,,Republican,Herschel Junior Walker,7284
Wayne,,U.S. Senate,,Democrat,Raphael Warnock (I),1942
Webster,,U.S. Senate,,Republican,Herschel Junior Walker,616
Webster,,U.S. Senate,,Democrat,Raphael Warnock (I),420
Wheeler,,U.S. Senate,,Republican,Herschel Junior Walker,1231
Wheeler,,U.S. Senate,,Democrat,Raphael Warnock (I),492
White,,U.S. Senate,,Republican,Herschel Junior Walker,9422
White,,U.S. Senate,,Democrat,Raphael Warnock (I),1900
Whitfield,,U.S. Senate,,Republican,Herschel Junior Walker,17726
Whitfield,,U.S. Senate,,Democrat,Raphael Warnock (I),6061
Wilcox,,U.S. Senate,,Republican,Herschel Junior Walker,1765
Wilcox,,U.S. Senate,,Democrat,Raphael Warnock (I),615
Wilkes,,U.S. Senate,,Republican,Herschel Junior Walker,2228
Wilkes,,U.S. Senate,,Democrat,Raphael Warnock (I),1609
Wilkinson,,U.S. Senate,,Republican,Herschel Junior Walker,2105
Wilkinson,,U.S. Senate,,Democrat,Raphael Warnock (I),1678
Worth,,U.S. Senate,,Republican,Herschel Junior Walker,5097
Worth,,U.S. Senate,,Democrat,Raphael Warnock (I),1759
