precinct,perdue,ossoff,loeffler,warnock
Tarboro,445,180,446,180
Waverly,799,309,799,308
Woodbine,715,472,717,470
Browntown,310,62,315,59
Harrietts Bluff,977,274,984,266
West Kingsland,1106,401,1110,398
North Kingsland,605,684,603,687
Kingsland,623,406,624,403
East Kingsland,2357,1367,2367,1360
North St Marys,405,324,408,321
St Marys,967,738,971,732
South St Marys,894,480,890,482
Mush Bluff,1116,521,1123,515
West St Marys,1696,638,1706,626
