county,precinct,office,district,party,candidate,total_votes
Appling,,U.S. Senate,,Republican,Herschel Junior Walker,5344
Appling,,U.S. Senate,,Democrat,Raphael Warnock (I),1260
Appling,,U.S. Senate,,Libertarian,Chase Oliver,65
Appling,,Governor,,Republican,Brian Kemp (I),5552
Appling,,Governor,,Democrat,Stacey Abrams,1131
Appling,,Governor,,Libertarian,Shane Hazel,20
Appling,,Lieutenant Governor,,Republican,Burt Jones,5395
Appling,,Lieutenant Governor,,Democrat,Charlie Bailey,1117
Appling,,Lieutenant Governor,,Libertarian,Ryan Graham,51
Appling,,Secretary of State,,Republican,Brad Raffensperger (I),5358
Appling,,Secretary of State,,Democrat,Bee Nguyen,1034
Appling,,Secretary of State,,Libertarian,Ted Metz,170
Appling,,Attorney General,,Republican,Chris Carr (I),5397
Appling,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",1158
Appling,,Attorney General,,Libertarian,Martin Cowen,42
Appling,,Commissioner of Agriculture,,Republican,Tyler Harper,5447
Appling,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,1097
Appling,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,62
Appling,,Commissioner of Insurance,,Republican,John King (I),5446
Appling,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,1135
Appling,,State School Superintendent,,Republican,Richard Woods (I),5459
Appling,,State School Superintendent,,Democrat,Alisha Thomas Searcy,1137
Appling,,Commissioner of Labor,,Republican,Bruce Thompson,5402
Appling,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",1133
Appling,,Commissioner of Labor,,Libertarian,Emily Anderson,59
Atkinson,,U.S. Senate,,Republican,Herschel Junior Walker,1709
Atkinson,,U.S. Senate,,Democrat,Raphael Warnock (I),502
Atkinson,,U.S. Senate,,Libertarian,Chase Oliver,27
Atkinson,,Governor,,Republican,Brian Kemp (I),1767
Atkinson,,Governor,,Democrat,Stacey Abrams,467
Atkinson,,Governor,,Libertarian,Shane Hazel,12
Atkinson,,Lieutenant Governor,,Republican,Burt Jones,1710
Atkinson,,Lieutenant Governor,,Democrat,Charlie Bailey,440
Atkinson,,Lieutenant Governor,,Libertarian,Ryan Graham,29
Atkinson,,Secretary of State,,Republican,Brad Raffensperger (I),1668
Atkinson,,Secretary of State,,Democrat,Bee Nguyen,422
Atkinson,,Secretary of State,,Libertarian,Ted Metz,67
Atkinson,,Attorney General,,Republican,Chris Carr (I),1686
Atkinson,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",469
Atkinson,,Attorney General,,Libertarian,Martin Cowen,32
Atkinson,,Commissioner of Agriculture,,Republican,Tyler Harper,1736
Atkinson,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,422
Atkinson,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,36
Atkinson,,Commissioner of Insurance,,Republican,John King (I),1717
Atkinson,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,455
Atkinson,,State School Superintendent,,Republican,Richard Woods (I),1729
Atkinson,,State School Superintendent,,Democrat,Alisha Thomas Searcy,452
Atkinson,,Commissioner of Labor,,Republican,Bruce Thompson,1708
