county,precinct,office,district,party,candidate,votes
Appling,,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins (I),6854
Appling,,President,,Democrat,Kamala D. Harris,1560
Appling,,President,,Green,Jill Stein,5
Appling,,President,,Libertarian,Chase Oliver,8
Appling,,President,,Republican,Donald J. Trump,6761
Appling,,State House,157,Republican,William 'Bill' Werkheiser (I),4428
Appling,,State House,178,Republican,Steven Meeks (I),2461
Appling,,State Senate,19,Republican,Blake Tillery (I),7060
Appling,,U.S. House,1,Democrat,Patti Hewitt,1315
Appling,,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter (I)",6697
Atkinson,,District Attorney,Alapaha Judicial Circuit,Republican,Chase L. Studstill (I),2582
Atkinson,,President,,Democrat,Kamala D. Harris,700
Atkinson,,President,,Green,Jill Stein,1
Atkinson,,President,,Libertarian,Chase Oliver,6
Atkinson,,President,,Republican,Donald J. Trump,2350
Atkinson,,State House,176,Republican,James D. Burchett (I),2571
Atkinson,,State Senate,8,Republican,Russ Goodman (I),2556
Atkinson,,U.S. House,8,Democrat,Darrius Butler,606
Atkinson,,U.S. House,8,Republican,Austin Scott (I),2277
Bacon,,President,,Democrat,Kamala D. Harris,645
Bacon,,President,,Green,Jill Stein,2
Bacon,,President,,Libertarian,Chase Oliver,6
Bacon,,President,,Republican,Donald J. Trump,4186
Bacon,,State House,178,Republican,Steven Meeks (I),4105
Bacon,,State Senate,19,Republican,Blake Tillery (I),4136
Bacon,,U.S. House,1,Democrat,Patti Hewitt,505
Bacon,,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter (I)",4157
Baker,,District Attorney,South Georgia Judicial Circuit,Republican,Joe Mulholland (I),1089
Baker,,President,,Democrat,Kamala D. Harris,590
Baker,,President,,Green,Jill Stein,2
Baker,,President,,Libertarian,Chase Oliver,1
Baker,,President,,Republican,Donald J. Trump,883
Baker,,State House,154,Republican,Gerald E. Greene (I),1087
Baker,,State Senate,12,Democrat,Freddie Powell Sims (I),1023
Baker,,U.S. House,2,Democrat,Sanford Bishop (I),730
Baker,,U.S. House,2,Republican,A. Wayne Johnson,722
Baldwin,,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale (I),14355
Baldwin,,President,,Democrat,Kamala D. Harris,9159
Baldwin,,President,,Green,Jill Stein,33
Baldwin,,President,,Libertarian,Chase Oliver,59
Baldwin,,President,,Republican,Donald J. Trump,9574
Baldwin,,State House,128,Democrat,Mack Jackson (I),1195
Baldwin,,State House,128,Republican,Tracy Wheeler,1618
Baldwin,,State House,149,Democrat,Floyd Griffin,7182
Baldwin,,State House,149,Republican,Ken Vance (I),8421
Baldwin,,State Senate,25,Republican,"Ricky ""Rick"" Williams (I)",14527
Baldwin,,U.S. House,8,Democrat,Darrius Butler,8062
Baldwin,,U.S. House,8,Republican,Austin Scott (I),9810
Banks,,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith (I),9618
Banks,,President,,Democrat,Kamala D. Harris,1136
Banks,,President,,Green,Jill Stein,10
Banks,,President,,Libertarian,Chase Oliver,15
Banks,,President,,Republican,Donald J. Trump,9358
Banks,,State House,32,Republican,Chris Erwin (I),9663
Banks,,State Senate,50,Democrat,June Krise,1035
Banks,,State Senate,50,Republican,Bo Hatchett (I),9244
Banks,,U.S. House,9,Democrat,Tambrei Cash,1030
Banks,,U.S. House,9,Republican,Andrew Clyde (I),9292
Barrow,,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith (I),37154
Barrow,,President,,Democrat,Kamala D. Harris,12949
Barrow,,President,,Green,Jill Stein,72
Barrow,,President,,Libertarian,Chase Oliver,183
Barrow,,President,,Republican,Donald J. Trump,30730
Barrow,,State House,104,Republican,Chuck Efstration (I),9848
Barrow,,State House,119,Republican,Holt Persinger (I),24798
Barrow,,State House,120,Democrat,Andrew Ferguson,748
Barrow,,State House,120,Republican,Houston Gaines (I),1846
Barrow,,State Senate,45,Republican,Clint Dixon (I),16635
Barrow,,State Senate,46,Democrat,Gareth Fenley,2925
Barrow,,State Senate,46,Republican,Bill Cowsert (I),5169
Barrow,,State Senate,47,Democrat,Conolus Scott,3805
Barrow,,State Senate,47,Republican,Frank Ginn (I),11700
Barrow,,U.S. House,10,Democrat,"Alexandra ""Lexy"" Doherty",12032
Barrow,,U.S. House,10,Republican,Mike Collins (I),31115
Bartow,,District Attorney,Cherokee Judicial Circuit,Republican,"Erle J. Newton, III",49101
Bartow,,President,,Democrat,Kamala D. Harris,13942
Bartow,,President,,Green,Jill Stein,92
Bartow,,President,,Libertarian,Chase Oliver,242
Bartow,,President,,Republican,Donald J. Trump,43271
Bartow,,State House,14,Republican,Mitchell L. Scoggins (I),24568
Bartow,,State House,15,Republican,Matthew Gambill (I),25032
Bartow,,State Senate,37,Democrat,Vanessa Ella Parker,1272
Bartow,,State Senate,37,Republican,Ed Setzler (I),3948
Bartow,,State Senate,52,Republican,Chuck Hufstetler (I),44581
Bartow,,U.S. House,11,Democrat,"Katy ""Kate"" L. Stamper",11740
Bartow,,U.S. House,11,Republican,Barry Loudermilk (I),43971
Ben Hill,,President,,Democrat,Kamala D. Harris,2199
Ben Hill,,President,,Green,Jill Stein,7
Ben Hill,,President,,Libertarian,Chase Oliver,14
Ben Hill,,President,,Republican,Donald J. Trump,4281
Ben Hill,,State House,148,Republican,"Noel W. Williams, Jr. (I)",1705
Ben Hill,,State House,156,Republican,Leesa Hagan (I),3522
Ben Hill,,State Senate,13,Republican,Carden H. Summers (I),5260
Ben Hill,,U.S. House,8,Democrat,Darrius Butler,1895
Ben Hill,,U.S. House,8,Republican,Austin Scott (I),4428
Berrien,,District Attorney,Alapaha Judicial Circuit,Republican,Chase L. Studstill (I),7276
Berrien,,President,,Democrat,Kamala D. Harris,1209
Berrien,,President,,Green,Jill Stein,3
Berrien,,President,,Libertarian,Chase Oliver,15
Berrien,,President,,Republican,Donald J. Trump,6841
Berrien,,State House,170,Republican,Jaclyn Dixon Ford,7324
Berrien,,State Senate,13,Republican,Carden H. Summers (I),7187
Berrien,,U.S. House,8,Democrat,Darrius Butler,969
Berrien,,U.S. House,8,Republican,Austin Scott (I),6862
Bibb,,District Attorney,Macon Judicial Circuit,Democrat,Anita Reynolds Howard (I),53935
Bibb,,President,,Democrat,Kamala D. Harris,42172
Bibb,,President,,Green,Jill Stein,136
Bibb,,President,,Libertarian,Chase Oliver,215
Bibb,,President,,Republican,Donald J. Trump,26658
Bibb,,State House,142,Democrat,Miriam Paris (I),15936
Bibb,,State House,142,Republican,Calvin Dennis Palmer,10391
Bibb,,State House,143,Democrat,Anissa Jones,7206
Bibb,,State House,143,Republican,Barbara Boyer,4727
Bibb,,State House,144,Democrat,Anita Hyland,2198
Bibb,,State House,144,Republican,Dale Washburn (I),3291
Bibb,,State House,145,Democrat,Tangie Herring,11101
Bibb,,State House,145,Republican,Noah Redding Harbuck,7636
Bibb,,State House,149,Democrat,Floyd Griffin,4242
Bibb,,State House,149,Republican,Ken Vance (I),543
Bibb,,State Senate,18,Republican,John F. Kennedy (I),22543
Bibb,,State Senate,25,Republican,"Ricky ""Rick"" Williams (I)",5331
Bibb,,State Senate,26,Democrat,"David E. Lucas, Sr. (I)",28569
Bibb,,U.S. House,2,Democrat,Sanford Bishop (I),30073
Bibb,,U.S. House,2,Republican,A. Wayne Johnson,12415
Bibb,,U.S. House,8,Democrat,Darrius Butler,10839
