county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes,total_votes
Appling,4C,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,180,57,12,0,249
Appling,4D,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,304,236,48,0,588
Appling,5A,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,262,168,29,0,459
Appling,5B,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,164,92,16,0,272
Appling,5C,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,147,37,13,0,197
Appling,1A,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,116,32,12,1,161
Appling,1A1,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,131,42,18,0,191
Appling,1B,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,362,163,60,0,585
Appling,1C,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,262,136,45,0,443
Appling,1D,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,56,9,10,0,75
Appling,2,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,338,218,67,0,623
Appling,3A,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,131,33,5,1,170
Appling,3B,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,84,29,11,0,124
Appling,3C,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,351,288,89,1,729
Appling,4A,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,197,31,9,0,237
Appling,4B,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,189,64,22,0,275
Atkinson,Axson,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,219,112,19,0,350
Atkinson,Pearson City,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,126,135,19,0,280
Atkinson,Pearson County,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,287,466,66,0,819
Atkinson,Willacoochee,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,362,159,29,0,550
Baker,Hoggard Mill,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,106,35,12,2,155
Baker,Milford,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,101,23,11,0,135
Baker,Elmodel,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,120,87,17,1,225
Baker,Anna,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,47,7,0,0,54
Baker,Newton,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,245,191,53,0,489
Baldwin,North Baldwin,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,784,1041,95,2,1922
Baldwin,Scottsboro,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,321,174,15,0,510
Baldwin,South Milledgeville,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,349,409,65,1,824
Baldwin,West Baldwin,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,468,481,41,3,993
Baldwin,West Hardwick,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,761,769,81,3,1614
Baldwin,Boddie,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,185,141,52,0,378
Baldwin,City Hall Annex,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,162,150,30,2,344
Baldwin,Coopers,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,465,288,23,1,777
Baldwin,Courthouse,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,177,190,35,0,402
Baldwin,East Baldwin,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,871,995,79,1,1946
Baldwin,East Hardwick,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,333,234,35,0,602
Baldwin,Fire Dept,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,238,377,84,0,699
Baldwin,Meriwether,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,584,759,58,0,1401
Baldwin,North Milledgeville,District Attorney,Ocmulgee Circuit,Democrat,FRED BRIGHT,504,554,73,2,1133
Banks,Homer,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,309,298,24,0,631
Banks,Hollingsworth,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,200,85,11,1,297
Banks,Grove River,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,212,43,13,0,268
Banks,Golden Hill,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,246,116,11,1,374
Banks,Davids,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,455,236,26,0,717
Banks,Columbia,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,163,18,10,0,191
Banks,Bushville,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,206,104,6,0,316
Banks,Berlin,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,103,79,2,0,184
Banks,Baldwin,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,224,107,26,0,357
Banks,Anderson,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,418,220,12,0,650
Banks,Wilmonts,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,171,105,11,0,287
Banks,Washington,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,191,103,13,0,307
Banks,Poplar Springs,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,490,243,25,0,758
Barrow,04 Westside Middle School,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,499,557,38,1,1095
Barrow,03 Bramlett Elementary School,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,807,502,40,0,1349
Barrow,02 Bethabra Baptist Church,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,711,827,85,1,1624
Barrow,01 Bethlehem Community Center,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,803,543,28,0,1374
Barrow,06 Winder Barrow High School,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,410,500,31,0,941
Barrow,15 County Line Elementary School,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,673,709,65,0,1447
Barrow,14 Cedar Creek Baptist Church,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,321,266,20,1,608
Barrow,13 Winder Community Center,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,429,587,56,0,1072
Barrow,12 Midway United Methodist Church,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,717,481,54,0,1252
Barrow,11 Apalachee High School,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,706,441,38,0,1185
Barrow,10 Leisure Services Center,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,411,492,48,0,951
Barrow,09 Lions Club,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,581,918,61,0,1560
Barrow,08 Holsenbeck Elementary School,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,623,645,27,0,1295
Barrow,07 Statham Elementary School,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,594,471,47,1,1113
Barrow,05 Fire Station 1 (Statham),District Attorney,Piedmont Circuit,Republican,BRAD SMITH,1028,865,63,0,1956
Barrow,16 Bethlehem First Baptist Church,District Attorney,Piedmont Circuit,Republican,BRAD SMITH,1044,975,74,0,2093
Bartow,TAYLORSVILLE,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,922,348,54,2,1326
Bartow,ALLATOONA,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,1069,373,88,3,1533
Bartow,BEAVERS DRIVE,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,1267,1050,100,1,2418
