county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes,total_votes
Bartow,CARTERSVILLE EAST,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,1058,1406,126,3,2593
Bartow,CARTERSVILLE WEST,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,1208,1810,154,3,3175
Bartow,CASSVILLE,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,1078,1009,101,0,2188
Bartow,CENTER,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,999,657,95,4,1755
Bartow,EMERSON,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,738,441,69,1,1249
Bartow,EUHARLEE,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,1007,568,43,1,1619
Bartow,KINGSTON,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,733,311,40,3,1087
Bartow,MISSION ROAD,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,1308,1110,78,2,2498
Bartow,PINE LOG,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,726,245,51,1,1023
Bartow,FOLSOM,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,449,120,14,0,583
Bartow,ADAIRSVILLE,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,1862,665,100,3,2630
Bartow,ZENA DRIVE,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,1013,981,108,0,2102
Bartow,WOODLAND HIGH,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,356,295,25,0,676
Bartow,WHITE,District Attorney,Cherokee Circuit,Republican,ROSEMARY GREENE,751,361,51,0,1163
Berrien,Ray City,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,347,134,6,0,487
Berrien,Lois,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,221,93,9,0,323
Berrien,Enigma,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,372,69,26,0,467
Berrien,East Berrien,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,225,151,12,0,388
Berrien,Alapaha,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,404,141,36,1,582
Berrien,West Berrien,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,376,129,37,0,542
Berrien,Nashville,District Attorney,Alapaha Circuit,Republican,DICK PERRYMAN,1065,1334,125,4,2528
Bibb,GODFREY 3,District Attorney,Macon Circuit,Democrat,DAVID COOKE,774,484,75,0,1333
Bibb,VINEVILLE 5,District Attorney,Macon Circuit,Democrat,DAVID COOKE,507,258,17,0,782
Bibb,VINEVILLE 4,District Attorney,Macon Circuit,Democrat,DAVID COOKE,695,426,61,1,1183
Bibb,VINEVILLE 3,District Attorney,Macon Circuit,Democrat,DAVID COOKE,738,675,71,0,1484
Bibb,VINEVILLE 2,District Attorney,Macon Circuit,Democrat,DAVID COOKE,429,286,60,1,776
Bibb,VINEVILLE 1,District Attorney,Macon Circuit,Democrat,DAVID COOKE,374,184,46,0,604
Bibb,RUTLAND 2,District Attorney,Macon Circuit,Democrat,DAVID COOKE,389,290,29,1,709
Bibb,RUTLAND 1,District Attorney,Macon Circuit,Democrat,DAVID COOKE,697,535,33,1,1266
Bibb,HOWARD 8,District Attorney,Macon Circuit,Democrat,DAVID COOKE,206,123,16,0,345
Bibb,HOWARD 7,District Attorney,Macon Circuit,Democrat,DAVID COOKE,257,159,36,0,452
Bibb,HOWARD 6,District Attorney,Macon Circuit,Democrat,DAVID COOKE,241,150,21,0,412
Bibb,HOWARD 5,District Attorney,Macon Circuit,Democrat,DAVID COOKE,272,120,12,0,404
Bibb,HOWARD 4,District Attorney,Macon Circuit,Democrat,DAVID COOKE,177,102,18,0,297
Bibb,HOWARD 3,District Attorney,Macon Circuit,Democrat,DAVID COOKE,670,508,55,0,1233
Bibb,HOWARD 2,District Attorney,Macon Circuit,Democrat,DAVID COOKE,303,245,55,0,603
Bibb,HOWARD 1,District Attorney,Macon Circuit,Democrat,DAVID COOKE,201,108,19,0,328
Bibb,HAZZARD 7,District Attorney,Macon Circuit,Democrat,DAVID COOKE,283,247,30,0,560
Bibb,HAZZARD 6,District Attorney,Macon Circuit,Democrat,DAVID COOKE,511,309,18,1,839
Bibb,HAZZARD 5,District Attorney,Macon Circuit,Democrat,DAVID COOKE,472,376,35,3,886
Bibb,HAZZARD 4,District Attorney,Macon Circuit,Democrat,DAVID COOKE,235,132,7,0,374
Bibb,HAZZARD 3,District Attorney,Macon Circuit,Democrat,DAVID COOKE,769,690,58,1,1518
Bibb,HAZZARD 2,District Attorney,Macon Circuit,Democrat,DAVID COOKE,640,391,49,1,1081
Bibb,HAZZARD 1,District Attorney,Macon Circuit,Democrat,DAVID COOKE,610,556,48,2,1216
Bibb,GODFREY 7,District Attorney,Macon Circuit,Democrat,DAVID COOKE,734,399,26,1,1160
Bibb,GODFREY 6,District Attorney,Macon Circuit,Democrat,DAVID COOKE,892,586,51,1,1530
Bibb,GODFREY 5,District Attorney,Macon Circuit,Democrat,DAVID COOKE,647,464,37,0,1148
Bibb,GODFREY 4,District Attorney,Macon Circuit,Democrat,DAVID COOKE,582,269,35,0,886
Bibb,GODFREY 2,District Attorney,Macon Circuit,Democrat,DAVID COOKE,576,293,25,2,896
Bibb,GODFREY 1,District Attorney,Macon Circuit,Democrat,DAVID COOKE,797,603,83,4,1487
Bibb,EAST MACON 6,District Attorney,Macon Circuit,Democrat,DAVID COOKE,679,414,59,1,1153
Bibb,EAST MACON 5,District Attorney,Macon Circuit,Democrat,DAVID COOKE,823,422,74,1,1320
Bibb,EAST MACON 4,District Attorney,Macon Circuit,Democrat,DAVID COOKE,671,417,69,1,1158
Bibb,EAST MACON 3,District Attorney,Macon Circuit,Democrat,DAVID COOKE,641,352,40,3,1036
Bibb,EAST MACON 2,District Attorney,Macon Circuit,Democrat,DAVID COOKE,615,360,54,1,1030
Bibb,EAST MACON 1,District Attorney,Macon Circuit,Democrat,DAVID COOKE,656,299,82,1,1038
Bibb,WARRIOR 2,District Attorney,Macon Circuit,Democrat,DAVID COOKE,384,344,25,0,753
Bibb,WARRIOR 1,District Attorney,Macon Circuit,Democrat,DAVID COOKE,340,209,20,0,569
Bibb,VINEVILLE 8,District Attorney,Macon Circuit,Democrat,DAVID COOKE,266,124,17,1,408
Bibb,VINEVILLE 7,District Attorney,Macon Circuit,Democrat,DAVID COOKE,398,189,36,0,623
Bibb,VINEVILLE 6,District Attorney,Macon Circuit,Democrat,DAVID COOKE,293,120,14,0,427
Bibb,HOWARD 8,District Attorney,Macon Circuit,Republican,GREG WINTERS,1189,348,126,0,1663
Bibb,HAZZARD 1,District Attorney,Macon Circuit,Republican,GREG WINTERS,143,64,8,0,215
Bibb,HAZZARD 2,District Attorney,Macon Circuit,Republican,GREG WINTERS,897,269,61,0,1227
Bibb,HAZZARD 3,District Attorney,Macon Circuit,Republican,GREG WINTERS,667,372,73,0,1112
Bibb,HAZZARD 4,District Attorney,Macon Circuit,Republican,GREG WINTERS,660,194,35,0,889
Bibb,HAZZARD 5,District Attorney,Macon Circuit,Republican,GREG WINTERS,107,46,11,0,164
Bibb,HAZZARD 6,District Attorney,Macon Circuit,Republican,GREG WINTERS,135,32,13,0,180
Bibb,HAZZARD 7,District Attorney,Macon Circuit,Republican,GREG WINTERS,675,260,55,1,991
Bibb,HOWARD 1,District Attorney,Macon Circuit,Republican,GREG WINTERS,543,148,62,0,753
Bibb,HOWARD 2,District Attorney,Macon Circuit,Republican,GREG WINTERS,1139,580,245,0,1964
Bibb,HOWARD 3,District Attorney,Macon Circuit,Republican,GREG WINTERS,1180,378,107,0,1665
Bibb,HOWARD 4,District Attorney,Macon Circuit,Republican,GREG WINTERS,491,153,50,0,694
Bibb,HOWARD 5,District Attorney,Macon Circuit,Republican,GREG WINTERS,414,88,36,0,538
Bibb,HOWARD 6,District Attorney,Macon Circuit,Republican,GREG WINTERS,680,192,66,1,939
Bibb,HOWARD 7,District Attorney,Macon Circuit,Republican,GREG WINTERS,946,338,83,2,1369
Bibb,RUTLAND 1,District Attorney,Macon Circuit,Republican,GREG WINTERS,1422,575,121,1,2119
Bibb,VINEVILLE 5,District Attorney,Macon Circuit,Republican,GREG WINTERS,160,75,12,0,247
Bibb,VINEVILLE 6,District Attorney,Macon Circuit,Republican,GREG WINTERS,772,237,65,0,1074
Bibb,VINEVILLE 7,District Attorney,Macon Circuit,Republican,GREG WINTERS,944,226,110,1,1281
Bibb,VINEVILLE 8,District Attorney,Macon Circuit,Republican,GREG WINTERS,360,76,27,2,465
Bibb,WARRIOR 1,District Attorney,Macon Circuit,Republican,GREG WINTERS,753,218,41,0,1012
Bibb,RUTLAND 2,District Attorney,Macon Circuit,Republican,GREG WINTERS,961,292,68,0,1321
Bibb,VINEVILLE 1,District Attorney,Macon Circuit,Republican,GREG WINTERS,276,71,30,1,378
Bibb,VINEVILLE 2,District Attorney,Macon Circuit,Republican,GREG WINTERS,349,99,39,0,487
Bibb,VINEVILLE 3,District Attorney,Macon Circuit,Republican,GREG WINTERS,142,66,19,0,227
Bibb,VINEVILLE 4,District Attorney,Macon Circuit,Republican,GREG WINTERS,90,45,16,0,151
Bibb,WARRIOR 2,District Attorney,Macon Circuit,Republican,GREG WINTERS,812,333,61,1,1207
Bibb,EAST MACON 1,District Attorney,Macon Circuit,Republican,GREG WINTERS,45,27,4,0,76
Bibb,EAST MACON 2,District Attorney,Macon Circuit,Republican,GREG WINTERS,92,24,7,0,123
Bibb,EAST MACON 3,District Attorney,Macon Circuit,Republican,GREG WINTERS,95,35,18,0,148
Bibb,EAST MACON 4,District Attorney,Macon Circuit,Republican,GREG WINTERS,487,184,40,0,711
Bibb,EAST MACON 5,District Attorney,Macon Circuit,Republican,GREG WINTERS,79,38,7,0,124
Bibb,EAST MACON 6,District Attorney,Macon Circuit,Republican,GREG WINTERS,240,80,14,0,334
Bibb,GODFREY 1,District Attorney,Macon Circuit,Republican,GREG WINTERS,155,56,13,0,224
Bibb,GODFREY 2,District Attorney,Macon Circuit,Republican,GREG WINTERS,88,36,3,0,127
Bibb,GODFREY 3,District Attorney,Macon Circuit,Republican,GREG WINTERS,77,30,8,0,115
Bibb,GODFREY 4,District Attorney,Macon Circuit,Republican,GREG WINTERS,108,41,17,0,166
Bibb,GODFREY 5,District Attorney,Macon Circuit,Republican,GREG WINTERS,132,69,10,0,211
Bibb,GODFREY 6,District Attorney,Macon Circuit,Republican,GREG WINTERS,152,74,17,0,243
Bibb,GODFREY 7,District Attorney,Macon Circuit,Republican,GREG WINTERS,157,53,6,0,216
Bleckley,FAIRGROUND,District Attorney,Oconee Circuit,Democrat,TIMOTHY VAUGHN,1756,1573,252,3,3584
Brooks,Pavo/Williams,District Attorney,Southern Circuit,Republican,J. DAVID MILLER,187,34,6,2,229
Brooks,Quitman,District Attorney,Southern Circuit,Republican,J. DAVID MILLER,436,629,248,15,1328
Brooks,S.Brooks/Nankin,District Attorney,Southern Circuit,Republican,J. DAVID MILLER,183,152,7,3,345
Brooks,Barney,District Attorney,Southern Circuit,Republican,J. DAVID MILLER,251,75,20,3,349
Brooks,Barwick/Drylake,District Attorney,Southern Circuit,Republican,J. DAVID MILLER,128,28,5,2,163
Brooks,Dixie,District Attorney,Southern Circuit,Republican,J. DAVID MILLER,130,84,34,0,248
Brooks,E.Brooks/Briggs,District Attorney,Southern Circuit,Republican,J. DAVID MILLER,597,384,45,8,1034
Brooks,Grooverville,District Attorney,Southern Circuit,Republican,J. DAVID MILLER,95,56,14,0,165
Brooks,Morven,District Attorney,Southern Circuit,Republican,J. DAVID MILLER,292,166,34,2,494
Bulloch,Emit,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,717,461,57,2,1237
Bulloch,Fair,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,1066,1589,140,1,2796
Bulloch,Hagin,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,581,398,45,1,1025
Bulloch,Leefield,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,338,84,17,0,439
Bulloch,Lockhart,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,214,64,7,1,286
Bulloch,Nevils,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,361,134,10,0,505
Bulloch,Pittman Park,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,950,1438,127,1,2516
Bulloch,Portal,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,506,221,15,0,742
Bulloch,Register,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,260,102,12,0,374
Bulloch,Sinkhole,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,182,58,11,2,253
Bulloch,Statesboro,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,896,1237,119,2,2254
Bulloch,Stilson,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,611,194,30,0,835
Bulloch,Bay,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,552,167,36,0,755
Bulloch,Blitch,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,549,413,37,0,999
Bulloch,Brooklet,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,775,437,33,0,1245
Bulloch,Church,District Attorney,Ogeechee Circuit,Republican,RICHARD MALLARD,959,1242,135,2,2338
Burke,Alexander,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,70,14,17,0,101
Burke,Keysville,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,109,18,7,0,134
Burke,Midville,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,128,20,8,0,156
Burke,Munnerlyn,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,46,24,13,0,83
Burke,North Waynesboro,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,579,435,272,0,1286
Burke,Scotts Crossroads,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,73,27,3,0,103
Burke,South Waynesboro,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,327,284,159,0,770
Burke,Sardis,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,209,38,20,0,267
Burke,St. Clair,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,72,39,16,0,127
Burke,Telfair,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,128,98,52,0,278
Burke,Vidette,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,75,26,5,0,106
Burke,Greenscut,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,127,86,53,0,266
Burke,Gough,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,132,36,13,0,181
Burke,Girard,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,172,41,32,0,245
Burke,Four Points,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,230,121,36,0,387
Burke,Blakeney,District Attorney,Augusta Circuit,Democrat,EVITA A. PASCHALL,94,47,34,0,175
Burke,Midville,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,104,12,12,0,128
Burke,Alexander,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,88,40,3,0,131
Burke,Blakeney,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,59,80,5,0,144
Burke,Four Points,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,531,206,40,0,777
Burke,Girard,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,141,29,15,0,185
Burke,Gough,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,72,20,2,0,94
Burke,Greenscut,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,230,106,19,0,355
Burke,Keysville,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,68,11,6,0,85
Burke,Munnerlyn,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,57,16,9,0,82
Burke,North Waynesboro,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,229,207,38,0,474
Burke,Sardis,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,240,51,22,0,313
Burke,Scotts Crossroads,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,50,11,2,0,63
Burke,South Waynesboro,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,449,691,153,0,1293
Burke,St. Clair,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,73,51,7,0,131
Burke,Telfair,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,189,62,16,0,267
Burke,Vidette,District Attorney,Augusta Circuit,Republican,ASHLEY WRIGHT,70,23,6,0,99
Butts,JENKINSBURG,District Attorney,Towaliga Circuit,Republican,RICHARD MILAM,407,782,19,0,1208
Butts,BUTTS CO COMM CENTER,District Attorney,Towaliga Circuit,Republican,RICHARD MILAM,441,1283,83,0,1807
Butts,WORTHVILLE,District Attorney,Towaliga Circuit,Republican,RICHARD MILAM,377,679,29,0,1085
Butts,TOWALIGA,District Attorney,Towaliga Circuit,Republican,RICHARD MILAM,453,1397,79,0,1929
Butts,STARK,District Attorney,Towaliga Circuit,Republican,RICHARD MILAM,520,955,29,0,1504
Calhoun,Leary,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,307,82,27,0,416
Calhoun,Morgan,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,183,158,41,0,382
Calhoun,Arlington,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,227,78,68,1,374
Calhoun,Edison,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,173,42,32,0,247
Calhoun,Edison-Arlington,District Attorney,South Georgia Circuit,Democrat,JOE MULHOLLAND,197,105,24,0,326
Camden,Waverly,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,362,236,59,3,660
Camden,Tarboro,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,260,152,27,2,441
Camden,North St Marys,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,329,191,35,1,556
Camden,South St Marys,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,433,443,70,1,947
Camden,Browntown,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,235,77,27,1,340
Camden,East Kingsland,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,991,1081,119,0,2191
Camden,Harrietts Bluff,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,604,335,64,2,1005
Camden,Kingsland,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,423,417,42,1,883
Camden,Mary Lee Clark,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,768,390,71,2,1231
Camden,Mush Bluff,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,730,359,59,0,1148
Camden,North Kingsland,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,439,414,39,2,894
Camden,Woodbine,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,371,452,54,0,877
Camden,West Saint Marys,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,647,860,154,0,1661
Camden,West Kingsland,District Attorney,Brunswick Circuit,Republican,JACKIE JOHNSON,600,496,70,0,1166
Candler,METTER 1685,District Attorney,Middle Circuit,Democrat,HAYWARD ALTMAN,675,663,64,0,1402
Candler,CANDLER-1736,District Attorney,Middle Circuit,Democrat,HAYWARD ALTMAN,607,465,61,1,1134
Carroll,BONNER (714A3),District Attorney,Coweta Circuit,Republican,P. SKANDALAKIS,594,837,46,5,1482
Carroll,WHITESBURG (682),District Attorney,Coweta Circuit,Republican,P. SKANDALAKIS,634,284,28,1,947
Carroll,WEST CARROLLTON (714A1),District Attorney,Coweta Circuit,Republican,P. SKANDALAKIS,453,486,23,4,966
Carroll,VILLA RICA CITY (642),District Attorney,Coweta Circuit,Republican,P. SKANDALAKIS,792,1180,84,4,2060
Carroll,V R COUNTY SOUTH (640),District Attorney,Coweta Circuit,Republican,P. SKANDALAKIS,524,665,37,1,1227
