county_name,county_norm,base_2020,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Georgia,GEORGIA,10713861,10732595,10793038,10929992,11063669,11204208,11302748,570153,5.3123,98540,0.8795
Appling,APPLING,18447,18376,18419,18466,18532,18785,19100,724,3.9399,315,1.6769
Atkinson,ATKINSON,8283,8307,8357,8220,8333,8489,8454,147,1.7696,-35,-0.4123
Bacon,BACON,11143,11113,11055,11155,11141,11053,11070,-43,-0.3869,17,0.1538
Baker,BAKER,2874,2848,2817,2780,2721,2719,2725,-123,-4.3188,6,0.2207
Baldwin,BALDWIN,43795,43786,43702,43654,43427,43853,44029,243,0.555,176,0.4013
Banks,BANKS,18083,18129,18607,19419,19949,20512,21273,3144,17.3424,761,3.71
Barrow,BARROW,83575,84066,86864,89551,93390,96969,99773,15707,18.6841,2804,2.8916
Bartow,BARTOW,108872,109283,110900,112751,115098,117924,120800,11517,10.5387,2876,2.4389
Ben Hill,BEN HILL,17192,17166,17133,17063,17160,17033,17099,-67,-0.3903,66,0.3875
Berrien,BERRIEN,18155,18143,18128,18261,18630,18783,18932,789,4.3488,149,0.7933
Bibb,BIBB,157358,157054,156161,156302,156869,157360,157556,502,0.3196,196,0.1246
Bleckley,BLECKLEY,12586,12515,12287,12277,12469,12653,12866,351,2.8046,213,1.6834
Brantley,BRANTLEY,18024,18046,18119,18173,18391,18694,18936,890,4.9318,242,1.2945
Brooks,BROOKS,16304,16271,16267,16272,16223,16290,16101,-170,-1.0448,-189,-1.1602
Bryan,BRYAN,44741,45048,47007,48336,49843,51080,52062,7014,15.5701,982,1.9225
Bulloch,BULLOCH,79638,79919,80684,83011,84336,85598,86949,7030,8.7964,1351,1.5783
Burke,BURKE,24597,24632,24340,24375,24354,24365,24408,-224,-0.9094,43,0.1765
Butts,BUTTS,25432,25549,26201,26756,26898,27140,27218,1669,6.5325,78,0.2874
Calhoun,CALHOUN,5573,5572,5562,5498,5495,5442,5413,-159,-2.8536,-29,-0.5329
Camden,CAMDEN,54769,54928,55818,57026,57901,59065,60143,5215,9.4942,1078,1.8251
Candler,CANDLER,11003,11036,10958,11000,11093,11164,11275,239,2.1656,111,0.9943
Carroll,CARROLL,119132,119394,121007,124002,126783,129493,131036,11642,9.7509,1543,1.1916
Catoosa,CATOOSA,67879,68034,68530,68897,69093,69359,69628,1594,2.3429,269,0.3878
Charlton,CHARLTON,12511,12527,12838,12842,12983,13032,13121,594,4.7418,89,0.6829
Chatham,CHATHAM,295261,295113,295961,301720,305244,309605,311855,16742,5.6731,2250,0.7267
Chattahoochee,CHATTAHOOCHEE,9568,9468,9015,8718,8530,8391,8465,-1003,-10.5936,74,0.8819
Chattooga,CHATTOOGA,24975,24927,24856,24921,25167,25261,25300,373,1.4964,39,0.1544
Cherokee,CHEROKEE,266615,268142,274628,281158,287040,294030,299273,31131,11.6099,5243,1.7832
Clarke,CLARKE,128670,128595,129248,130067,130531,130750,129921,1326,1.0311,-829,-0.634
Clay,CLAY,2846,2830,2869,2860,2854,2795,2815,-15,-0.53,20,0.7156
Clayton,CLAYTON,299406,299345,298828,298010,298384,297233,297471,-1874,-0.626,238,0.0801
Clinch,CLINCH,6749,6729,6715,6692,6794,6834,6847,118,1.7536,13,0.1902
Cobb,COBB,766088,766385,767036,774481,781435,788879,793345,26960,3.5178,4466,0.5661
Coffee,COFFEE,43089,43048,43041,43265,43457,44118,44407,1359,3.1569,289,0.6551
Colquitt,COLQUITT,45904,45908,45774,45935,46475,47006,47438,1530,3.3328,432,0.919
Columbia,COLUMBIA,156019,156860,159649,162441,165093,167263,169189,12329,7.8599,1926,1.1515
Cook,COOK,17232,17238,17258,17398,17760,17995,18232,994,5.7663,237,1.317
Coweta,COWETA,146159,146746,150010,152950,156166,158178,160240,13494,9.1955,2062,1.3036
Crawford,CRAWFORD,12131,12093,12112,12133,12244,12270,12206,113,0.9344,-64,-0.5216
