county_name,county_norm,base_2020,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Crisp,CRISP,20131,20058,20011,19745,19626,19444,19237,-821,-4.0931,-207,-1.0646
Dade,DADE,16240,16233,16206,16105,16200,16143,16154,-79,-0.4867,11,0.0681
Dawson,DAWSON,26797,27062,28527,30237,31833,33945,35365,8303,30.6814,1420,4.1832
Decatur,DECATUR,29479,29436,29217,29146,29194,29463,29432,-4,-0.0136,-31,-0.1052
DeKalb,DEKALB,764458,764585,759708,764752,768424,772584,774394,9809,1.2829,1810,0.2343
Dodge,DODGE,20005,19949,19741,19874,19777,19695,19663,-286,-1.4337,-32,-0.1625
Dooly,DOOLY,11213,11166,10862,10607,11059,11196,11156,-10,-0.0896,-40,-0.3573
Dougherty,DOUGHERTY,85796,85173,82320,83021,82757,82728,82616,-2557,-3.0021,-112,-0.1354
Douglas,DOUGLAS,144361,144698,145839,147617,149368,152060,154293,9595,6.6311,2233,1.4685
Early,EARLY,10852,10793,10634,10556,10583,10466,10455,-338,-3.1317,-11,-0.1051
Echols,ECHOLS,3701,3716,3687,3684,3712,3688,3685,-31,-0.8342,-3,-0.0813
Effingham,EFFINGHAM,64789,65180,66768,69010,71573,73351,74397,9217,14.1408,1046,1.426
Elbert,ELBERT,19632,19666,19586,19868,20046,20178,20072,406,2.0645,-106,-0.5253
Emanuel,EMANUEL,22762,22876,22887,22926,23130,23236,23147,271,1.1846,-89,-0.383
Evans,EVANS,10775,10794,10712,10682,10789,10946,11028,234,2.1679,82,0.7491
Fannin,FANNIN,25331,25451,25829,25740,25957,25964,26111,660,2.5932,147,0.5662
Fayette,FAYETTE,119193,119507,120786,122106,123535,124751,125156,5649,4.7269,405,0.3246
Floyd,FLOYD,98589,98597,98440,99425,100193,101198,101378,2781,2.8206,180,0.1779
Forsyth,FORSYTH,251285,252877,260730,267623,273572,278797,282805,29928,11.835,4008,1.4376
Franklin,FRANKLIN,23427,23476,23526,24155,24875,25334,25948,2472,10.5299,614,2.4236
Fulton,FULTON,1066559,1069457,1063193,1076385,1083022,1090468,1098791,29334,2.7429,8323,0.7633
Gilmer,GILMER,31343,31420,32086,32382,32849,33491,33894,2474,7.874,403,1.2033
Glascock,GLASCOCK,2886,2898,2900,2925,2962,3052,3141,243,8.3851,89,2.9161
Glynn,GLYNN,84500,84479,84827,85268,86378,87052,87599,3120,3.6932,547,0.6284
Gordon,GORDON,57551,57730,58250,58885,59826,60988,61701,3971,6.8786,713,1.1691
Grady,GRADY,26234,26213,25847,26029,26125,26488,26590,377,1.4382,102,0.3851
Greene,GREENE,18915,19030,19545,20118,20724,21065,21367,2337,12.2806,302,1.4337
Gwinnett,GWINNETT,957385,958317,965016,979814,992058,1009864,1018099,59782,6.2382,8235,0.8155
Habersham,HABERSHAM,46027,46112,46725,47446,48712,49752,50416,4304,9.3338,664,1.3346
Hall,HALL,202813,203382,206988,213142,218510,223545,226568,23186,11.4002,3023,1.3523
Hancock,HANCOCK,8735,8711,8695,8449,8745,8734,8682,-29,-0.3329,-52,-0.5954
Haralson,HARALSON,29928,30050,30617,31340,32045,32409,33066,3016,10.0366,657,2.0272
Harris,HARRIS,34674,34907,35618,36320,36712,36965,37280,2373,6.7981,315,0.8522
Hart,HART,25830,25872,26295,26813,27533,28149,28639,2767,10.695,490,1.7407
Heard,HEARD,11410,11445,11504,11699,12015,12114,12149,704,6.1512,35,0.2889
Henry,HENRY,240686,241869,245296,248841,255389,259972,264922,23053,9.5312,4950,1.9041
Houston,HOUSTON,163630,164325,167186,169679,171756,174904,178214,13889,8.4522,3310,1.8925
Irwin,IRWIN,9664,9646,9356,9126,9118,9155,9020,-626,-6.4897,-135,-1.4746
Jackson,JACKSON,75945,76765,80421,84157,88891,94302,99265,22500,29.3102,4963,5.2629
Jasper,JASPER,14599,14671,15270,15984,16496,17192,17632,2961,20.1827,440,2.5593
Jeff Davis,JEFF DAVIS,14779,14800,14866,14914,14955,15281,15219,419,2.8311,-62,-0.4057
Jefferson,JEFFERSON,15712,15677,15490,15329,15270,15159,15011,-666,-4.2483,-148,-0.9763
Jenkins,JENKINS,8674,8660,8791,8677,8627,8853,8843,183,2.1132,-10,-0.113
Johnson,JOHNSON,9185,9180,8994,9249,9310,9218,9310,130,1.4161,92,0.998
Jones,JONES,28331,28368,28359,28449,28974,29081,29171,803,2.8307,90,0.3095
Lamar,LAMAR,18505,18555,18700,19465,20377,20639,20941,2386,12.8591,302,1.4632
Lanier,LANIER,9873,9917,10028,10141,10377,10387,10623,706,7.1191,236,2.2721
Laurens,LAURENS,49576,49543,49531,49687,50010,50585,51041,1498,3.0236,456,0.9015
Lee,LEE,33161,33211,33179,33649,33850,34022,34179,968,2.9147,157,0.4615
Liberty,LIBERTY,65277,65330,66841,68077,68136,69537,70313,4983,7.6274,776,1.116
Lincoln,LINCOLN,7689,7702,7752,7876,7884,8025,8112,410,5.3233,87,1.0841
Long,LONG,16150,16256,17071,18363,19608,20493,21557,5301,32.6095,1064,5.192
Lowndes,LOWNDES,118259,118436,118946,119517,120863,122385,122867,4431,3.7413,482,0.3938
Lumpkin,LUMPKIN,33486,33640,32843,34709,35204,35946,36178,2538,7.5446,232,0.6454
McDuffie,MCDUFFIE,21628,21609,21631,21726,21854,21743,21640,31,0.1435,-103,-0.4737
McIntosh,MCINTOSH,10970,10981,11069,11194,11569,11817,11989,1008,9.1795,172,1.4555
Macon,MACON,12078,12018,11853,11767,11838,11855,11756,-262,-2.1801,-99,-0.8351
Madison,MADISON,30116,30266,30883,31450,32265,32767,32919,2653,8.7656,152,0.4639
Marion,MARION,7503,7529,7428,7454,7487,7616,7676,147,1.9525,60,0.7878
Meriwether,MERIWETHER,20617,20610,20709,20829,20899,21352,21516,906,4.3959,164,0.7681
Miller,MILLER,6002,5995,5854,5775,5781,5807,5812,-183,-3.0525,5,0.0861
Mitchell,MITCHELL,21767,21676,21314,21198,20759,20345,20467,-1209,-5.5776,122,0.5997
Monroe,MONROE,27959,28065,28752,29432,30598,31486,32023,3958,14.103,537,1.7055
Montgomery,MONTGOMERY,8600,8565,8635,8647,8765,8597,8635,70,0.8173,38,0.442
Morgan,MORGAN,20095,20202,20667,21050,21523,21954,22095,1893,9.3704,141,0.6423
Murray,MURRAY,39969,39996,39945,40378,41012,41399,41607,1611,4.0279,208,0.5024
Muscogee,MUSCOGEE,206914,207016,205164,202697,202073,202072,202171,-4845,-2.3404,99,0.049
Newton,NEWTON,112553,112902,115293,117854,120268,123678,125583,12681,11.2319,1905,1.5403
Oconee,OCONEE,41783,42004,43030,43622,44114,44524,44893,2889,6.8779,369,0.8288
Oglethorpe,OGLETHORPE,14827,14869,15179,15502,15741,16118,16415,1546,10.3975,297,1.8427
Paulding,PAULDING,168630,169516,173777,178436,182888,187933,190996,21480,12.6714,3063,1.6298
Peach,PEACH,27990,28059,28321,28590,28974,29511,29877,1818,6.4792,366,1.2402
Pickens,PICKENS,33225,33351,34033,34803,35977,36591,37167,3816,11.4419,576,1.5742
Pierce,PIERCE,19713,19749,19987,20190,20426,20593,20764,1015,5.1395,171,0.8304
Pike,PIKE,18888,18948,19585,19959,20478,20782,20932,1984,10.4708,150,0.7218
Polk,POLK,42847,42929,43359,43742,44398,44803,45514,2585,6.0216,711,1.5869
Pulaski,PULASKI,9856,9872,9563,9947,10134,10158,10172,300,3.0389,14,0.1378
Putnam,PUTNAM,22043,22163,22616,22924,23193,23534,23722,1559,7.0342,188,0.7988
Quitman,QUITMAN,2237,2225,2236,2247,2269,2309,2254,29,1.3034,-55,-2.382
Rabun,RABUN,16886,16926,17151,17305,17492,17684,17764,838,4.951,80,0.4524
Randolph,RANDOLPH,6419,6366,6263,6162,6183,6170,6156,-210,-3.2988,-14,-0.2269
Richmond,RICHMOND,206602,206581,205565,206837,205946,206544,206559,-22,-0.0106,15,0.0073
Rockdale,ROCKDALE,93487,93582,93867,94951,96131,97402,98416,4834,5.1655,1014,1.041
Schley,SCHLEY,4548,4537,4489,4507,4533,4523,4593,56,1.2343,70,1.5476
Screven,SCREVEN,14061,14072,14062,13972,14227,14388,14408,336,2.3877,20,0.139
Seminole,SEMINOLE,9148,9129,9171,9125,9081,9248,9162,33,0.3615,-86,-0.9299
Spalding,SPALDING,67297,67456,67711,68993,69951,70311,70775,3319,4.9202,464,0.6599
Stephens,STEPHENS,26780,26827,26801,26790,27300,27560,27854,1027,3.8282,294,1.0668
Stewart,STEWART,5313,5295,4926,4634,4673,4636,4631,-664,-12.5401,-5,-0.1079
Sumter,SUMTER,29614,29518,29004,28893,29015,29105,28801,-717,-2.429,-304,-1.0445
Talbot,TALBOT,5738,5729,5762,5763,5711,5754,5709,-20,-0.3491,-45,-0.7821
Taliaferro,TALIAFERRO,1558,1558,1569,1602,1603,1627,1662,104,6.6752,35,2.1512
Tattnall,TATTNALL,24285,24328,24137,24063,24389,24390,24376,48,0.1973,-14,-0.0574
Taylor,TAYLOR,7815,7820,7767,7758,7786,7799,7818,-2,-0.0256,19,0.2436
Telfair,TELFAIR,12471,12449,12326,12438,10965,11123,11195,-1254,-10.0731,72,0.6473
Terrell,TERRELL,9183,9139,8931,8788,8740,8776,8656,-483,-5.285,-120,-1.3674
Thomas,THOMAS,45795,45784,45852,45592,45790,46243,46368,584,1.2756,125,0.2703
Tift,TIFT,41352,41382,41103,41381,41739,42021,42254,872,2.1072,233,0.5545
Toombs,TOOMBS,27024,27080,26854,26868,27167,27504,27545,465,1.7171,41,0.1491
Towns,TOWNS,12488,12552,12879,12929,13006,13168,13285,733,5.8397,117,0.8885
Treutlen,TREUTLEN,6402,6398,6374,6364,6358,6397,6466,68,1.0628,69,1.0786
Troup,TROUP,69423,69385,69768,70608,71376,72220,72844,3459,4.9852,624,0.864
Turner,TURNER,9007,8989,8925,8836,8924,9023,8983,-6,-0.0667,-40,-0.4433
Twiggs,TWIGGS,8028,8009,7859,7662,7660,7679,7597,-412,-5.1442,-82,-1.0678
Union,UNION,24632,24808,25612,26413,27132,27608,27859,3051,12.2985,251,0.9092
Upson,UPSON,27704,27746,27688,28082,28251,28404,28500,754,2.7175,96,0.338
Walker,WALKER,67665,67756,68475,68963,69595,69724,70250,2494,3.6809,526,0.7544
Walton,WALTON,96598,97115,99890,103235,107080,110278,112696,15581,16.0439,2418,2.1926
Ware,WARE,36249,36237,35587,35660,36398,36537,36906,669,1.8462,369,1.0099
Warren,WARREN,5211,5208,5209,5154,5121,5186,5269,61,1.1713,83,1.6005
Washington,WASHINGTON,19990,19949,19756,19772,19831,19682,19453,-496,-2.4863,-229,-1.1635
Wayne,WAYNE,30141,30145,30207,30758,31389,32102,32481,2336,7.7492,379,1.1806
Webster,WEBSTER,2349,2352,2361,2343,2358,2331,2369,17,0.7228,38,1.6302
Wheeler,WHEELER,7479,7447,7747,7302,7074,7325,7570,123,1.6517,245,3.3447
White,WHITE,27997,28108,28386,28778,28982,29610,29802,1694,6.0268,192,0.6484
Whitfield,WHITFIELD,102870,102790,102742,103279,104303,105558,106212,3422,3.3291,654,0.6196
Wilcox,WILCOX,8767,8787,8752,8747,8809,8891,8797,10,0.1138,-94,-1.0572
Wilkes,WILKES,9564,9554,9496,9587,9554,9554,9540,-14,-0.1465,-14,-0.1465
Wilkinson,WILKINSON,8873,8832,8796,8704,8762,8696,8650,-182,-2.0607,-46,-0.529
Worth,WORTH,20773,20719,20532,20362,20201,20181,20059,-660,-3.1855,-122,-0.6045
