county,precinct,office,district,party,candidate,total_votes
Appling,1B,President,,Republican,Donald J. Trump (I),870
Appling,1B,President,,Democrat,Joseph R. Biden,116
Appling,1B,President,,Libertarian,Jo Jorgensen,7
Appling,1C,President,,Republican,Donald J. Trump (I),594
Appling,1C,President,,Democrat,Joseph R. Biden,44
Appling,1C,President,,Libertarian,Jo Jorgensen,2
Appling,2,President,,Republican,Donald J. Trump (I),531
Appling,2,President,,Democrat,Joseph R. Biden,908
Appling,2,President,,Libertarian,Jo Jorgensen,9
Appling,3A1,President,,Republican,Donald J. Trump (I),587
Appling,3A1,President,,Democrat,Joseph R. Biden,20
Appling,3A1,President,,Libertarian,Jo Jorgensen,4
Appling,3C,President,,Republican,Donald J. Trump (I),843
Appling,3C,President,,Democrat,Joseph R. Biden,288
Appling,3C,President,,Libertarian,Jo Jorgensen,4
Appling,4B,President,,Republican,Donald J. Trump (I),647
Appling,4B,President,,Democrat,Joseph R. Biden,23
Appling,4B,President,,Libertarian,Jo Jorgensen,2
Appling,4D,President,,Republican,Donald J. Trump (I),1048
Appling,4D,President,,Democrat,Joseph R. Biden,130
Appling,4D,President,,Libertarian,Jo Jorgensen,1
Appling,5A,President,,Republican,Donald J. Trump (I),697
Appling,5A,President,,Democrat,Joseph R. Biden,118
Appling,5A,President,,Libertarian,Jo Jorgensen,5
Appling,5B,President,,Republican,Donald J. Trump (I),709
Appling,5B,President,,Democrat,Joseph R. Biden,132
Appling,5B,President,,Libertarian,Jo Jorgensen,2
Appling,1B,U.S. Senate,,Republican,David A. Perdue (I),828
Appling,1B,U.S. Senate,,Democrat,Jon Ossoff,134
Appling,1B,U.S. Senate,,Libertarian,Shane Hazel,16
Appling,1C,U.S. Senate,,Republican,David A. Perdue (I),579
Appling,1C,U.S. Senate,,Democrat,Jon Ossoff,44
Appling,1C,U.S. Senate,,Libertarian,Shane Hazel,6
Appling,2,U.S. Senate,,Republican,David A. Perdue (I),514
Appling,2,U.S. Senate,,Democrat,Jon Ossoff,864
Appling,2,U.S. Senate,,Libertarian,Shane Hazel,32
Appling,3A1,U.S. Senate,,Republican,David A. Perdue (I),570
Appling,3A1,U.S. Senate,,Democrat,Jon Ossoff,25
Appling,3A1,U.S. Senate,,Libertarian,Shane Hazel,5
Appling,3C,U.S. Senate,,Republican,David A. Perdue (I),819
Appling,3C,U.S. Senate,,Democrat,Jon Ossoff,281
Appling,3C,U.S. Senate,,Libertarian,Shane Hazel,22
Appling,4B,U.S. Senate,,Republican,David A. Perdue (I),639
Appling,4B,U.S. Senate,,Democrat,Jon Ossoff,25
Appling,4B,U.S. Senate,,Libertarian,Shane Hazel,2
Appling,4D,U.S. Senate,,Republican,David A. Perdue (I),1021
Appling,4D,U.S. Senate,,Democrat,Jon Ossoff,129
Appling,4D,U.S. Senate,,Libertarian,Shane Hazel,15
Appling,5A,U.S. Senate,,Republican,David A. Perdue (I),660
Appling,5A,U.S. Senate,,Democrat,Jon Ossoff,115
Appling,5A,U.S. Senate,,Libertarian,Shane Hazel,17
Appling,5B,U.S. Senate,,Republican,David A. Perdue (I),676
Appling,5B,U.S. Senate,,Democrat,Jon Ossoff,136
Appling,5B,U.S. Senate,,Libertarian,Shane Hazel,13
Appling,1B,U.S. Senate (Special),,Independent,Al Bartell,1
Appling,1B,U.S. Senate (Special),,Independent,Allen Buckley,3
Appling,1B,U.S. Senate (Special),,Republican,Doug Collins,289
Appling,1B,U.S. Senate (Special),,,John Fortuin (Grn),3
