county,precinct,office,district,party,candidate,total_votes
Appling,1B,U.S. Senate,,Republican,Herschel Junior Walker,17
Appling,1B,U.S. Senate,,Democrat,Raphael Warnock (I),42
Appling,1B,U.S. Senate,,Libertarian,Chase Oliver,27
Appling,1C,U.S. Senate,,Republican,Herschel Junior Walker,2
Appling,1C,U.S. Senate,,Democrat,Raphael Warnock (I),29
Appling,1C,U.S. Senate,,Libertarian,Chase Oliver,20
Appling,2,U.S. Senate,,Republican,Herschel Junior Walker,79
Appling,2,U.S. Senate,,Democrat,Raphael Warnock (I),363
Appling,2,U.S. Senate,,Libertarian,Chase Oliver,199
Appling,3A1,U.S. Senate,,Republican,Herschel Junior Walker,3
Appling,3A1,U.S. Senate,,Democrat,Raphael Warnock (I),10
Appling,3A1,U.S. Senate,,Libertarian,Chase Oliver,10
Appling,3C,U.S. Senate,,Republican,Herschel Junior Walker,34
Appling,3C,U.S. Senate,,Democrat,Raphael Warnock (I),127
Appling,3C,U.S. Senate,,Libertarian,Chase Oliver,52
Appling,4B,U.S. Senate,,Republican,Herschel Junior Walker,1
Appling,4B,U.S. Senate,,Democrat,Raphael Warnock (I),8
Appling,4B,U.S. Senate,,Libertarian,Chase Oliver,14
Appling,4D,U.S. Senate,,Republican,Herschel Junior Walker,11
Appling,4D,U.S. Senate,,Democrat,Raphael Warnock (I),47
Appling,4D,U.S. Senate,,Libertarian,Chase Oliver,34
Appling,5A,U.S. Senate,,Republican,Herschel Junior Walker,4
Appling,5A,U.S. Senate,,Democrat,Raphael Warnock (I),48
Appling,5A,U.S. Senate,,Libertarian,Chase Oliver,24
Appling,5B,U.S. Senate,,Republican,Herschel Junior Walker,4
Appling,5B,U.S. Senate,,Democrat,Raphael Warnock (I),20
Appling,5B,U.S. Senate,,Libertarian,Chase Oliver,31
Appling,1B,Governor,,Republican,Brian Kemp (I),15
Appling,1B,Governor,,Democrat,Stacey Abrams,33
Appling,1B,Governor,,Libertarian,Shane Hazel,24
Appling,1C,Governor,,Republican,Brian Kemp (I),2
Appling,1C,Governor,,Democrat,Stacey Abrams,28
Appling,1C,Governor,,Libertarian,Shane Hazel,17
Appling,2,Governor,,Republican,Brian Kemp (I),77
Appling,2,Governor,,Democrat,Stacey Abrams,361
Appling,2,Governor,,Libertarian,Shane Hazel,198
Appling,3A1,Governor,,Republican,Brian Kemp (I),2
Appling,3A1,Governor,,Democrat,Stacey Abrams,8
Appling,3A1,Governor,,Libertarian,Shane Hazel,7
Appling,3C,Governor,,Republican,Brian Kemp (I),28
Appling,3C,Governor,,Democrat,Stacey Abrams,110
Appling,3C,Governor,,Libertarian,Shane Hazel,51
Appling,4B,Governor,,Republican,Brian Kemp (I),1
Appling,4B,Governor,,Democrat,Stacey Abrams,2
Appling,4B,Governor,,Libertarian,Shane Hazel,6
Appling,4D,Governor,,Republican,Brian Kemp (I),7
Appling,4D,Governor,,Democrat,Stacey Abrams,38
Appling,4D,Governor,,Libertarian,Shane Hazel,22
Appling,5A,Governor,,Republican,Brian Kemp (I),1
Appling,5A,Governor,,Democrat,Stacey Abrams,38
Appling,5A,Governor,,Libertarian,Shane Hazel,19
Appling,5B,Governor,,Republican,Brian Kemp (I),2
Appling,5B,Governor,,Democrat,Stacey Abrams,15
Appling,5B,Governor,,Libertarian,Shane Hazel,19
Appling,1B,Lieutenant Governor,,Republican,Burt Jones,17
Appling,1B,Lieutenant Governor,,Democrat,Charlie Bailey,39
Appling,1B,Lieutenant Governor,,Libertarian,Ryan Graham,26
Appling,1C,Lieutenant Governor,,Republican,Burt Jones,2
Appling,1C,Lieutenant Governor,,Democrat,Charlie Bailey,28
Appling,1C,Lieutenant Governor,,Libertarian,Ryan Graham,17
Appling,2,Lieutenant Governor,,Republican,Burt Jones,79
Appling,2,Lieutenant Governor,,Democrat,Charlie Bailey,337
Appling,2,Lieutenant Governor,,Libertarian,Ryan Graham,178
Appling,3A1,Lieutenant Governor,,Republican,Burt Jones,3
Appling,3A1,Lieutenant Governor,,Democrat,Charlie Bailey,7
Appling,3A1,Lieutenant Governor,,Libertarian,Ryan Graham,7
Appling,3C,Lieutenant Governor,,Republican,Burt Jones,30
Appling,3C,Lieutenant Governor,,Democrat,Charlie Bailey,108
Appling,3C,Lieutenant Governor,,Libertarian,Ryan Graham,52
Appling,4B,Lieutenant Governor,,Republican,Burt Jones,1
Appling,4B,Lieutenant Governor,,Democrat,Charlie Bailey,4
Appling,4B,Lieutenant Governor,,Libertarian,Ryan Graham,11
Appling,4D,Lieutenant Governor,,Republican,Burt Jones,9
Appling,4D,Lieutenant Governor,,Democrat,Charlie Bailey,39
