county,precinct,office,district,party,candidate,total_votes
Appling,1B,U.S. Senate,,Republican,Herschel Junior Walker,14
Appling,1B,U.S. Senate,,Democrat,Raphael Warnock (I),38
Appling,1C,U.S. Senate,,Republican,Herschel Junior Walker,3
Appling,1C,U.S. Senate,,Democrat,Raphael Warnock (I),30
Appling,2,U.S. Senate,,Republican,Herschel Junior Walker,70
Appling,2,U.S. Senate,,Democrat,Raphael Warnock (I),398
Appling,3A1,U.S. Senate,,Republican,Herschel Junior Walker,4
Appling,3A1,U.S. Senate,,Democrat,Raphael Warnock (I),8
Appling,3C,U.S. Senate,,Republican,Herschel Junior Walker,27
Appling,3C,U.S. Senate,,Democrat,Raphael Warnock (I),125
Appling,4B,U.S. Senate,,Republican,Herschel Junior Walker,3
Appling,4B,U.S. Senate,,Democrat,Raphael Warnock (I),6
Appling,4D,U.S. Senate,,Republican,Herschel Junior Walker,10
Appling,4D,U.S. Senate,,Democrat,Raphael Warnock (I),42
Appling,5A,U.S. Senate,,Republican,Herschel Junior Walker,5
Appling,5A,U.S. Senate,,Democrat,Raphael Warnock (I),40
Appling,5B,U.S. Senate,,Republican,Herschel Junior Walker,6
Appling,5B,U.S. Senate,,Democrat,Raphael Warnock (I),21
Atkinson,Pearson County,U.S. Senate,,Republican,Herschel Junior Walker,13
Atkinson,Pearson County,U.S. Senate,,Democrat,Raphael Warnock (I),52
Atkinson,Axson,U.S. Senate,,Republican,Herschel Junior Walker,0
Atkinson,Axson,U.S. Senate,,Democrat,Raphael Warnock (I),8
Atkinson,Willacoochee,U.S. Senate,,Republican,Herschel Junior Walker,3
Atkinson,Willacoochee,U.S. Senate,,Democrat,Raphael Warnock (I),85
Atkinson,Pearson City,U.S. Senate,,Republican,Herschel Junior Walker,12
Atkinson,Pearson City,U.S. Senate,,Democrat,Raphael Warnock (I),107
Bacon,Douglas,U.S. Senate,,Republican,Herschel Junior Walker,35
Bacon,Douglas,U.S. Senate,,Democrat,Raphael Warnock (I),277
Baker,Anna,U.S. Senate,,Republican,Herschel Junior Walker,15
Baker,Anna,U.S. Senate,,Democrat,Raphael Warnock (I),75
Baker,Elmodel,U.S. Senate,,Republican,Herschel Junior Walker,4
Baker,Elmodel,U.S. Senate,,Democrat,Raphael Warnock (I),32
Baker,Hoggards Mill,U.S. Senate,,Republican,Herschel Junior Walker,12
Baker,Hoggards Mill,U.S. Senate,,Democrat,Raphael Warnock (I),86
Baker,Milford,U.S. Senate,,Republican,Herschel Junior Walker,11
Baker,Milford,U.S. Senate,,Democrat,Raphael Warnock (I),25
Baker,Newton,U.S. Senate,,Republican,Herschel Junior Walker,12
Baker,Newton,U.S. Senate,,Democrat,Raphael Warnock (I),35
Baldwin,Scottboro,U.S. Senate,,Republican,Herschel Junior Walker,17
Baldwin,Scottboro,U.S. Senate,,Democrat,Raphael Warnock (I),97
Baldwin,North Baldwin,U.S. Senate,,Republican,Herschel Junior Walker,54
Baldwin,North Baldwin,U.S. Senate,,Democrat,Raphael Warnock (I),432
Baldwin,West Baldwin,U.S. Senate,,Republican,Herschel Junior Walker,46
Baldwin,West Baldwin,U.S. Senate,,Democrat,Raphael Warnock (I),295
Baldwin,East Hardwick,U.S. Senate,,Republican,Herschel Junior Walker,19
Baldwin,East Hardwick,U.S. Senate,,Democrat,Raphael Warnock (I),181
Baldwin,West Hardwick,U.S. Senate,,Republican,Herschel Junior Walker,110
Baldwin,West Hardwick,U.S. Senate,,Democrat,Raphael Warnock (I),595
Baldwin,Coopers,U.S. Senate,,Republican,Herschel Junior Walker,19
Baldwin,Coopers,U.S. Senate,,Democrat,Raphael Warnock (I),135
Baldwin,South Milledgeville,U.S. Senate,,Republican,Herschel Junior Walker,40
Baldwin,South Milledgeville,U.S. Senate,,Democrat,Raphael Warnock (I),249
Baldwin,City Hall Annex,U.S. Senate,,Republican,Herschel Junior Walker,12
Baldwin,City Hall Annex,U.S. Senate,,Democrat,Raphael Warnock (I),114
Baldwin,Boddie,U.S. Senate,,Republican,Herschel Junior Walker,22
Baldwin,Boddie,U.S. Senate,,Democrat,Raphael Warnock (I),198
Baldwin,Courthouse,U.S. Senate,,Republican,Herschel Junior Walker,15
Baldwin,Courthouse,U.S. Senate,,Democrat,Raphael Warnock (I),65
Baldwin,West Thomas,U.S. Senate,,Republican,Herschel Junior Walker,84
Baldwin,West Thomas,U.S. Senate,,Democrat,Raphael Warnock (I),320
Baldwin,North Milledgeville,U.S. Senate,,Republican,Herschel Junior Walker,56
Baldwin,North Milledgeville,U.S. Senate,,Democrat,Raphael Warnock (I),399
Baldwin,Meriwether,U.S. Senate,,Republican,Herschel Junior Walker,44
Baldwin,Meriwether,U.S. Senate,,Democrat,Raphael Warnock (I),437
Baldwin,East Baldwin,U.S. Senate,,Republican,Herschel Junior Walker,66
Baldwin,East Baldwin,U.S. Senate,,Democrat,Raphael Warnock (I),563
Banks,Anderson,U.S. Senate,,Republican,Herschel Junior Walker,10
Banks,Anderson,U.S. Senate,,Democrat,Raphael Warnock (I),53
Banks,Baldwin,U.S. Senate,,Republican,Herschel Junior Walker,9
Banks,Baldwin,U.S. Senate,,Democrat,Raphael Warnock (I),43
Banks,Berlin,U.S. Senate,,Republican,Herschel Junior Walker,0
Banks,Berlin,U.S. Senate,,Democrat,Raphael Warnock (I),19
Banks,Bushville,U.S. Senate,,Republican,Herschel Junior Walker,1
Banks,Bushville,U.S. Senate,,Democrat,Raphael Warnock (I),28
Banks,Columbia,U.S. Senate,,Republican,Herschel Junior Walker,2
