year,county,precinct_id,source_names
2014,CHATTOOGA,XC-96,CLOUDLAND|TELOGA
2016,CHATTOOGA,XC-968,CLOUDLAND|TELOGA
2016,COLUMBIA,010,Kiokee Baptist Church-10|Kiokee Baptist Church-12
2016,COLUMBIA,021,Harlem Baptist Church-10|Harlem Baptist Church-12
2016,DEKALB,WA,WADSWORTH ELEM - 04|WADSWORTH ELEM - 05
2018,CHATTOOGA,XC968,CLOUDLAND|TELOGA
2020,CHATTOOGA,C-968X927,Cloudland|Teloga
2016,CRAWFORD,1B,1B - CITY|1B - COUNTY
2016,CRAWFORD,2,2 - CITY|2 - COUNTY
2016,CRAWFORD,3,3 - CITY|3 - COUNTY
2016,MUSCOGEE,118,ST PAUL U.M.C.-02|ST PAUL U.M.C.-03
2016,MUSCOGEE,124,EPWORTH-02|EPWORTH-03
2012,DEKALB,SF,SKYLAND - BROOKHAVEN|SKYLAND - CHAMBLEE
2012,DEKALB,WI,WARREN TECH|WARREN TECH- CHAMBLEE
2012,DEKALB,KF,KITTREDGE CHAMBLEE|KITTREDGE BROOKHAVEN
2012,DEKALB,HB,HAWTHORNE ELEM|HAWTHORNE ELEM - CHAMBLEE
2016,GWINNETT,035,CATES D|035 Cates D - 04
2018,GWINNETT,035,CATES D|035 Cates D - 04
2022,CHATHAM,2-06C,2-06C Eli Whitney Complex|2-06C Eli Whitney Complex - Savannah
2022,CHATHAM,6-11C,6-11C Coastal GA Botanical Gardens|6-11C Coastal GA Botanical Gardens - Savannah
2022,CHATHAM,7-09C,"7-09C Compassion Christian, Henderson|7-09C Compassion Christian, Henderson - Savannah"
2022,CHATHAM,7-08C,7-08C Bloomingdale Comm Ctr|7-08C Bloomingdale Comm Ctr - Savannah
2022,CHATHAM,6-10C,6-10C Georgetown Elementary|6-10C Georgetown Elementary - Savannah
2022,CHATHAM,6-02C,6-02C Windsor Forest Baptist|6-02C Windsor Forest Baptist - Savannah
2022,CHATHAM,7-13C,7-13C Southside Fire Trng Ctr|7-13C Southside Fire Trng Ctr - Garden City
2022,CHATHAM,8-03C,8-03C Silk Hope Baptist Church|8-03C Silk Hope Baptist Church - Garden City
2022,CHATHAM,5-06C,5-06C Seed Church|5-06C Seed Church - Savannah
2022,CHATHAM,3-14C,3-14C Oglethorpe Charter Academy|3-14C Oglethorpe Charter Academy - Savannah
