county,precinct,office,district,party,candidate,total_votes
Appling,1B,U.S. Senate,,Republican,David A. Perdue (I),758
Appling,1B,U.S. Senate,,Democrat,Jon Ossoff,101
Appling,1C,U.S. Senate,,Republican,David A. Perdue (I),534
Appling,1C,U.S. Senate,,Democrat,Jon Ossoff,40
Appling,2,U.S. Senate,,Republican,David A. Perdue (I),424
Appling,2,U.S. Senate,,Democrat,Jon Ossoff,816
Appling,3A1,U.S. Senate,,Republican,David A. Perdue (I),518
Appling,3A1,U.S. Senate,,Democrat,Jon Ossoff,20
Appling,3C,U.S. Senate,,Republican,David A. Perdue (I),750
Appling,3C,U.S. Senate,,Democrat,Jon Ossoff,257
Appling,4B,U.S. Senate,,Republican,David A. Perdue (I),618
Appling,4B,U.S. Senate,,Democrat,Jon Ossoff,20
Appling,4D,U.S. Senate,,Republican,David A. Perdue (I),904
Appling,4D,U.S. Senate,,Democrat,Jon Ossoff,118
Appling,5A,U.S. Senate,,Republican,David A. Perdue (I),566
Appling,5A,U.S. Senate,,Democrat,Jon Ossoff,108
Appling,5B,U.S. Senate,,Republican,David A. Perdue (I),611
Appling,5B,U.S. Senate,,Democrat,Jon Ossoff,118
Appling,1B,U.S. Senate (Special),,Republican,Kelly Loeffler (I),763
Appling,1B,U.S. Senate (Special),,Democrat,Raphael Warnock,97
Appling,1C,U.S. Senate (Special),,Republican,Kelly Loeffler (I),533
Appling,1C,U.S. Senate (Special),,Democrat,Raphael Warnock,41
Appling,2,U.S. Senate (Special),,Republican,Kelly Loeffler (I),424
Appling,2,U.S. Senate (Special),,Democrat,Raphael Warnock,818
Appling,3A1,U.S. Senate (Special),,Republican,Kelly Loeffler (I),518
Appling,3A1,U.S. Senate (Special),,Democrat,Raphael Warnock,21
Appling,3C,U.S. Senate (Special),,Republican,Kelly Loeffler (I),752
Appling,3C,U.S. Senate (Special),,Democrat,Raphael Warnock,257
Appling,4B,U.S. Senate (Special),,Republican,Kelly Loeffler (I),617
Appling,4B,U.S. Senate (Special),,Democrat,Raphael Warnock,22
Appling,4D,U.S. Senate (Special),,Republican,Kelly Loeffler (I),908
Appling,4D,U.S. Senate (Special),,Democrat,Raphael Warnock,115
Appling,5A,U.S. Senate (Special),,Republican,Kelly Loeffler (I),566
Appling,5A,U.S. Senate (Special),,Democrat,Raphael Warnock,107
Appling,5B,U.S. Senate (Special),,Republican,Kelly Loeffler (I),609
Appling,5B,U.S. Senate (Special),,Democrat,Raphael Warnock,118
Atkinson,Pearson County,U.S. Senate,,Republican,David A. Perdue (I),878
Atkinson,Pearson County,U.S. Senate,,Democrat,Jon Ossoff,131
Atkinson,Axson,U.S. Senate,,Republican,David A. Perdue (I),426
Atkinson,Axson,U.S. Senate,,Democrat,Jon Ossoff,32
Atkinson,Willacoochee,U.S. Senate,,Republican,David A. Perdue (I),458
Atkinson,Willacoochee,U.S. Senate,,Democrat,Jon Ossoff,266
Atkinson,Pearson City,U.S. Senate,,Republican,David A. Perdue (I),163
Atkinson,Pearson City,U.S. Senate,,Democrat,Jon Ossoff,291
Atkinson,Pearson County,U.S. Senate (Special),,Republican,Kelly Loeffler (I),882
Atkinson,Pearson County,U.S. Senate (Special),,Democrat,Raphael Warnock,130
Atkinson,Axson,U.S. Senate (Special),,Republican,Kelly Loeffler (I),427
Atkinson,Axson,U.S. Senate (Special),,Democrat,Raphael Warnock,31
Atkinson,Willacoochee,U.S. Senate (Special),,Republican,Kelly Loeffler (I),452
Atkinson,Willacoochee,U.S. Senate (Special),,Democrat,Raphael Warnock,270
Atkinson,Pearson City,U.S. Senate (Special),,Republican,Kelly Loeffler (I),165
Atkinson,Pearson City,U.S. Senate (Special),,Democrat,Raphael Warnock,291
Bacon,Douglas,U.S. Senate,,Republican,David A. Perdue (I),3569
Bacon,Douglas,U.S. Senate,,Democrat,Jon Ossoff,559
Bacon,Douglas,U.S. Senate (Special),,Republican,Kelly Loeffler (I),3572
Bacon,Douglas,U.S. Senate (Special),,Democrat,Raphael Warnock,559
Baker,Anna,U.S. Senate,,Republican,David A. Perdue (I),88
Baker,Anna,U.S. Senate,,Democrat,Jon Ossoff,29
Baker,Elmodel,U.S. Senate,,Republican,David A. Perdue (I),127
Baker,Elmodel,U.S. Senate,,Democrat,Jon Ossoff,134
Baker,Hoggards Mill,U.S. Senate,,Republican,David A. Perdue (I),101
Baker,Hoggards Mill,U.S. Senate,,Democrat,Jon Ossoff,108
Baker,Milford,U.S. Senate,,Republican,David A. Perdue (I),128
Baker,Milford,U.S. Senate,,Democrat,Jon Ossoff,64
Baker,Newton,U.S. Senate,,Republican,David A. Perdue (I),365
Baker,Newton,U.S. Senate,,Democrat,Jon Ossoff,295
Baker,Anna,U.S. Senate (Special),,Republican,Kelly Loeffler (I),88
Baker,Anna,U.S. Senate (Special),,Democrat,Raphael Warnock,29
Baker,Elmodel,U.S. Senate (Special),,Republican,Kelly Loeffler (I),130
Baker,Elmodel,U.S. Senate (Special),,Democrat,Raphael Warnock,131
Baker,Hoggards Mill,U.S. Senate (Special),,Republican,Kelly Loeffler (I),105
Baker,Hoggards Mill,U.S. Senate (Special),,Democrat,Raphael Warnock,105
Baker,Milford,U.S. Senate (Special),,Republican,Kelly Loeffler (I),127
Baker,Milford,U.S. Senate (Special),,Democrat,Raphael Warnock,64
