county,precinct_id,boundary_name,source_name,method
COLUMBIA,131,JOURNEY COMM. CHURCH,Journey Comm Church,name
COLUMBIA,064,GRACE BAPTIST CHURCH,Grace Baptist Church,name
COLUMBIA,061,GREENBRIER HIGH,Greenbrier High,name
COLUMBIA,063,RIVERVIEW CHURCH,Riverview Church,name
COLUMBIA,132,WESLEY METHODIST,Wesley Methodist,name
COLUMBIA,135,"CHRIST CHURCH, PRESBYTERIAN",Christ Church Presbyterian,name
COLUMBIA,107,GOSPEL WATER BRANCH,Gospel Water Branch,name
COLUMBIA,040,EUBANK/BLANCHARD CTR,Eubank-Blanchard Center,name
COLUMBIA,109,STEVENS CREEK CHURCH,Stevens Creek Church,name
COLUMBIA,111,LAKESIDE MIDDLE,Lakeside Middle,name
COLUMBIA,136,BLUERIDGE ELEMENTARY,Blue Ridge Elementary,name
COLUMBIA,137,CHRIST THE KING CH,Christ The King Luth Church,reviewed_alias
COLUMBIA,100,AUGUSTA CHRISTIAN,Augusta Christian,name
COLUMBIA,105,SAVANNAH RAPIDS PAVILION,Savannah Rapids Pavilion,name
COLUMBIA,108,GENESIS CHURCH,Genesis Church,name
COLUMBIA,060,COL CTY BOARD OF EDU,Col Cty Bd of Edu,unique_name_similarity
COLUMBIA,070,BLANCHARD PARK,Blanchard Park,name
COLUMBIA,085,TRINITY BAPT CHURCH,Trinity Baptist Church,unique_name_similarity
COLUMBIA,076,MARVIN METHODIST,Marvin Methodist,name
COLUMBIA,120,GOLD CROSS EMS,Gold Cross EMS,name
COLUMBIA,125,CHURCH OF OUR SAVIOR,Church of Our Savior,name
COLUMBIA,130,WEST ACRES BAPTIST,West Acres Baptist,name
COLUMBIA,134,COL CTY MAIN LIBRARY,Col Cty Main Library,name
COLUMBIA,026,PHILADELPHIA CHURCH,Philadelphia Church,name
COLUMBIA,010,KIOKEE BAPT CHURCH,Kiokee Baptist Church,unique_name_similarity
COLUMBIA,033,GROVETOWN DEPT OF PUBLIC SAFETY STATION #2,Grovetown Public Safety Station 2,unique_name_similarity
COLUMBIA,030,LIBERTY PARK - GROVETOWN,Liberty Park-Grovetown,name
COLUMBIA,031,GROVETOWN METHODIST,Grovetown Methodist Church,reviewed_alias
COLUMBIA,034,GROVE FIRST BAPTIST CHURCH,Grove First Baptist Church,name
COLUMBIA,018,NEW LIFE CHURCH,New Life Church,name
COLUMBIA,062,PARKWAY BAPTIST CHURCH,Parkway Baptist Church,name
COLUMBIA,017,PATRIOTS PARK,Patriots Park,name
COLUMBIA,016,WOODLAWN BAPT CHURCH,Woodlawn Baptist Church,unique_name_similarity
COLUMBIA,015,LEWIS METHODIST,Lewis Methodist Church,reviewed_alias
COLUMBIA,025,BESSIE THOMAS CENTER,Bessie Thomas Center,name
COLUMBIA,024,SECOND MOUNT MORIAH BAPTIST CHURCH,Second Mt Moriah Baptist Church,name
COLUMBIA,022,HARLEM SENIOR CENTER,Harlem Senior Center,name
COLUMBIA,020,HARLEM BRANCH LIBRARY,Harlem Branch Library,name
COLUMBIA,032,G A APOSTOLIC CHURCH,G A Apostolic Church,name
COLUMBIA,075,BELAIR BAPTIST CHURCH,Belair Baptist Church,name
COLUMBIA,080,WESTSIDE BAPT CHURCH,Westside Baptist Church,unique_name_similarity
COLUMBIA,090,ABILENE BAPTIST,Abilene Baptist,name
