county,precinct,perdue,ossoff,loeffler,warnock
Chattooga,961,74,8,74,8
Chattooga,1484,458,95,453,100
Chattooga,1083,95,62,95,65
Chattooga,1216,93,16,92,17
Chattooga,1382,100,13,99,13
Chattooga,962,317,28,315,31
Chattooga,P-870,250,44,251,43
Chattooga,870,1576,335,1575,339
Chattooga,940,512,116,511,117
Chattooga,925,2088,736,2090,733
Chattooga,927,353,41,352,42
Chattooga,968,462,108,464,106
Chattooga,C-968,180,71,179,72
Grady,L,182,43,182,43
Grady,B,447,90,445,91
Grady,W,554,174,554,174
Grady,R,235,99,235,100
Grady,H,385,175,387,172
Grady,D,227,106,227,107
Grady,C04,251,1103,250,1105
Grady,M,676,201,679,196
Grady,SH,339,48,340,46
Grady,WL,1287,231,1286,233
Grady,S,407,52,408,51
Grady,C05,861,608,857,613
Grady,P,378,169,376,171
Greene,008,4787,1228,4737,1272
Greene,006,130,117,130,117
Greene,005,309,338,308,340
Greene,001,1175,1403,1167,1406
Greene,004,516,617,513,623
