district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,46210,90.92,3.13,2.6,0.19,0.48,0.02,0.12
2,District 2,47988,87.98,2.22,6.03,0.09,0.74,0.03,0.15
3,District 3,46677,90.21,1.3,3.03,0.06,1.53,0.01,0.03
4,District 4,34087,57.95,5.5,33.91,0.01,0.91,0.02,0.12
5,District 5,44468,83.58,4.32,9.03,0.1,0.84,0.07,0.38
6,District 6,43440,87.17,1.18,9.49,0.03,0.55,0.32,0.22
7,District 7,49992,92.61,0.34,4.44,0.11,0.63,0.0,0.14
8,District 8,51560,94.28,1.63,1.92,0.07,0.22,0.01,0.11
9,District 9,49782,90.68,1.93,4.7,0.14,0.91,0.05,0.05
10,District 10,46053,88.07,3.46,5.83,0.03,0.96,0.02,0.18
11,District 11,49600,91.61,1.17,4.42,0.01,0.71,0.12,0.23
12,District 12,45720,83.36,8.47,4.94,0.11,0.86,0.19,0.1
13,District 13,42757,70.37,18.59,7.33,0.0,1.16,0.07,0.36
14,District 14,46455,85.1,6.82,5.64,0.1,0.47,0.29,0.23
15,District 15,46063,75.49,13.3,8.16,0.03,0.95,0.19,0.18
16,District 16,43043,80.59,11.2,6.48,0.14,0.09,0.01,0.16
17,District 17,46006,64.61,24.27,6.71,0.08,1.42,0.25,0.72
18,District 18,46809,87.52,7.57,1.98,0.04,0.52,0.0,0.1
19,District 19,46154,65.74,25.07,5.84,0.0,0.74,0.0,0.4
20,District 20,44115,80.54,9.47,6.86,0.04,1.43,0.02,0.2
21,District 21,46363,86.15,4.46,6.48,0.02,1.33,0.11,0.13
22,District 22,43434,67.18,16.05,10.7,0.0,4.02,0.03,0.29
23,District 23,42100,83.82,5.88,6.71,0.15,0.81,0.0,0.4
24,District 24,36390,72.98,6.02,7.48,0.03,10.38,0.0,0.05
25,District 25,36981,60.17,7.13,6.38,0.13,24.27,0.01,0.93
26,District 26,41775,76.25,2.85,7.88,0.11,9.87,0.0,0.34
27,District 27,45388,88.29,3.53,5.2,0.01,1.18,0.02,0.24
28,District 28,43914,84.18,4.17,8.25,0.05,1.34,0.05,0.72
29,District 29,36407,56.58,15.2,23.13,0.03,2.75,0.0,0.11
30,District 30,43119,76.18,7.46,12.74,0.04,1.9,0.02,0.45
31,District 31,45572,74.07,8.18,12.85,0.05,2.3,0.0,0.71
32,District 32,46140,85.26,6.73,3.88,0.05,1.63,0.01,0.06
33,District 33,47098,84.68,10.78,1.78,0.12,0.93,0.0,0.18
34,District 34,44743,69.59,17.04,6.07,0.14,4.28,0.01,0.25
35,District 35,45986,58.88,26.42,7.79,0.04,3.72,0.0,0.34
36,District 36,43182,71.44,18.09,4.77,0.09,2.99,0.01,0.66
37,District 37,38222,50.58,34.17,8.52,0.07,3.58,0.02,1.17
38,District 38,44130,31.31,54.13,10.79,0.07,0.88,0.01,0.28
39,District 39,39855,28.31,54.8,12.15,0.01,2.38,0.14,0.55
40,District 40,47431,52.14,32.82,5.31,0.11,5.44,0.0,0.47
41,District 41,36298,33.39,43.61,17.95,0.06,2.42,0.0,0.51
42,District 42,41902,45.71,35.05,11.52,0.06,3.54,0.24,0.87
43,District 43,39629,55.45,25.75,9.71,0.24,6.05,0.09,0.35
44,District 44,48082,74.71,9.55,7.04,0.06,5.31,0.05,0.73
45,District 45,38761,79.92,4.39,5.33,0.03,8.56,0.07,0.28
46,District 46,40941,78.01,7.47,6.4,0.0,6.01,0.0,0.33
47,District 47,37296,68.32,14.39,8.06,0.06,6.72,0.0,0.42
48,District 48,42161,66.15,13.63,8.91,0.06,9.4,0.02,0.3
49,District 49,40822,74.28,6.64,5.95,0.07,10.8,0.02,0.13
50,District 50,34759,53.04,10.52,5.5,0.12,28.15,0.01,0.07
51,District 51,39581,63.14,22.51,6.88,0.06,3.37,0.02,0.36
52,District 52,42035,60.36,22.35,5.32,0.04,8.02,0.0,1.76
53,District 53,43678,73.91,13.94,6.16,0.05,3.85,0.0,0.35
54,District 54,45785,65.38,19.49,7.39,0.06,5.33,0.0,0.19
55,District 55,46608,36.35,54.02,4.62,0.1,2.24,0.14,0.39
56,District 56,50217,36.84,44.85,5.65,0.13,7.96,0.0,1.45
57,District 57,48798,65.22,19.42,6.98,0.06,4.81,0.13,0.63
58,District 58,50424,28.59,59.39,3.55,0.11,4.47,0.03,0.68
59,District 59,48132,24.56,64.32,3.99,0.1,3.0,0.01,0.35
60,District 60,45192,29.88,62.26,3.75,0.04,1.88,0.01,0.77
61,District 61,43517,18.2,72.19,5.74,0.13,1.51,0.0,0.77
62,District 62,45487,21.09,69.99,5.47,0.05,1.99,0.01,0.41
63,District 63,41026,25.14,64.19,5.0,0.41,3.01,0.0,0.2
64,District 64,41354,55.87,33.83,6.35,0.11,1.51,0.0,0.66
65,District 65,45368,30.93,61.65,5.2,0.05,0.88,0.03,0.35
66,District 66,41594,33.67,53.88,7.6,0.04,1.23,0.3,0.37
67,District 67,45074,30.7,59.63,6.93,0.0,1.1,0.02,0.25
68,District 68,44851,33.98,57.12,5.41,0.0,1.49,0.03,0.1
69,District 69,41952,28.17,63.06,3.28,0.17,2.42,0.06,1.02
70,District 70,43651,64.04,25.55,6.37,0.06,1.09,0.0,0.44
71,District 71,43943,70.34,20.62,4.71,0.29,0.37,0.01,0.27
72,District 72,44984,73.41,19.35,3.45,0.16,0.9,0.0,0.29
73,District 73,45425,73.52,14.43,6.89,0.13,2.46,0.04,0.21
74,District 74,43452,66.19,26.04,4.62,0.05,1.59,0.03,0.35
75,District 75,41133,10.18,78.26,6.49,0.01,2.33,0.42,0.78
76,District 76,38014,10.58,68.5,8.8,0.2,8.45,0.01,1.32
77,District 77,39725,7.22,77.63,7.55,0.2,3.9,0.03,1.51
78,District 78,43620,14.82,74.42,4.19,0.11,3.48,0.0,0.56
79,District 79,37290,6.07,73.88,13.15,0.1,5.73,0.04,0.59
80,District 80,37139,57.2,16.4,10.67,0.02,13.36,0.0,0.16
81,District 81,37443,54.23,26.59,8.29,0.04,8.44,0.19,0.62
82,District 82,43264,67.85,17.37,5.33,0.06,6.5,0.03,0.39
83,District 83,34904,59.41,19.54,10.79,0.26,6.96,0.0,0.38
84,District 84,43979,25.26,69.09,1.73,0.37,1.33,0.0,0.37
85,District 85,39448,21.84,64.11,4.24,0.09,5.46,0.04,0.56
86,District 86,40330,15.0,74.42,2.19,0.16,4.93,0.0,0.08
87,District 87,42074,15.84,74.18,4.34,0.0,3.49,0.24,0.44
88,District 88,40640,19.14,69.37,4.29,0.28,5.6,0.01,0.32
89,District 89,41088,33.16,60.08,2.97,0.06,1.83,0.08,0.26
90,District 90,46436,36.95,53.33,4.68,0.15,2.27,0.02,0.95
91,District 91,44137,23.34,67.79,5.75,0.05,0.85,0.0,0.28
92,District 92,44614,24.96,66.3,3.35,0.22,1.62,0.01,0.83
93,District 93,44677,20.8,69.69,5.7,0.03,0.69,0.0,0.76
