precinct_id,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
APPLING - 1A,469,0,479,401,108,0,0,0,0,0,0,0,0,0,0,106,317,0,326,273,73,0,0,0,0,0,0,0,0,0,0,81
APPLING - 1A1,362,140,226,205,10,2,0,0,0,0,0,0,0,0,0,8,218,71,155,138,9,4,0,0,0,0,0,0,0,1,0,8
APPLING - 1B,1820,64,1749,1540,193,3,0,0,0,0,0,0,0,5,0,198,1396,61,1331,1200,117,4,0,0,0,0,0,0,0,7,0,111
APPLING - 1C,1150,77,1112,1112,41,0,0,0,0,29,16,0,0,16,0,47,864,12,877,865,32,0,0,0,0,2,18,0,0,18,0,32
APPLING - 1D,488,67,410,234,168,0,0,0,0,7,4,0,0,4,0,178,368,9,347,221,113,0,0,0,0,0,4,0,0,4,0,115
APPLING - 2,2950,190,2724,1456,1093,0,4,0,0,49,4,0,0,4,4,1166,2320,99,2187,1067,1048,0,4,0,0,3,4,0,0,4,4,1051
APPLING - 3A,455,168,283,309,5,0,0,0,0,0,0,0,0,0,0,5,287,75,202,208,2,0,0,0,0,0,0,0,0,2,0,2
APPLING - 3B,541,31,503,296,145,0,0,0,15,0,3,0,0,4,0,167,403,19,384,209,147,0,0,0,13,0,3,0,0,4,0,149
APPLING - 3C,2657,165,2493,1670,754,0,28,0,35,10,17,16,0,16,40,761,1931,68,1893,1327,503,0,26,0,37,0,17,0,5,18,26,510
APPLING - 4A,665,7,666,578,8,0,0,0,0,77,6,0,0,5,0,74,497,5,491,477,12,0,0,0,0,0,6,0,0,5,0,12
APPLING - 4B,568,8,567,496,11,0,0,0,0,52,16,0,0,17,0,43,463,10,464,450,1,0,0,0,0,0,5,0,0,7,0,1
APPLING - 4C,569,35,541,542,0,0,0,0,0,0,4,0,0,5,0,4,470,17,455,451,0,0,0,0,0,0,12,0,0,8,0,3
APPLING - 4D,1529,115,1398,1157,184,0,11,0,9,4,4,8,0,3,23,197,1151,36,1076,899,125,0,18,0,13,19,3,0,0,7,18,136
APPLING - 5A,1982,184,1800,1450,201,10,26,0,64,34,2,15,0,12,41,236,1618,73,1547,1247,147,9,28,0,69,33,1,16,0,10,44,181
APPLING - 5B,1011,79,937,557,399,0,0,0,0,0,0,0,0,0,0,396,626,4,634,466,186,0,0,0,0,0,0,0,0,0,0,184
APPLING - 5C,591,51,538,478,33,0,0,0,0,7,1,0,0,1,0,36,387,19,369,346,3,0,0,0,0,0,0,0,0,0,0,4
ATKINSON - 1,2818,519,2342,1999,102,0,0,0,1,66,57,53,0,54,32,151,1954,209,1797,1544,108,0,0,0,0,0,52,16,0,54,9,112
ATKINSON - 2,1388,322,1067,1040,14,0,0,0,1,0,0,0,0,0,0,14,992,131,864,851,6,0,0,0,0,0,0,0,0,0,0,6
ATKINSON - 3,1816,233,1583,1048,446,0,0,0,0,91,0,0,0,0,0,537,1360,146,1218,827,356,0,0,0,0,36,0,0,0,0,0,392
ATKINSON - 4,1304,220,1040,423,573,0,0,0,2,109,7,0,0,10,21,699,952,104,789,322,534,0,0,0,0,0,16,0,0,14,7,530
BACON - DOUGL,6659,548,6126,4245,1498,0,0,13,11,38,245,0,0,245,0,1551,4791,225,4570,3333,1080,0,0,12,15,59,98,0,0,98,0,1130
BACON - NEW L,1355,18,1337,1272,0,0,0,0,0,0,15,50,0,15,50,0,1196,18,1178,1166,0,0,0,0,0,0,12,0,0,12,0,0
BACON - TAYLO,1423,127,1280,1179,14,0,0,0,0,82,5,0,0,5,0,91,924,62,860,825,20,0,0,0,0,8,5,0,0,5,0,29
BACON - WARE,851,22,830,839,23,0,0,0,0,18,11,0,0,11,0,35,672,22,646,595,16,0,0,0,0,0,0,0,0,0,0,23
BACON - WARNO,536,43,493,492,5,0,0,0,0,11,0,0,0,0,0,12,461,9,454,458,4,0,0,0,0,2,0,0,0,0,0,7
BAKER - A,175,0,171,123,25,0,0,0,1,0,28,0,0,17,0,24,156,0,151,108,22,0,0,0,0,0,5,0,0,3,0,21
BAKER - E,555,0,546,208,331,0,93,0,5,0,2,0,0,2,90,331,461,0,452,188,264,2,92,0,0,0,3,0,0,5,92,264
BAKER - H,370,0,373,161,190,0,0,0,0,0,0,0,0,11,0,189,263,0,264,106,154,2,0,0,0,0,0,0,0,4,0,155
BAKER - M,423,0,426,282,17,0,74,0,0,0,0,0,0,0,77,17,411,0,419,272,18,0,74,0,0,0,0,0,0,0,74,18
BAKER - N,1157,18,1146,637,472,0,0,0,5,0,8,0,0,8,0,474,937,14,928,530,363,3,0,0,0,0,8,0,0,11,0,363
BALDWIN - 1714,1683,61,1628,996,501,9,15,0,0,15,32,7,0,41,22,518,1344,50,1300,852,361,11,13,0,0,15,32,11,0,43,21,367
BALDWIN - 318,4211,147,4068,2942,1072,9,109,0,0,9,32,0,0,41,109,1074,3228,49,3180,2421,653,12,90,0,0,13,32,3,0,44,92,665
BALDWIN - 319,2913,47,2861,1538,1299,0,6,79,0,4,0,0,7,3,4,1312,2482,39,2433,1172,1263,0,7,76,0,9,0,0,5,3,6,1280
BALDWIN - 321E,2051,44,2000,333,1543,9,0,0,20,29,37,0,0,46,15,1576,1551,22,1529,314,1148,6,0,0,8,18,34,0,0,40,0,1164
BALDWIN - 321W,4767,12,4755,1280,3301,0,0,0,0,110,4,0,31,26,0,3438,3555,13,3542,977,2471,0,0,4,0,55,0,0,28,20,0,2553
BALDWIN - 322,2299,34,2266,2022,329,0,0,0,0,10,0,0,4,4,0,338,1842,18,1828,1620,253,0,0,0,0,5,0,0,0,0,0,256
BALDWIN - CTY1,3824,129,3691,1456,1999,0,193,49,4,7,2,0,3,8,191,2006,2864,120,2743,1236,1258,0,140,33,0,1,2,0,3,10,138,1261
BALDWIN - CTY2,3257,146,3103,1191,1913,0,6,0,0,42,0,0,0,0,6,1953,3206,86,3107,1212,1888,0,7,0,0,9,0,0,0,0,10,1902
BALDWIN - CTY3,1575,59,1520,677,837,0,28,0,0,0,0,5,0,0,29,844,1262,47,1216,607,614,9,25,0,0,0,0,0,0,5,25,618
BALDWIN - CTY4,3023,58,2970,2202,517,0,13,7,33,22,0,20,0,9,18,538,2889,56,2837,2209,423,0,15,8,35,18,0,0,0,8,15,444
BALDWIN - CTY5,1405,33,1383,754,593,0,0,17,0,0,4,0,18,23,0,604,1315,34,1299,734,528,0,0,15,0,0,7,0,19,27,0,539
BALDWIN - CTY6,2932,38,2890,1559,1153,0,3,2,0,55,4,0,0,4,2,1220,2341,29,2303,1291,912,0,0,1,0,23,7,2,0,7,3,945
BALDWIN - MERI,3712,96,3613,2395,925,0,231,0,0,0,6,55,0,6,295,927,2882,78,2803,2004,584,0,184,0,0,0,6,55,0,6,242,583
BALDWIN - MONT,5234,49,5185,3115,1944,5,0,0,0,68,46,0,12,63,0,2024,4176,38,4138,2555,1509,0,0,0,0,27,38,4,9,47,4,1545
BANKS - 1,2156,114,2025,1830,36,7,72,0,0,54,3,0,0,11,69,89,1505,42,1461,1309,22,0,63,0,0,42,0,0,0,0,63,53
BANKS - 10,2418,37,2374,2308,19,0,9,0,0,10,11,0,8,20,11,36,1841,6,1823,1761,15,0,8,0,0,8,8,0,8,20,8,37
BANKS - 11,2651,127,2532,2395,67,0,0,0,0,0,7,0,5,11,0,86,2097,36,2065,1992,34,0,0,0,0,13,9,0,7,14,0,33
BANKS - 12,959,0,961,948,0,0,0,0,0,0,2,0,0,2,0,0,739,0,745,731,0,0,0,0,0,0,3,0,0,3,0,0
BANKS - 13,839,2,840,839,4,0,11,0,0,0,0,0,0,0,9,4,648,2,649,646,3,0,13,0,0,1,1,0,0,1,13,3
BANKS - 2,1111,158,948,915,12,16,0,0,0,9,1,0,0,17,0,21,817,38,776,747,12,16,0,0,0,0,0,0,0,17,0,12
BANKS - 3,654,0,648,627,2,0,0,0,0,0,3,0,0,3,0,5,557,0,559,537,2,0,0,0,0,3,6,0,0,6,0,6
BANKS - 4,1055,100,983,876,60,0,31,0,0,5,17,0,0,18,31,62,886,67,835,742,53,0,22,0,0,0,14,0,0,12,20,65
BANKS - 5,520,0,518,511,0,0,0,5,0,0,3,0,0,3,0,0,399,0,395,394,0,0,0,0,0,0,4,0,0,3,0,0
BANKS - 6,2866,203,2653,2178,302,0,92,0,0,0,68,0,0,67,92,309,2329,192,2123,1792,195,0,100,0,0,0,33,0,0,35,102,194
BANKS - 7,1693,115,1565,1492,0,0,0,0,0,128,13,0,0,12,0,106,1351,55,1287,1262,0,0,0,0,0,30,13,0,2,14,0,44
BANKS - 8,858,82,777,728,10,2,54,0,0,12,9,0,0,10,57,24,657,36,620,584,5,0,62,0,0,0,5,0,0,6,62,6
BANKS - 9,932,26,924,918,0,1,0,0,0,0,3,0,0,5,0,1,740,13,741,739,0,1,0,0,0,2,5,0,0,4,0,4
BARROW - 1,4978,502,4507,3373,810,11,5,0,23,148,103,17,0,115,27,972,3751,255,3497,2778,557,0,5,0,9,61,77,15,0,79,34,604
BARROW - 10,5699,782,4947,3322,1261,0,112,0,6,107,11,23,0,12,134,1369,3888,407,3466,2384,918,0,88,0,9,13,9,4,0,10,95,925
BARROW - 11,7870,1178,6677,4445,1705,0,333,0,78,61,12,0,25,37,333,1797,5584,679,4896,3305,1217,0,221,0,59,43,18,0,22,40,221,1283
BARROW - 12,5027,972,4055,3095,569,21,179,0,0,79,26,30,0,47,216,656,3812,663,3155,2551,404,10,103,0,0,20,24,5,0,34,108,424
BARROW - 13,4651,596,4059,3546,360,0,18,0,2,147,31,0,0,31,17,480,3425,276,3166,2830,285,0,21,0,2,22,27,0,0,26,21,306
BARROW - 14,2216,238,1967,1677,99,0,131,0,0,86,0,0,7,7,128,192,1748,211,1534,1351,95,0,73,0,0,35,0,0,8,8,71,139
BARROW - 15,5320,799,4513,3461,604,0,149,0,0,138,63,20,1,63,169,766,3930,563,3365,2626,456,0,116,0,0,91,44,0,2,46,117,542
BARROW - 16,10435,1588,8796,5523,2693,0,216,0,22,166,61,246,0,59,457,2847,7361,711,6639,4253,2015,0,130,0,23,20,31,213,5,34,329,2059
BARROW - 2,5120,478,4646,3556,668,24,266,0,3,44,41,17,0,65,281,715,3954,294,3664,2742,611,24,165,0,0,47,30,17,0,54,181,661
BARROW - 3,4411,613,3791,2891,352,0,507,0,13,57,30,3,0,31,510,403,3228,379,2839,2198,228,0,369,0,21,41,28,0,0,28,373,266
BARROW - 4,3618,235,3398,3018,282,0,20,0,0,48,18,19,0,18,40,325,2842,106,2748,2477,238,0,17,0,0,0,10,11,0,10,28,238
BARROW - 5,6963,330,6633,5637,650,0,164,0,0,160,22,0,0,22,164,810,5400,189,5211,4543,483,5,113,0,0,45,22,0,0,27,113,528
BARROW - 6,3811,226,3595,2643,648,0,196,0,0,121,2,35,0,2,230,765,3286,163,3134,2358,510,0,188,0,0,53,0,34,0,0,217,570
BARROW - 7,4771,696,4077,3126,649,0,144,0,24,111,17,0,0,18,147,761,3357,401,2963,2276,535,0,96,0,17,26,10,0,0,8,97,560
BARROW - 8,4550,446,4104,3355,266,0,436,0,3,15,42,35,0,41,459,277,3276,281,2989,2479,254,0,244,0,0,7,34,0,0,35,233,259
BARROW - 9,6126,827,5295,4364,564,0,216,0,0,40,20,21,0,20,246,606,4460,482,3976,3313,417,0,164,0,0,7,21,11,0,22,185,427
BARTOW - 1,9715,535,9181,7984,852,10,33,0,27,129,143,6,0,152,39,981,7288,279,7010,6200,645,8,41,0,18,0,95,0,0,103,41,647
BARTOW - 10,4117,191,3923,3384,328,6,7,5,38,73,84,18,8,100,27,432,3313,120,3198,2745,270,6,4,5,10,39,90,9,9,111,16,333
BARTOW - 11,8624,468,8157,6990,769,9,75,0,0,155,0,0,4,10,123,935,6457,214,6242,5558,514,9,30,0,0,47,8,0,0,8,41,565
BARTOW - 12,2791,57,2743,2643,24,0,0,0,11,1,15,2,0,16,12,31,2168,25,2147,2068,30,0,0,4,11,0,13,0,0,13,3,25
BARTOW - 14,4414,361,4091,3934,14,16,29,13,39,6,24,9,0,42,35,20,3456,302,3168,3069,5,15,28,17,18,0,24,13,0,38,37,5
BARTOW - 15,3372,60,3321,3161,35,0,20,3,31,21,21,0,0,20,22,94,2622,29,2600,2450,36,0,5,0,15,16,31,0,0,31,15,92
BARTOW - 16,10571,1378,9232,6750,1843,0,66,0,72,459,36,58,0,33,292,2274,8041,661,7418,5613,1521,0,58,0,7,163,43,59,0,41,171,1705
BARTOW - 17,8464,1425,7031,5785,795,1,4,266,37,122,0,131,0,0,55,921,6231,877,5360,4653,623,6,6,111,0,19,0,44,0,4,40,637
BARTOW - 18,2482,109,2370,2225,68,0,16,0,0,0,16,0,0,17,19,72,1877,61,1808,1676,74,0,12,0,0,0,15,0,0,17,14,80
BARTOW - 2,7299,1091,6206,4693,1242,0,57,0,71,4,112,14,3,117,71,1249,5737,533,5204,3987,1023,4,38,0,71,0,65,11,3,73,49,1026
BARTOW - 3,10570,1307,9136,6782,1847,0,175,85,5,108,49,40,0,53,213,1950,8520,902,7564,5742,1435,0,181,29,4,44,42,18,0,45,197,1466
BARTOW - 4,12126,1686,10520,8374,1883,0,218,5,0,35,46,126,0,46,208,1926,8827,1029,7807,6400,1255,0,82,9,0,49,47,63,0,47,91,1291
BARTOW - 5,10027,520,9519,8042,1252,5,36,0,69,33,52,0,0,58,34,1262,7443,297,7143,5959,1109,6,0,0,5,7,33,0,0,41,0,1097
BARTOW - 6,5226,400,4836,4548,119,5,13,1,0,95,28,0,0,33,13,183,3911,314,3614,3416,124,0,17,0,3,65,1,0,0,2,17,155
BARTOW - 7,3960,166,3787,3278,368,0,18,86,0,15,5,8,17,20,28,399,3194,97,3093,2765,226,0,15,51,0,0,8,0,18,25,15,244
BARTOW - 8,4885,179,4653,4004,402,5,40,0,55,70,101,0,0,103,40,466,3646,161,3458,3003,256,5,42,0,28,53,76,0,0,81,42,301
BARTOW - 9,1732,131,1605,1522,26,0,27,0,0,0,31,2,0,32,17,30,1407,44,1359,1312,16,0,39,0,0,0,2,0,0,2,26,25
BEN HILL - 1,5080,285,4821,2417,2433,4,0,0,0,3,59,0,12,70,0,2453,3785,139,3652,1806,1906,0,0,0,0,0,40,0,9,47,0,1915
BEN HILL - 2,4972,44,4910,2980,1667,8,37,0,0,31,11,0,0,35,37,1701,3908,25,3870,2476,1216,10,38,1,0,0,11,0,0,37,38,1212
BEN HILL - 3,268,0,270,267,0,0,0,0,0,0,0,0,0,0,0,0,206,0,209,212,0,0,0,0,0,0,0,0,0,0,0,0
BEN HILL - 4,2272,375,1902,896,1078,0,0,0,0,0,0,0,0,1,0,1084,1500,177,1325,676,673,0,0,0,0,0,2,0,0,4,0,679
BEN HILL - 5,4106,178,3913,2572,1283,27,0,0,0,19,12,0,0,27,0,1288,3138,71,3069,2134,871,22,0,3,0,5,14,0,0,20,0,874
BERRIEN - 11062,1379,66,1315,1295,0,0,0,0,0,39,2,0,0,1,0,40,1103,62,1043,1030,0,0,3,0,0,0,7,0,4,11,3,4
BERRIEN - 1144,2027,132,1891,1498,268,0,12,22,6,18,47,1,0,48,9,335,1454,110,1347,1095,195,0,10,6,5,4,47,1,0,48,10,198
