district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,144971,62.15,24.46,7.43,0.1,2.63,0.2,0.56
2,District 2,143947,41.47,48.97,5.49,0.06,1.47,0.06,0.45
3,District 3,149382,70.09,21.0,5.08,0.17,0.95,0.02,0.49
4,District 4,147828,68.44,23.81,3.9,0.18,1.18,0.09,0.28
5,District 5,94749,23.53,35.18,24.89,0.17,13.32,0.1,0.5
6,District 6,142467,62.95,22.85,6.43,0.1,4.58,0.05,0.5
7,District 7,123741,44.09,22.66,11.92,0.09,18.48,0.01,0.61
8,District 8,141937,62.38,29.99,4.68,0.16,0.92,0.03,0.22
9,District 9,122893,37.0,34.14,13.47,0.09,12.52,0.03,0.48
10,District 10,141927,20.75,69.88,4.28,0.06,2.93,0.04,0.31
11,District 11,138049,61.11,31.78,4.7,0.19,0.68,0.01,0.39
12,District 12,140442,36.09,59.72,1.78,0.19,0.65,0.02,0.11
13,District 13,138378,65.43,27.55,4.21,0.1,0.77,0.05,0.06
14,District 14,135479,61.59,20.73,8.03,0.09,6.34,0.01,0.74
15,District 15,138057,36.3,53.55,5.41,0.11,1.4,0.21,0.47
16,District 16,147830,68.22,23.69,4.78,0.07,1.45,0.03,0.36
17,District 17,146862,56.3,34.61,4.26,0.09,1.28,0.01,0.35
18,District 18,146670,60.34,31.87,3.66,0.07,1.4,0.07,0.38
19,District 19,143704,65.81,25.04,5.7,0.16,0.44,0.07,0.55
20,District 20,148977,61.69,31.92,3.08,0.18,1.31,0.17,0.26
21,District 21,138048,79.48,7.61,6.77,0.07,3.82,0.01,0.28
22,District 22,144114,33.01,57.91,4.71,0.07,1.44,0.1,0.45
23,District 23,146578,56.96,35.85,3.5,0.05,0.78,0.02,0.38
24,District 24,148872,71.12,18.76,4.28,0.18,2.95,0.02,0.34
25,District 25,151962,59.25,33.21,3.52,0.1,1.09,0.15,0.29
26,District 26,141016,39.19,54.74,2.64,0.12,1.13,0.03,0.21
27,District 27,133603,78.4,4.72,7.97,0.05,6.21,0.03,0.36
28,District 28,145570,70.75,19.55,5.74,0.03,1.47,0.0,0.18
29,District 29,143891,63.59,27.85,4.38,0.08,1.74,0.03,0.26
30,District 30,142858,71.88,20.16,4.2,0.18,0.64,0.0,0.36
31,District 31,145297,69.12,21.51,6.23,0.07,0.77,0.08,0.43
32,District 32,140717,70.92,14.39,7.91,0.04,4.26,0.02,0.4
33,District 33,127168,34.86,46.42,13.86,0.06,1.76,0.08,0.63
34,District 34,125723,13.09,71.49,8.58,0.16,3.95,0.08,0.98
35,District 35,143662,18.23,72.43,6.15,0.06,0.97,0.1,0.47
36,District 36,155785,39.98,47.08,5.34,0.19,4.36,0.01,0.61
37,District 37,142494,66.97,20.35,6.28,0.09,3.54,0.04,0.41
38,District 38,141087,23.33,64.75,6.29,0.06,2.99,0.04,0.45
39,District 39,147481,27.55,60.91,4.51,0.06,3.65,0.07,0.6
40,District 40,121422,54.92,23.88,9.59,0.11,9.49,0.04,0.4
41,District 41,130465,23.26,64.98,3.62,0.12,5.35,0.1,0.44
42,District 42,135657,56.5,29.92,5.4,0.17,4.84,0.05,0.37
43,District 43,142621,25.93,64.75,4.81,0.12,1.1,0.0,0.92
44,District 44,134987,15.43,72.28,5.27,0.15,3.98,0.11,0.95
45,District 45,132625,57.25,21.14,10.86,0.12,8.34,0.03,0.28
46,District 46,146242,69.71,18.24,6.02,0.22,2.79,0.02,0.27
47,District 47,145802,71.67,17.34,6.43,0.03,2.34,0.0,0.22
48,District 48,116882,59.56,8.64,6.24,0.08,23.39,0.01,0.35
49,District 49,132712,73.91,8.17,13.79,0.03,2.1,0.01,0.32
50,District 50,146410,86.09,5.18,5.59,0.06,1.09,0.01,0.27
51,District 51,160915,92.71,1.02,3.68,0.1,0.56,0.05,0.07
52,District 52,145024,78.4,11.6,6.75,0.09,0.8,0.19,0.26
53,District 53,148655,89.44,3.75,2.89,0.11,0.84,0.03,0.11
54,District 54,132886,77.17,3.58,16.43,0.02,0.93,0.13,0.16
55,District 55,140270,21.09,66.1,6.91,0.15,3.62,0.04,0.38
56,District 56,136715,80.18,6.81,6.01,0.04,4.81,0.07,0.45
