precinct_id,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
MERIWETHER - 13,618,18,598,452,88,0,2,0,0,17,4,0,0,3,3,116,507,15,488,379,59,0,1,0,0,15,4,0,0,4,1,77
MERIWETHER - 14,203,11,192,197,2,0,0,0,0,11,4,0,0,4,0,6,178,11,173,167,3,0,0,0,0,0,4,0,0,3,0,5
MILLER - 1,5747,140,5607,3825,1645,18,23,16,27,29,24,0,0,42,23,1674,4444,84,4360,3074,1176,12,19,12,17,19,26,0,5,43,19,1200
MITCHELL - BA,1857,108,1737,716,795,0,194,0,0,26,28,0,0,28,194,821,1397,19,1380,616,615,0,133,0,4,7,24,0,0,24,133,626
MITCHELL - BV,914,9,890,797,101,9,0,0,0,0,0,0,0,17,0,100,734,3,733,636,101,9,0,0,0,2,0,0,0,16,0,101
MITCHELL - CN,2722,393,2346,305,2063,0,0,0,5,7,0,0,0,0,0,2070,2041,218,1823,247,1610,0,0,0,0,0,0,0,0,0,0,1610
MITCHELL - CS,6394,164,6215,2266,3520,6,0,0,0,329,38,0,0,44,0,3848,5096,136,4960,1983,2884,0,0,0,5,9,32,0,4,36,0,2894
MITCHELL - CT,434,17,413,414,27,0,0,0,0,0,3,0,0,2,0,24,353,8,336,353,16,0,0,0,0,0,0,0,0,0,0,17
MITCHELL - HF,394,2,394,329,57,18,0,0,0,0,0,0,0,10,0,59,342,0,339,274,54,17,0,0,0,0,0,0,0,10,0,55
MITCHELL - HI,175,0,175,168,8,0,0,0,0,0,0,0,0,5,0,11,127,0,130,119,8,0,0,0,0,0,0,0,0,5,0,9
MITCHELL - LS,1771,29,1764,1380,349,0,0,0,0,3,1,0,0,1,0,351,1336,7,1332,990,310,0,0,0,0,10,2,0,0,1,0,313
MITCHELL - PC,221,0,231,214,18,0,0,0,0,0,6,0,0,2,0,18,165,0,172,151,17,0,0,0,0,0,8,0,0,5,0,18
MITCHELL - PE,5360,55,5323,2688,2476,0,0,0,0,96,14,13,0,15,13,2575,4047,30,4026,2206,1757,0,4,0,0,3,0,11,0,0,15,1763
MITCHELL - SC,484,0,461,385,74,0,0,0,0,0,3,0,0,2,0,72,327,0,313,258,53,0,0,0,0,0,2,0,0,1,0,54
MONROE - 01,2986,24,2961,2200,668,44,0,0,0,8,54,0,0,71,0,670,2610,10,2590,1873,669,24,0,0,0,16,20,0,0,34,0,672
MONROE - 02,1453,20,1426,1408,31,2,46,0,0,12,0,0,0,0,61,39,1110,9,1103,1106,30,0,23,0,0,0,2,0,0,2,31,31
MONROE - 03,2996,152,2842,2736,61,0,46,0,0,8,0,0,4,29,38,79,2394,138,2265,2151,67,0,29,0,0,0,7,0,5,22,26,85
MONROE - 04,1557,15,1543,1278,261,0,0,0,0,0,0,0,0,0,0,256,1155,14,1142,914,221,0,0,0,0,0,0,0,0,0,0,219
MONROE - 05,1105,52,1063,850,115,0,128,0,0,0,0,0,0,3,124,115,871,9,857,690,113,0,83,0,0,0,0,0,0,0,74,112
MONROE - 06,720,2,717,499,202,0,19,0,0,0,7,0,0,6,15,199,644,0,644,438,192,0,0,0,0,0,7,0,0,6,0,190
MONROE - 07,1419,134,1311,1092,243,0,0,0,0,1,0,0,0,0,0,252,1023,51,984,873,138,0,0,0,0,0,0,0,0,0,0,138
MONROE - 08,3440,35,3405,2602,620,0,0,0,0,0,15,23,0,16,20,633,2638,26,2608,1898,524,0,0,0,0,0,15,24,0,15,24,534
MONROE - 09,6706,255,6422,3401,3054,0,9,0,0,3,8,0,0,8,14,3046,5218,189,5023,2791,2244,0,6,0,0,0,11,0,0,11,10,2240
MONROE - 10,2179,64,2113,1596,460,0,0,0,0,73,18,0,0,17,3,529,1718,59,1655,1273,387,0,0,0,0,36,15,0,0,15,0,420
MONROE - 11,902,8,893,514,258,1,19,0,0,0,0,0,0,3,15,257,746,3,743,420,257,0,0,0,0,0,0,0,0,0,0,253
MONROE - 12,1576,0,1584,1335,262,0,0,0,0,0,0,0,0,0,0,269,1255,0,1256,1091,193,0,0,0,0,0,2,0,0,2,0,194
MONROE - 13,1675,7,1668,1407,149,0,0,0,0,106,7,0,0,7,0,256,1154,5,1150,1059,85,0,0,0,0,0,6,0,0,6,0,86
MONROE - 14,703,2,699,560,122,1,0,0,0,0,1,0,0,2,0,121,638,0,641,520,112,0,0,0,0,0,1,0,0,2,0,115
MONTGOMERY - 01,669,17,660,439,169,0,0,0,12,19,0,0,0,0,0,188,570,12,566,369,166,0,0,0,14,1,6,0,0,4,0,166
MONTGOMERY - 02,729,28,698,685,40,0,0,0,0,0,0,0,3,2,0,43,557,14,540,524,33,0,0,0,0,0,3,0,2,6,0,33
MONTGOMERY - 03,1903,133,1761,1298,395,0,0,0,7,39,4,0,0,4,0,434,1492,74,1424,1055,326,0,0,0,9,24,0,0,0,0,0,350
MONTGOMERY - 04,583,80,519,529,6,0,0,0,1,0,2,0,0,2,0,6,487,46,438,443,7,0,0,0,1,0,0,0,0,0,0,7
