district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,761881,52624,709264,448166,219509,794,10640,747,5033,13967,4811,4531,1060,6674,15169,234517,583152,32602,550569,359404,165764,665,8632,558,3048,5537,3538,2522,882,5094,11153,172175
2,739481,35764,703766,298456,373718,897,7779,522,3448,9512,4834,2931,1563,7297,10756,384829,563994,20530,543498,243368,279650,748,6646,466,1546,4453,3642,1536,1363,5757,8216,285461
3,762136,41777,720309,501399,182652,751,10063,190,2584,11033,6650,4313,854,8254,14345,194569,580682,25754,554900,396055,136832,565,7366,138,1671,4292,5102,2191,798,6461,9522,141935
4,707675,56729,650920,194760,399572,534,29317,377,4895,12264,2135,4481,2504,5177,33803,414258,534256,27128,507113,162272,307351,497,22390,197,2885,5908,1677,1895,2000,4178,24290,315210
5,726748,45562,681199,272833,357488,1046,24167,212,5759,9001,1571,6033,2947,5560,30180,369589,586877,29690,557171,234700,282242,792,21845,216,4032,5979,1280,3503,2533,4598,25340,290815
6,713272,64160,648853,491088,68088,418,65003,107,3699,8516,2978,8208,649,4057,73216,77150,529865,38853,490809,384549,50894,312,41282,84,2220,4458,2244,4061,622,3183,45314,55924
7,654368,117509,536925,217612,213122,834,79973,285,3842,11956,1683,6435,1576,4076,86462,226504,468293,62474,405871,176096,156230,641,61058,219,1895,4960,1287,2614,1275,3208,63707,162394
8,751679,45680,706000,443300,231516,765,8875,598,2623,9258,4582,3149,1444,6791,11993,242180,572041,25942,546087,353870,173518,619,6422,538,1630,3231,3663,1577,1084,5366,7989,177836
9,733916,90796,643071,505405,78199,649,36199,164,2744,8889,6075,4094,427,7162,40213,87664,561535,49380,512111,413628,59079,459,26749,114,1690,2986,4742,2106,338,5528,28820,62476
10,779022,54722,724295,494817,186839,961,14972,206,2833,9276,8125,3527,2416,11498,18516,198564,596642,31843,564790,396691,139403,761,11138,123,1593,4741,6019,2103,2074,8855,13249,146202
11,735334,74605,661011,482578,130017,494,21179,638,4153,10891,3835,5686,1422,5858,26898,142437,565328,42651,522902,390094,100790,430,16247,415,2409,5089,3069,3257,973,4519,19539,106899
12,758066,38420,719623,400468,281509,938,10908,395,3269,12021,5328,3392,1343,7599,14302,294883,581358,23490,557834,320708,212760,857,8461,207,1967,5405,4232,2041,1184,6262,10503,219356
13,736757,73833,662930,125991,493296,570,21416,651,5110,10227,1505,1692,2934,4908,23112,506352,542681,39375,503326,107334,366274,431,16455,593,3004,4912,1224,1176,2123,3745,17634,373308
14,749177,79476,669689,531068,106986,588,6767,565,2641,10706,6597,3046,733,7909,9811,118404,567802,45758,522055,422063,80753,454,4941,455,1473,3992,5428,1943,551,6424,6881,85292
