precinct_key,district_num,area_weight,block_count,precinct_block_count
13001000002,1,1.0000000000,,
1300100001B,1,1.0000000000,,
1300100001C,1,1.0000000000,,
1300100003C,1,1.0000000000,,
1300100004B,1,1.0000000000,,
1300100004D,1,1.0000000000,,
1300100005A,1,1.0000000000,,
1300100005B,1,1.0000000000,,
130010003A1,1,1.0000000000,,
13003000001,8,1.0000000000,,
13003000002,8,1.0000000000,,
13003000003,8,1.0000000000,,
13003000004,8,1.0000000000,,
130050DOUGL,1,1.0000000000,,
1300700000A,2,1.0000000000,,
1300700000E,2,1.0000000000,,
1300700000H,2,1.0000000000,,
1300700000M,2,1.0000000000,,
1300700000N,2,1.0000000000,,
13009000318,8,1.0000000000,,
13009000319,8,1.0000000000,,
13009000322,8,1.0000000000,,
13009001714,8,1.0000000000,,
1300900321E,8,1.0000000000,,
1300900321W,8,1.0000000000,,
1300900CTY1,8,1.0000000000,,
1300900CTY2,8,1.0000000000,,
1300900CTY3,8,1.0000000000,,
1300900CTY4,8,1.0000000000,,
1300900CTY5,8,1.0000000000,,
1300900CTY6,8,1.0000000000,,
1300900MERI,8,1.0000000000,,
1300900MONT,8,1.0000000000,,
13011000001,9,1.0000000000,,
13011000002,9,1.0000000000,,
13011000003,9,1.0000000000,,
13011000004,9,0.9999999589,,
13011000004,10,0.0000000411,,
13011000005,9,1.0000000000,,
13011000006,9,0.9999999947,,
13011000006,10,0.0000000053,,
13011000007,9,1.0000000000,,
13011000008,9,1.0000000000,,
13011000009,9,1.0000000000,,
13011000010,9,1.0000000000,,
13011000011,9,1.0000000000,,
13011000012,9,1.0000000000,,
13011000013,9,1.0000000000,,
13013000001,10,1.0000000000,,
13013000002,10,1.0000000000,,
13013000003,10,1.0000000000,,
13013000004,10,1.0000000000,,
13013000005,10,1.0000000000,,
13013000006,10,1.0000000000,,
13013000007,10,1.0000000000,,
13013000008,10,1.0000000000,,
13013000009,10,1.0000000000,,
13013000010,10,1.0000000000,,
13013000011,10,1.0000000000,,
13013000012,10,1.0000000000,,
13013000013,10,1.0000000000,,
13013000014,10,1.0000000000,,
13013000015,10,1.0000000000,,
13013000016,10,1.0000000000,,
13015000001,11,1.0000000000,,
13015000002,11,1.0000000000,,
13015000003,11,1.0000000000,,
13015000004,11,1.0000000000,,
13015000005,11,1.0000000000,,
13015000006,11,1.0000000000,,
13015000007,11,1.0000000000,,
13015000008,11,1.0000000000,,
13015000009,11,1.0000000000,,
13015000010,11,1.0000000000,,
13015000011,11,1.0000000000,,
13015000012,11,1.0000000000,,
13015000014,11,1.0000000000,,
13015000015,11,1.0000000000,,
13015000016,11,1.0000000000,,
13015000018,11,1.0000000000,,
13017000001,8,1.0000000000,,
13017000002,8,1.0000000000,,
13019000518,8,1.0000000000,,
13019001144,8,1.0000000000,,
13019001148,8,1.0000000000,,
13019001157,8,1.0000000000,,
13019001329,8,1.0000000000,,
13019001427,8,1.0000000000,,
13019001642,8,1.0000000000,,
13019001767,8,1.0000000000,,
13019001819,8,1.0000000000,,
13021000EM1,2,1.0000000000,,
13021000EM2,2,1.0000000000,,
13021000EM3,2,1.0000000000,,
13021000EM4,2,1.0000000000,,
13021000EM5,2,1.0000000000,,
13021000GF1,2,1.0000000000,,
13021000GF2,2,1.0000000000,,
13021000GF3,2,1.0000000000,,
13021000GF4,2,1.0000000000,,
13021000GF5,2,1.0000000000,,
13021000HA1,2,1.0000000000,,
13021000HA2,8,1.0000000000,,
13021000HA3,2,1.0000000000,,
13021000HA4,8,1.0000000000,,
13021000HO1,8,1.0000000000,,
13021000HO2,2,0.0000632532,,
13021000HO2,8,0.9999367468,,
13021000HO3,8,1.0000000000,,
13021000HO4,8,1.0000000000,,
13021000HO5,8,1.0000000000,,
13021000HO6,8,1.0000000000,,
13021000HO7,8,1.0000000000,,
13021000RU1,2,1.0000000000,,
13021000RU2,2,1.0000000000,,
13021000VV1,2,1.0000000000,,
13021000VV2,2,1.0000000000,,
13021000VV3,2,1.0000000000,,
13021000VV4,2,1.0000000000,,
13021000VV5,8,1.0000000000,,
13021000VV6,2,0.4642298273,,
13021000VV6,8,0.5357701727,,
13021000WA1,2,1.0000000000,,
13021000WA2,2,1.0000000000,,
13023000001,8,1.0000000000,,
13025000001,1,1.0000000000,,
13025000002,1,1.0000000000,,
13025000003,1,1.0000000000,,
13027000659,8,1.0000000000,,
13027000660,8,1.0000000000,,
13027001199,8,1.0000000000,,
13027001230,8,1.0000000000,,
13027001402,8,1.0000000000,,
13027001650,8,1.0000000000,,
13027001712,8,1.0000000000,,
13029000001,1,1.0000000000,,
13029000002,1,1.0000000000,,
13029000003,1,1.0000000000,,
13029000004,1,1.0000000000,,
13029000005,1,1.0000000000,,
13029000006,1,1.0000000000,,
13029000007,1,1.0000000000,,
13029000008,1,1.0000000000,,
13029000009,1,1.0000000000,,
13029000010,1,1.0000000000,,
13029FTSTEW,1,1.0000000000,,
13031000001,12,1.0000000000,,
13031000002,12,1.0000000000,,
13031000003,12,1.0000000000,,
13031000004,12,1.0000000000,,
13031000005,12,1.0000000000,,
13031000006,12,1.0000000000,,
13031000007,12,1.0000000000,,
13031000008,12,1.0000000000,,
13031000009,12,1.0000000000,,
13031000010,12,1.0000000000,,
13031000011,12,1.0000000000,,
13031000012,12,1.0000000000,,
13031000013,12,1.0000000000,,
13031000014,12,1.0000000000,,
13031000015,12,1.0000000000,,
13031000016,12,1.0000000000,,
13033000001,12,1.0000000000,,
13033000002,12,1.0000000000,,
13033000003,12,1.0000000000,,
13033000004,12,1.0000000000,,
13033000005,12,1.0000000000,,
13033000006,12,1.0000000000,,
13033000007,12,1.0000000000,,
13033000008,12,1.0000000000,,
13033000009,12,1.0000000000,,
13033000010,12,1.0000000000,,
13033000011,12,1.0000000000,,
13033000012,12,1.0000000000,,
13033000013,12,1.0000000000,,
13033000014,12,1.0000000000,,
13033000015,12,1.0000000000,,
13033000016,12,1.0000000000,,
1303500BCCC,10,1.0000000000,,
13037000001,2,1.0000000000,,
13037000002,2,1.0000000000,,
13037000003,2,1.0000000000,,
13037000004,2,1.0000000000,,
13037000005,2,1.0000000000,,
13039000001,1,1.0000000000,,
13039000002,1,1.0000000000,,
13039000003,1,1.0000000000,,
13039000004,1,1.0000000000,,
13039000005,1,1.0000000000,,
13039000006,1,1.0000000000,,
13039000007,1,1.0000000000,,
13039000008,1,1.0000000000,,
13039000009,1,1.0000000000,,
13039000010,1,1.0000000000,,
13039000011,1,1.0000000000,,
13039000012,1,1.0000000000,,
13039000013,1,1.0000000000,,
13039000014,1,1.0000000000,,
13043001685,12,1.0000000000,,
13043001736,12,1.0000000000,,
13045000501,3,1.0000000000,,
13045000640,3,1.0000000000,,
13045000641,3,1.0000000000,,
13045000642,3,1.0000000000,,
13045000649,3,1.0000000000,,
13045000650,3,1.0000000000,,
13045000682,3,1.0000000000,,
13045000713,3,1.0000000000,,
13045000715,3,1.0000000000,,
13045001006,3,1.0000000000,,
13045001111,3,1.0000000000,,
13045001122,3,1.0000000000,,
13045001152,3,1.0000000000,,
13045001240,3,1.0000000000,,
13045001371,3,1.0000000000,,
13045001483,3,1.0000000000,,
13045001496,3,1.0000000000,,
13045001533,3,1.0000000000,,
13045001540,3,1.0000000000,,
13045001542,3,1.0000000000,,
130450714A1,3,1.0000000000,,
130450714A2,3,1.0000000000,,
130450714A3,3,1.0000000000,,
130450714A4,3,1.0000000000,,
130450714A5,3,1.0000000000,,
130450714A6,3,1.0000000000,,
130450714BN,3,1.0000000000,,
130450714BW,3,1.0000000000,,
1304700BLCK,14,1.0000000000,,
1304700BOYN,14,1.0000000000,,
1304700CAKT,14,1.0000000000,,
1304700CHAM,14,1.0000000000,,
1304700FT-O,14,1.0000000000,,
1304700GRAY,14,1.0000000000,,
1304700LAKE,14,1.0000000000,,
1304700POPS,14,1.0000000000,,
1304700RING,14,1.0000000000,,
1304700WEST,14,1.0000000000,,
1304700WOOD,14,1.0000000000,,
13049000002,1,1.0000000000,,
1304900003B,1,1.0000000000,,
1304900003S,1,1.0000000000,,
1304900004A,1,1.0000000000,,
1304900004H,1,1.0000000000,,
1304900005F,1,1.0000000000,,
1304900005R,1,1.0000000000,,
1304900005W,1,1.0000000000,,
1305101-01C,1,1.0000000000,,
1305101-05C,1,1.0000000000,,
1305101-06C,1,1.0000000000,,
1305101-08C,1,1.0000000000,,
1305101-09C,1,1.0000000000,,
