precinct_key,district_num,area_weight,block_count,precinct_block_count
13001000002,156,1.0000000000,297,297
1300100001B,156,1.0000000000,136,136
1300100001C,156,1.0000000000,58,58
1300100003C,156,0.5787781350,180,311
1300100003C,178,0.4212218650,131,311
1300100004B,178,1.0000000000,244,244
1300100004D,178,1.0000000000,200,200
1300100005A,156,1.0000000000,164,164
1300100005B,156,1.0000000000,139,139
130010003A1,156,1.0000000000,112,112
13003000001,176,1.0000000000,177,177
13003000002,176,1.0000000000,107,107
13003000003,176,1.0000000000,156,156
13003000004,176,1.0000000000,106,106
130050DOUGL,169,1.0000000000,752,752
1300700000A,154,1.0000000000,61,61
1300700000E,154,1.0000000000,47,47
1300700000H,154,1.0000000000,63,63
1300700000M,154,1.0000000000,39,39
1300700000N,154,1.0000000000,173,173
13009000318,145,1.0000000000,76,76
13009000319,145,1.0000000000,65,65
13009000322,145,1.0000000000,68,68
13009001714,145,1.0000000000,63,63
1300900321E,145,1.0000000000,61,61
1300900321W,145,1.0000000000,88,88
1300900CTY1,145,1.0000000000,140,140
1300900CTY2,145,1.0000000000,84,84
1300900CTY3,145,1.0000000000,53,53
1300900CTY4,145,1.0000000000,81,81
1300900CTY5,145,1.0000000000,48,48
1300900CTY6,145,1.0000000000,50,50
1300900MERI,145,1.0000000000,68,68
1300900MONT,145,1.0000000000,154,154
13011000001,28,1.0000000000,83,83
13011000002,28,1.0000000000,56,56
13011000003,28,1.0000000000,30,30
13011000004,28,1.0000000000,91,91
13011000005,28,1.0000000000,34,34
13011000006,28,1.0000000000,60,60
13011000007,28,1.0000000000,56,56
13011000008,28,1.0000000000,41,41
13011000009,28,1.0000000000,42,42
13011000010,28,1.0000000000,100,100
13011000011,28,1.0000000000,63,63
13011000012,28,1.0000000000,41,41
13011000013,28,1.0000000000,36,36
13013000001,114,0.3518518519,38,108
13013000001,116,0.6481481481,70,108
13013000002,116,1.0000000000,77,77
13013000003,116,1.0000000000,62,62
13013000004,116,1.0000000000,47,47
13013000005,116,1.0000000000,144,144
13013000006,116,1.0000000000,53,53
13013000007,117,1.0000000000,77,77
13013000008,116,0.6603773585,35,53
13013000008,117,0.3396226415,18,53
13013000009,116,1.0000000000,85,85
13013000010,116,1.0000000000,109,109
13013000011,114,1.0000000000,61,61
