precinct_key,district_num,area_weight,block_count,precinct_block_count
13001000002,157,1.0000000000,,
1300100001B,157,1.0000000000,,
1300100001C,157,1.0000000000,,
1300100003C,157,0.9999999610,,
1300100003C,178,0.0000000390,,
1300100004B,178,1.0000000000,,
1300100004D,157,0.0000001026,,
1300100004D,178,0.9999998974,,
1300100005A,157,0.9999999947,,
1300100005A,178,0.0000000053,,
1300100005B,178,1.0000000000,,
130010003A1,157,1.0000000000,,
13003000001,176,1.0000000000,,
13003000002,176,1.0000000000,,
13003000003,170,0.0000000034,,
13003000003,176,0.9999999966,,
13003000004,176,1.0000000000,,
130050DOUGL,178,1.0000000000,,
1300700000A,154,1.0000000000,,
1300700000E,154,1.0000000000,,
1300700000H,154,1.0000000000,,
1300700000M,154,1.0000000000,,
1300700000N,154,1.0000000000,,
13009000318,149,1.0000000000,,
13009000319,149,1.0000000000,,
13009000322,149,1.0000000000,,
13009001714,128,0.0000000186,,
13009001714,149,0.9999999814,,
1300900321E,149,1.0000000000,,
1300900321W,149,1.0000000000,,
1300900CTY1,149,1.0000000000,,
1300900CTY2,149,1.0000000000,,
1300900CTY3,149,1.0000000000,,
1300900CTY4,149,1.0000000000,,
1300900CTY5,149,1.0000000000,,
1300900CTY6,128,0.0000359937,,
1300900CTY6,149,0.9999640063,,
1300900MERI,149,1.0000000000,,
1300900MONT,128,0.9999900543,,
1300900MONT,149,0.0000099457,,
13011000001,32,1.0000000000,,
13011000002,32,1.0000000000,,
13011000003,32,1.0000000000,,
13011000004,32,1.0000000000,,
13011000005,32,1.0000000000,,
13011000006,32,1.0000000000,,
13011000007,27,0.0000000449,,
13011000007,32,0.9999999551,,
13011000008,27,0.0000000520,,
13011000008,32,0.9999999480,,
13011000009,32,1.0000000000,,
13011000010,32,1.0000000000,,
13011000011,32,1.0000000000,,
13011000012,32,1.0000000000,,
13011000013,32,1.0000000000,,
13013000001,104,0.0000000883,,
13013000001,119,0.9999999117,,
13013000002,30,0.0000005830,,
13013000002,104,0.0000001249,,
13013000002,119,0.9999992921,,
13013000003,104,1.0000000000,,
13013000004,104,1.0000000000,,
13013000005,119,1.0000000000,,
13013000006,119,1.0000000000,,
13013000007,120,1.0000000000,,
13013000008,119,1.0000000000,,
13013000009,119,1.0000000000,,
13013000010,119,1.0000000000,,
13013000011,104,0.9999999032,,
13013000011,111,0.0000000968,,
13013000012,104,1.0000000000,,
13013000013,119,1.0000000000,,
13013000014,104,0.9999998611,,
13013000014,119,0.0000001389,,
13013000015,119,1.0000000000,,
13013000016,104,0.2105186948,,
13013000016,119,0.7894813052,,
13015000001,14,1.0000000000,,
13015000002,15,0.9997714902,,
13015000002,36,0.0002285098,,
13015000003,15,1.0000000000,,
13015000004,15,1.0000000000,,
13015000005,14,0.9644312024,,
13015000005,15,0.0355687976,,
13015000006,15,0.9999999900,,
13015000006,22,0.0000000100,,
13015000007,15,0.9999179950,,
13015000007,36,0.0000820050,,
13015000008,14,1.0000000000,,
13015000009,14,1.0000000000,,
13015000010,14,1.0000000000,,
13015000011,14,0.0000001110,,
13015000011,15,0.9999998890,,
13015000012,5,0.0000000168,,
13015000012,14,0.9999999832,,
13015000014,14,1.0000000000,,
13015000015,14,0.9500364682,,
13015000015,15,0.0499635318,,
13015000016,15,1.0000000000,,
13015000018,15,1.0000000000,,
13017000001,156,1.0000000000,,
13017000002,148,0.8609667375,,
13017000002,156,0.1390332625,,
13019000518,170,1.0000000000,,
13019001144,170,1.0000000000,,
13019001148,170,1.0000000000,,
13019001157,170,1.0000000000,,
13019001329,170,1.0000000000,,
13019001427,170,1.0000000000,,
13019001642,170,1.0000000000,,
13019001767,170,1.0000000000,,
13019001819,170,1.0000000000,,
13021000EM1,143,0.3324406184,,
13021000EM1,149,0.6675593816,,
13021000EM2,149,1.0000000000,,
13021000EM3,142,0.9999998024,,
13021000EM3,143,0.0000001976,,
13021000EM4,149,1.0000000000,,
13021000EM5,143,0.8383764712,,
13021000EM5,149,0.1616235288,,
13021000GF1,142,0.1262396237,,
13021000GF1,143,0.7639454791,,
13021000GF1,145,0.1098148972,,
13021000GF2,143,1.0000000000,,
13021000GF3,145,1.0000000000,,
13021000GF4,143,1.0000000000,,
13021000GF5,145,1.0000000000,,
13021000HA1,145,1.0000000000,,
13021000HA2,142,0.9998959150,,
13021000HA2,145,0.0001040850,,
13021000HA3,142,0.2515932330,,
13021000HA3,145,0.7484067670,,
13021000HA4,142,0.0000882304,,
13021000HA4,145,0.9999117696,,
13021000HO1,142,0.1631923351,,
13021000HO1,145,0.8368076649,,
13021000HO2,142,1.0000000000,,
13021000HO3,142,0.1216544032,,
13021000HO3,144,0.8783455968,,
13021000HO4,142,1.0000000000,,
13021000HO5,142,1.0000000000,,
13021000HO6,142,1.0000000000,,
13021000HO7,142,0.9999995503,,
13021000HO7,144,0.0000004497,,
13021000RU1,143,0.5972752233,,
13021000RU1,145,0.4027247767,,
13021000RU2,143,1.0000000000,,
13021000VV1,142,0.4932859763,,
13021000VV1,143,0.5067140237,,
