precinct_key,district_num,area_weight,block_count,precinct_block_count
13001000002,1,1.0000000000,,
1300100001B,1,0.9999263286,,
1300100001B,8,0.0000245522,,
1300100001B,12,0.0000491191,,
1300100001C,1,0.9999996805,,
1300100001C,8,0.0000003195,,
1300100003C,1,1.0000000000,,
1300100004B,1,1.0000000000,,
1300100004D,1,1.0000000000,,
1300100005A,1,1.0000000000,,
1300100005B,1,0.9999899898,,
1300100005B,8,0.0000100102,,
130010003A1,1,0.9999788267,,
130010003A1,12,0.0000211733,,
13003000001,8,1.0000000000,,
13003000002,1,0.0001433377,,
13003000002,8,0.9998566623,,
13003000003,8,1.0000000000,,
13003000004,8,1.0000000000,,
130050DOUGL,1,0.9999787289,,
130050DOUGL,8,0.0000212711,,
1300700000A,2,1.0000000000,,
1300700000E,2,1.0000000000,,
1300700000H,2,1.0000000000,,
1300700000M,2,1.0000000000,,
1300700000N,2,1.0000000000,,
13009000318,8,0.9998915066,,
13009000318,10,0.0001084934,,
13009000319,8,0.9999343173,,
13009000319,10,0.0000656827,,
13009000322,8,1.0000000000,,
13009001714,8,1.0000000000,,
1300900321E,8,1.0000000000,,
1300900321W,8,1.0000000000,,
1300900CTY1,8,1.0000000000,,
1300900CTY2,8,1.0000000000,,
1300900CTY3,8,1.0000000000,,
1300900CTY4,8,1.0000000000,,
1300900CTY5,8,1.0000000000,,
1300900CTY6,8,1.0000000000,,
1300900MERI,8,0.9995567854,,
1300900MERI,10,0.0004432146,,
1300900MONT,8,0.9994530068,,
1300900MONT,10,0.0003037191,,
1300900MONT,12,0.0002432741,,
13011000001,9,0.9997584136,,
13011000001,10,0.0002415864,,
13011000002,9,1.0000000000,,
13011000003,9,1.0000000000,,
13011000004,9,0.9999974975,,
13011000004,10,0.0000025025,,
13011000005,9,1.0000000000,,
13011000006,9,0.9996386821,,
13011000006,10,0.0003613179,,
13011000007,9,1.0000000000,,
13011000008,9,0.9999654233,,
13011000008,10,0.0000345767,,
13011000009,9,1.0000000000,,
13011000010,9,1.0000000000,,
13011000011,9,1.0000000000,,
13011000012,9,1.0000000000,,
13011000013,9,1.0000000000,,
13013000001,10,1.0000000000,,
13013000002,9,0.0000195741,,
13013000002,10,0.9999804259,,
13013000003,9,0.0000005071,,
13013000003,10,0.9999994929,,
13013000004,7,0.0003056624,,
13013000004,10,0.9996943376,,
13013000005,10,1.0000000000,,
13013000006,10,1.0000000000,,
13013000007,10,1.0000000000,,
13013000008,10,1.0000000000,,
13013000009,10,1.0000000000,,
13013000010,10,1.0000000000,,
13013000011,7,0.0007217105,,
13013000011,10,0.9992782895,,
13013000012,7,0.0007551848,,
13013000012,9,0.0000569565,,
13013000012,10,0.9991878587,,
13013000013,10,1.0000000000,,
13013000014,10,1.0000000000,,
13013000015,10,1.0000000000,,
13013000016,10,1.0000000000,,
13015000001,11,0.9999283110,,
13015000001,14,0.0000716890,,
13015000002,11,1.0000000000,,
