precinct_key,district_num,area_weight,block_count,precinct_block_count
13001000002,157,1.0000000000,,
1300100001B,156,0.0000491191,,
1300100001B,157,0.9999508809,,
1300100001C,157,0.9999743832,,
1300100001C,178,0.0000256168,,
1300100003C,157,0.9998282124,,
1300100003C,178,0.0001717876,,
1300100004B,157,0.0000867169,,
1300100004B,178,0.9999132831,,
1300100004D,157,0.0002706724,,
1300100004D,178,0.9997293276,,
1300100005A,157,0.9996284286,,
1300100005A,178,0.0003715714,,
1300100005B,157,0.0002834579,,
1300100005B,178,0.9997165421,,
130010003A1,156,0.0000035810,,
130010003A1,157,0.9998942981,,
130010003A1,178,0.0001021210,,
13003000001,174,0.0000067769,,
13003000001,176,0.9999932231,,
13003000002,169,0.0000274380,,
13003000002,174,0.0000002234,,
13003000002,176,0.9999723386,,
13003000003,170,0.0009927619,,
13003000003,176,0.9990072381,,
13003000004,176,1.0000000000,,
130050DOUGL,157,0.0000075536,,
130050DOUGL,169,0.0000137175,,
130050DOUGL,176,0.0000089299,,
130050DOUGL,178,0.9999697991,,
1300700000A,154,1.0000000000,,
1300700000E,154,1.0000000000,,
1300700000H,154,0.9993717835,,
1300700000H,171,0.0006282165,,
1300700000M,154,1.0000000000,,
1300700000N,154,0.9996610464,,
1300700000N,171,0.0003389536,,
13009000318,118,0.0000429153,,
13009000318,128,0.0006416031,,
13009000318,133,0.9993154816,,
13009000319,118,0.0000656827,,
13009000319,133,0.9999343173,,
13009000322,133,0.9999789584,,
13009000322,149,0.0000210416,,
13009001714,128,0.0001537140,,
13009001714,133,0.9992173141,,
13009001714,149,0.0006289720,,
1300900321E,128,0.0005535292,,
1300900321E,133,0.9994464708,,
1300900321W,133,1.0000000000,,
1300900CTY1,133,1.0000000000,,
1300900CTY2,128,0.0014940836,,
1300900CTY2,133,0.9985059164,,
1300900CTY3,128,0.0031696068,,
1300900CTY3,133,0.9968303932,,
1300900CTY4,133,1.0000000000,,
1300900CTY5,133,1.0000000000,,
1300900CTY6,128,0.0025829918,,
1300900CTY6,133,0.9974170082,,
1300900MERI,118,0.0004432146,,
1300900MERI,133,0.9995567854,,
1300900MONT,128,0.9995490563,,
1300900MONT,133,0.0004325785,,
1300900MONT,149,0.0000183652,,
13011000001,32,1.0000000000,,
13011000002,10,0.0002727084,,
13011000002,32,0.9997272916,,
13011000003,32,1.0000000000,,
13011000004,32,0.9999907593,,
13011000004,33,0.0000092407,,
13011000005,32,0.9998623732,,
13011000005,33,0.0001376268,,
13011000006,32,0.9995403507,,
13011000006,33,0.0004596493,,
13011000007,10,0.0002281072,,
13011000007,27,0.0000187301,,
13011000007,32,0.9997531627,,
13011000008,27,0.0007064672,,
13011000008,32,0.9992935328,,
13011000009,32,1.0000000000,,
13011000010,32,1.0000000000,,
13011000011,27,0.0004236803,,
13011000011,32,0.9995763197,,
13011000012,32,0.9999703094,,
13011000012,33,0.0000296906,,
13011000013,32,0.9999177781,,
13011000013,33,0.0000822219,,
13013000001,104,0.0002487647,,
13013000001,112,0.0006537308,,
13013000001,119,0.9990765170,,
13013000001,121,0.0000209875,,
13013000002,30,0.0000120773,,
13013000002,31,0.0000991480,,
13013000002,104,0.0004404880,,
13013000002,119,0.9994482867,,
13013000003,104,0.9984878357,,
13013000003,119,0.0015121643,,
13013000004,104,0.9996943376,,
13013000004,111,0.0003056624,,
13013000005,119,0.9998302487,,
13013000005,120,0.0001589479,,
13013000005,121,0.0000108034,,
13013000006,104,0.0009525342,,
13013000006,119,0.9990474658,,
13013000007,31,0.0000030311,,
13013000007,119,0.0006724705,,
13013000007,120,0.9993244984,,
13013000008,31,0.0000678847,,
13013000008,119,0.9998376788,,
13013000008,120,0.0000944365,,
13013000009,119,1.0000000000,,
13013000010,104,0.0015809624,,
13013000010,119,0.9984190376,,
13013000011,104,0.9983630551,,
13013000011,111,0.0012071538,,
13013000011,119,0.0004297911,,
13013000012,104,0.9992448152,,
13013000012,111,0.0007551848,,
13013000013,119,1.0000000000,,
13013000014,104,0.9989103471,,
13013000014,119,0.0010896529,,
13013000015,31,0.0000002976,,
13013000015,104,0.0005080365,,
13013000015,119,0.9994916659,,
13013000016,104,0.2103497246,,
