precinct_key,district_num,area_weight,land_area,precinct_land_area,block_count,precinct_block_count
13001000002,19,1.0000000000,98584431,98584431,297,297
1300100001B,19,1.0000000000,146871344,146871344,136,136
1300100001C,19,1.0000000000,78466794,78466794,58,58
1300100003C,19,1.0000000000,222486416,222486416,311,311
1300100004B,19,1.0000000000,222241345,222241345,244,244
1300100004D,19,1.0000000000,142660073,142660073,200,200
1300100005A,19,1.0000000000,71900176,71900176,164,164
1300100005B,19,1.0000000000,134348253,134348253,139,139
130010003A1,19,1.0000000000,198865828,198865828,112,112
13003000001,8,1.0000000000,410375754,410375754,177,177
13003000002,8,1.0000000000,221635570,221635570,107,107
13003000003,8,1.0000000000,246942705,246942705,156,156
13003000004,8,1.0000000000,8682745,8682745,106,106
130050DOUGL,19,1.0000000000,735770219,735770219,752,752
1300700000A,12,1.0000000000,123694000,123694000,61,61
1300700000E,12,1.0000000000,131853894,131853894,47,47
1300700000H,12,1.0000000000,173655013,173655013,63,63
1300700000M,12,1.0000000000,115706062,115706062,39,39
1300700000N,12,1.0000000000,340756412,340756412,173,173
13009000318,25,1.0000000000,27468189,27468189,76,76
13009000319,25,1.0000000000,162283433,162283433,65,65
13009000322,25,1.0000000000,87299534,87299534,68,68
13009001714,25,1.0000000000,44961309,44961309,63,63
1300900321E,25,1.0000000000,3717441,3717441,61,61
1300900321W,25,1.0000000000,34570810,34570810,88,88
1300900CTY1,25,1.0000000000,21054843,21054843,140,140
1300900CTY2,25,1.0000000000,11595211,11595211,84,84
1300900CTY3,25,1.0000000000,5303444,5303444,53,53
1300900CTY4,25,1.0000000000,3116368,3116368,81,81
1300900CTY5,25,1.0000000000,2482201,2482201,48,48
1300900CTY6,25,1.0000000000,9242984,9242984,50,50
1300900MERI,25,1.0000000000,42494248,42494248,68,68
1300900MONT,25,1.0000000000,214435197,214435197,154,154
13011000001,50,1.0000000000,50990818,50990818,83,83
13011000002,50,1.0000000000,26388970,26388970,56,56
13011000003,50,1.0000000000,21662792,21662792,30,30
13011000004,50,1.0000000000,55908026,55908026,91,91
13011000005,50,1.0000000000,28792629,28792629,34,34
13011000006,50,1.0000000000,73136243,73136243,60,60
13011000007,50,1.0000000000,52893195,52893195,56,56
13011000008,50,1.0000000000,28211783,28211783,41,41
13011000009,50,1.0000000000,32001954,32001954,42,42
13011000010,50,1.0000000000,76695441,76695441,100,100
13011000011,50,1.0000000000,64821061,64821061,63,63
13011000012,50,1.0000000000,46628325,46628325,41,41
13011000013,50,1.0000000000,44342703,44342703,36,36
13013000001,47,1.0000000000,44411594,44411594,108,108
13013000002,45,1.0000000000,28064144,28064144,77,77
13013000003,45,1.0000000000,20885189,20885189,62,62
13013000004,45,1.0000000000,20972208,20972208,47,47
13013000005,47,1.0000000000,50190396,50190396,144,144
13013000006,45,1.0000000000,7610062,7610062,53,53
13013000007,47,1.0000000000,36518139,36518139,77,77
13013000008,47,1.0000000000,31787389,31787389,53,53
13013000009,47,1.0000000000,25584105,25584105,85,85
13013000010,45,1.0000000000,15514077,15514077,109,109
13013000011,46,1.0000000000,25327645,25327645,61,61
13013000012,45,1.0000000000,16597487,16597487,87,87
13013000013,45,1.0000000000,6310194,6310194,111,111
13013000014,45,1.0000000000,15718504,15718504,47,47
13013000015,45,1.0000000000,32721740,32721740,38,38
13013000016,46,1.0000000000,38870046,38870046,122,122
13015000001,52,1.0000000000,134008823,134008823,275,275
13015000002,37,1.0000000000,33779101,33779101,78,78
13015000003,52,1.0000000000,34676002,34676002,380,380
13015000004,52,1.0000000000,31106209,31106209,253,253
13015000005,52,1.0000000000,88908621,88908621,176,176
13015000006,52,1.0000000000,72055062,72055062,80,80
13015000007,37,1.0000000000,61936017,61936017,241,241
13015000008,52,1.0000000000,49785209,49785209,99,99
13015000009,52,1.0000000000,73609669,73609669,58,58
13015000010,52,1.0000000000,148376713,148376713,172,172
13015000011,52,1.0000000000,50789004,50789004,80,80
13015000012,52,1.0000000000,118068177,118068177,98,98
13015000014,52,1.0000000000,110551325,110551325,147,147
13015000015,52,1.0000000000,117165013,117165013,96,96
13015000016,52,1.0000000000,34588806,34588806,199,199
13015000018,52,1.0000000000,29165132,29165132,64,64
13017000001,13,1.0000000000,367494875,367494875,509,509
13017000002,13,1.0000000000,280307248,280307248,707,707
13019000518,13,1.0000000000,285693711,285693711,154,154
13019001144,13,1.0000000000,47779645,47779645,109,109
13019001148,13,1.0000000000,140713488,140713488,63,63
13019001157,13,1.0000000000,263160867,263160867,425,425
13019001329,13,1.0000000000,69062588,69062588,35,35
13019001427,13,1.0000000000,92465667,92465667,44,44
13019001642,13,1.0000000000,103155571,103155571,87,87
13019001767,13,1.0000000000,101953007,101953007,75,75
13019001819,13,1.0000000000,70255022,70255022,29,29
13021000EM1,26,1.0000000000,7990821,7990821,213,213
13021000EM2,26,1.0000000000,9485766,9485766,88,88
13021000EM3,25,1.0000000000,13868976,13868976,74,74
13021000EM4,26,1.0000000000,10616072,10616072,68,68
13021000EM5,26,1.0000000000,76493439,76493439,140,140
13021000GF1,26,1.0000000000,27082574,27082574,556,556
13021000GF2,26,1.0000000000,10559369,10559369,182,182
13021000GF3,26,1.0000000000,7282891,7282891,136,136
13021000GF4,26,1.0000000000,9517537,9517537,81,81
13021000GF5,26,1.0000000000,10391841,10391841,99,99
13021000HA1,26,1.0000000000,7707041,7707041,88,88
13021000HA2,18,1.0000000000,9014748,9014748,58,58
13021000HA3,26,1.0000000000,38869720,38869720,152,152
13021000HA4,18,1.0000000000,27899414,27899414,31,31
13021000HO1,18,0.9899413026,25701850,25963004,72,80
13021000HO1,25,0.0100586974,261154,25963004,8,80
13021000HO2,18,0.9997558687,19681319,19686125,65,66
13021000HO2,25,0.0002441313,4806,19686125,1,66
13021000HO3,18,0.9935886606,35615889,35845708,129,131
13021000HO3,25,0.0064113394,229819,35845708,2,131
13021000HO4,25,1.0000000000,5603060,5603060,38,38
13021000HO5,18,0.0209080356,38455,1839245,1,30
13021000HO5,25,0.9790919644,1800790,1839245,29,30
13021000HO6,25,1.0000000000,4613382,4613382,35,35
13021000HO7,18,1.0000000000,5585842,5585842,61,61
13021000RU1,18,1.0000000000,35207529,35207529,101,101
13021000RU2,26,1.0000000000,82645380,82645380,159,159
13021000VV1,26,1.0000000000,6695482,6695482,266,266
13021000VV2,26,1.0000000000,2133274,2133274,84,84
13021000VV3,26,1.0000000000,4689518,4689518,127,127
13021000VV4,26,1.0000000000,7679370,7679370,116,116
13021000VV5,25,1.0000000000,4481330,4481330,44,44
13021000VV6,26,1.0000000000,4542257,4542257,100,100
13021000WA1,18,1.0000000000,79927266,79927266,65,65
13021000WA2,18,1.0000000000,51980132,51980132,67,67
13023000001,20,1.0000000000,559106468,559106468,640,640
13025000001,3,1.0000000000,364360443,364360443,281,281
13025000002,3,1.0000000000,501231708,501231708,406,406
13025000003,3,1.0000000000,282380107,282380107,189,189
13027000659,11,1.0000000000,198903097,198903097,56,56
13027000660,11,1.0000000000,365208451,365208451,204,204
13027001199,11,1.0000000000,199914899,199914899,434,434
13027001230,11,1.0000000000,94968149,94968149,51,51
13027001402,11,1.0000000000,228573207,228573207,100,100
13027001650,11,1.0000000000,95151865,95151865,69,69
13027001712,11,1.0000000000,94621607,94621607,70,70
13029000001,1,1.0000000000,142004555,142004555,254,254
13029000002,1,1.0000000000,91291886,91291886,104,104
13029000003,1,1.0000000000,129207758,129207758,166,166
13029000004,1,1.0000000000,37232416,37232416,66,66
13029000005,1,1.0000000000,4753570,4753570,73,73
13029000006,1,1.0000000000,20365877,20365877,71,71
13029000007,1,1.0000000000,20990046,20990046,51,51
13029000008,1,1.0000000000,178547074,178547074,147,147
13029000009,1,1.0000000000,12547076,12547076,55,55
13029000010,1,1.0000000000,57529193,57529193,69,69
13029FTSTEW,1,1.0000000000,438811295,438811295,158,158
13031000001,4,1.0000000000,101921748,101921748,72,72
13031000002,4,1.0000000000,97285086,97285086,99,99
13031000003,4,1.0000000000,151381389,151381389,118,118
