precinct_key,district_num,area_weight,land_area,precinct_land_area,block_count,precinct_block_count
13001000002,157,1.0000000000,98584431,98584431,297,297
1300100001B,157,1.0000000000,146871344,146871344,136,136
1300100001C,157,1.0000000000,78466794,78466794,58,58
1300100003C,157,1.0000000000,222486416,222486416,311,311
1300100004B,178,1.0000000000,222241345,222241345,244,244
1300100004D,178,1.0000000000,142660073,142660073,200,200
1300100005A,157,1.0000000000,71900176,71900176,164,164
1300100005B,178,1.0000000000,134348253,134348253,139,139
130010003A1,157,1.0000000000,198865828,198865828,112,112
13003000001,176,1.0000000000,410375754,410375754,177,177
13003000002,176,1.0000000000,221635570,221635570,107,107
13003000003,176,1.0000000000,246942705,246942705,156,156
13003000004,176,1.0000000000,8682745,8682745,106,106
130050DOUGL,178,1.0000000000,735770219,735770219,752,752
1300700000A,154,1.0000000000,123694000,123694000,61,61
1300700000E,154,1.0000000000,131853894,131853894,47,47
1300700000H,154,1.0000000000,173655013,173655013,63,63
1300700000M,154,1.0000000000,115706062,115706062,39,39
1300700000N,154,1.0000000000,340756412,340756412,173,173
13009000318,149,1.0000000000,27468189,27468189,76,76
13009000319,149,1.0000000000,162283433,162283433,65,65
13009000322,149,1.0000000000,87299534,87299534,68,68
13009001714,149,1.0000000000,44961309,44961309,63,63
1300900321E,149,1.0000000000,3717441,3717441,61,61
1300900321W,149,1.0000000000,34570810,34570810,88,88
1300900CTY1,149,1.0000000000,21054843,21054843,140,140
1300900CTY2,149,1.0000000000,11595211,11595211,84,84
1300900CTY3,149,1.0000000000,5303444,5303444,53,53
1300900CTY4,149,1.0000000000,3116368,3116368,81,81
1300900CTY5,149,1.0000000000,2482201,2482201,48,48
1300900CTY6,149,1.0000000000,9242984,9242984,50,50
1300900MERI,149,1.0000000000,42494248,42494248,68,68
1300900MONT,128,1.0000000000,214435197,214435197,154,154
13011000001,32,1.0000000000,50990818,50990818,83,83
13011000002,32,1.0000000000,26388970,26388970,56,56
13011000003,32,1.0000000000,21662792,21662792,30,30
13011000004,32,1.0000000000,55908026,55908026,91,91
13011000005,32,1.0000000000,28792629,28792629,34,34
13011000006,32,1.0000000000,73136243,73136243,60,60
13011000007,32,1.0000000000,52893195,52893195,56,56
13011000008,32,1.0000000000,28211783,28211783,41,41
13011000009,32,1.0000000000,32001954,32001954,42,42
